Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Levo,var-19F-Levo,sd-19F-Levo,se-19F-Levo,Total-19F-Levo,Blank-19F-Levo,Not Blank-19F-Levo,Blank Removed-19F-Levo,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
273,SPT_0013,0.989,0.007,0.085,0.017,,26,0,26,0,,SPT_0013,0.952,0.005,0.07,0.021,11,0,11,0,0.037,35,1.388,0.17405,,phage protein,FALSE
342,SPT_0014,1.014,0.004,0.062,0.011,,33,0,33,0,,SPT_0014,1.031,0.005,0.069,0.016,19,0,19,0,-0.017,50,0.88,0.38318,,phage protein,FALSE
177,SPT_0015,1.024,0.004,0.064,0.015,,19,0,19,0,,SPT_0015,0.97,0.005,0.074,0.026,8,0,8,0,0.054,25,1.803,0.08349,,hypothetical protein,FALSE
216,SPT_0016,1.041,0.012,0.107,0.028,,15,0,15,0,,SPT_0016,1.041,0.025,0.158,0.064,6,0,6,0,0,19,0.007,0.99441,,hypothetical protein,FALSE
267,SPT_0017,0.973,0.005,0.069,0.013,,28,0,28,0,,SPT_0017,1.016,0.007,0.083,0.021,16,0,16,0,-0.044,42,1.784,0.08165,,hypothetical protein,FALSE
141,SPT_0018,1.015,0.005,0.069,0.022,,10,0,10,0,,SPT_0018,0.993,0,0.02,0.01,4,0,4,0,0.023,12,0.936,0.36774,,hypothetical protein,FALSE
501,SPT_0019,0.991,0.005,0.07,0.009,,65,0,65,0,,SPT_0019,0.982,0.004,0.06,0.01,38,0,38,0,0.009,101,0.667,0.50619,,hypothetical protein,FALSE
141,SPT_0020,0.991,0.004,0.065,0.014,,21,0,21,0,,SPT_0020,1.031,0.002,0.042,0.012,12,0,12,0,-0.04,31,2.168,0.03794,,hypothetical protein,FALSE
147,SPT_0021,1.004,0.004,0.063,0.013,,24,0,24,0,,SPT_0021,0.996,0.004,0.066,0.017,15,0,15,0,0.008,37,0.379,0.70671,,hypothetical protein,FALSE
429,SPT_0022,0.997,0.004,0.06,0.01,,36,0,36,0,,SPT_0022,1.005,0.009,0.094,0.022,18,0,18,0,-0.008,52,0.334,0.73947,,hypothetical protein,FALSE
174,SPT_0023,0.945,0.003,0.059,0.042,,2,0,2,0,,SPT_0023,,,,,,,,,0.945,0,#DIV/0!,#DIV/0!,,hypothetical protein,FALSE
249,SPT_0024,0.999,0.011,0.104,0.024,,18,0,18,0,,SPT_0024,1.01,0.001,0.033,0.012,8,0,8,0,-0.011,24,0.41,0.68558,,hypothetical protein,FALSE
606,SPT_0025,1.017,0.007,0.082,0.014,,36,0,36,0,,SPT_0025,1.01,0.004,0.065,0.016,16,0,16,0,0.007,50,0.342,0.73355,,hypothetical protein,FALSE
309,SPT_0026,1.015,0.006,0.078,0.029,,7,0,7,0,,SPT_0026,0.996,0.011,0.105,0.053,4,0,4,0,0.018,9,0.304,0.76797,,hypothetical protein,FALSE
1347,SPT_0027,,,,,,,,,,,SPT_0027,,,,,,,,M,,,,,,Spn1 transposase,FALSE
153,SPT_0028,1.011,0.003,0.059,0.014,,17,0,17,0,,SPT_0028,1.04,0.009,0.095,0.029,11,0,11,0,-0.028,26,0.88,0.38717,,transcription regulator,FALSE
717,SPT_0029,0.983,0.008,0.09,0.012,,58,0,58,0,,SPT_0029,0.992,0.006,0.079,0.013,34,0,34,0,-0.009,90,0.514,0.60848,,cI repressor,FALSE
669,SPT_0030,0.977,0.015,0.122,0.016,,59,1,58,0,,SPT_0030,1.01,0.007,0.086,0.016,29,0,29,0,-0.033,86,1.477,0.14321,,LIM domain protein,FALSE
669,SPT_0031,1.009,0.004,0.064,0.006,,122,0,122,0,,SPT_0031,0.998,0.006,0.08,0.011,58,0,58,0,0.011,178,0.92,0.35891,,Fic protein family,FALSE
459,SPT_0032,0.997,0.005,0.074,0.006,,131,0,131,0,,SPT_0032,1.003,0.006,0.075,0.009,64,0,64,0,-0.006,193,0.511,0.61024,,hypothetical protein,FALSE
123,SPT_0033,0.948,0.003,0.054,0.013,,16,0,16,0,,SPT_0033,0.964,0.006,0.076,0.022,12,0,12,0,-0.017,26,0.645,0.52433,,hypothetical protein,FALSE
237,SPT_0034,0.979,0.006,0.077,0.01,,56,0,56,0,,SPT_0034,0.98,0.005,0.068,0.013,26,0,26,0,-0.001,80,0.043,0.96563,,hypothetical protein,FALSE
306,SPT_0035,1.002,0.007,0.081,0.011,,55,0,55,0,,SPT_0035,0.993,0.007,0.082,0.016,28,0,28,0,0.009,81,0.499,0.61879,,replication protein,FALSE
561,SPT_0036,1.01,0.007,0.085,0.009,,90,0,90,0,,SPT_0036,1.011,0.011,0.107,0.015,51,0,51,0,-0.001,139,0.06,0.95257,,putative DNA damage inducible protein,FALSE
1167,SPT_0037,1.004,0.005,0.069,0.004,,238,0,238,0,,SPT_0037,1.008,0.005,0.072,0.007,115,0,115,0,-0.003,351,0.431,0.66679,,integrase,FALSE
1116,SPT_0038,0.933,0.008,0.089,0.009,ychF,91,0,91,0,,SPT_0038,0.928,0.008,0.091,0.012,54,0,54,0,0.006,143,0.364,0.71661,,GTP-dependent nucleic acid-binding protein EngD,FALSE
570,SPT_0039,1.071,0.007,0.081,0.057,pth,2,0,2,0,,SPT_0039,,,,,,,,,1.071,0,#DIV/0!,#DIV/0!,,peptidyl-tRNA hydrolase,FALSE
3510,SPT_0040,0.971,0.009,0.097,0.005,mfd,437,1,436,0,,SPT_0040,0.951,0.01,0.099,0.006,235,0,235,0,0.02,670,2.52,0.01196,,transcription-repair coupling factor,FALSE
267,SPT_0041,1.018,0.005,0.073,0.013,,29,0,29,0,,SPT_0041,1.074,0.008,0.091,0.021,18,0,18,0,-0.055,45,2.194,0.03347,,ribosome-associated heat shock protein implicated in the recycling of the 50S subunit,FALSE
369,SPT_0042,,,,,,,,,,,SPT_0042,,,,,,,,,,,,,,septum formation initiator,FALSE
123,SPT_0043,0.957,0.028,0.168,0.069,,6,0,6,0,,SPT_0043,1.064,0.005,0.068,0.031,5,0,5,0,-0.107,9,1.416,0.19038,,hypothetical protein,FALSE
1269,SPT_0044,0.861,0.007,0.086,0.009,,102,0,102,0,,SPT_0044,0.837,0.013,0.114,0.016,52,1,51,0,0.024,152,1.329,0.18582,,beta-lactamase class A,FALSE
1278,SPT_0045,,,,,,,,,,,SPT_0045,,,,,,,,,,,,,,MesJ/Ycf62 family protein,FALSE
543,SPT_0046,0.719,0.016,0.127,0.022,hpt,33,1,32,0,,SPT_0046,0.777,0.013,0.112,0.028,16,0,16,0,-0.058,47,1.615,0.11297,,hypoxanthine phosphoribosyltransferase,FALSE
1959,SPT_0047,0.923,0.01,0.1,0.016,,38,0,38,0,,SPT_0047,0.878,0.033,0.183,0.039,22,1,21,0,0.045,58,1.069,0.28935,,putative Cell division protease FtsH homolog,FALSE
480,SPT_0048,,,,,,,,,,,SPT_0048,,,,,,,,,,,,,,competence-specific global transcription modulator,FALSE
,SPT_0049,,,,,,,,,,,SPT_0049,,,,,,,,,,,,,,,FALSE
,SPT_0050,,,,,rrs1,,,,,,SPT_0050,,,,,,,,,,,,,,,FALSE
,SPT_0051,,,,,,,,,,,SPT_0051,,,,,,,,,,,,,,,FALSE
,SPT_0053,,,,,rrl1,,,,,,SPT_0053,,,,,,,,,,,,,,,FALSE
,SPT_0054,,,,,rrf_1,,,,,,SPT_0054,,,,,,,,,,,,,,,FALSE
,SPT_0055,,,,,,,,,,,SPT_0055,,,,,,,,,,,,,,,FALSE
186,SPT_0056,1.084,0.003,0.058,0.024,,6,0,6,0,,SPT_0056,1.082,0.011,0.106,0.061,3,0,3,0,0.002,7,0.035,0.97285,,pseudo,FALSE
,SPT_0057,,,,,,,,,,,SPT_0057,,,,,,,,,,,,,,,FALSE
237,SPT_0058,1.011,0.006,0.076,0.015,,26,0,26,0,,SPT_0058,1.015,0.006,0.079,0.025,10,0,10,0,-0.004,34,0.154,0.87851,,hypothetical protein,FALSE
1329,SPT_0059,0.949,0.006,0.079,0.006,purA,196,0,196,0,,SPT_0059,0.932,0.008,0.091,0.009,101,0,101,0,0.017,295,1.615,0.10732,,adenylosuccinate synthetase,FALSE
468,SPT_0060,0.979,0.005,0.074,0.011,,49,0,49,0,,SPT_0060,0.939,0.01,0.099,0.02,24,0,24,0,0.04,71,1.737,0.08667,,tRNA-specific adenosine deaminase,FALSE
444,SPT_0061,1.009,0.004,0.065,0.009,dut,55,0,55,0,,SPT_0061,1.004,0.005,0.072,0.013,32,0,32,0,0.005,85,0.334,0.73914,,deoxyuridine 5'-triphosphate nucleotidohydrolase,FALSE
558,SPT_0062,1.003,0.005,0.071,0.007,,114,0,114,0,,SPT_0062,1.004,0.008,0.088,0.012,57,0,57,0,0,169,0.004,0.99669,,phosphoglycerate mutase family protein,FALSE
1263,SPT_0063,1.021,0.006,0.079,0.008,radA,101,0,101,0,,SPT_0063,1.006,0.008,0.09,0.013,51,0,51,0,0.015,150,0.979,0.32919,,DNA repair protein RadA,FALSE
498,SPT_0064,0.103,0.035,0.186,0.056,,11,8,3,0,,SPT_0064,0.138,0.046,0.215,0.081,7,6,1,0,-0.035,16,0.353,0.72845,,carbonate dehydratase,FALSE
816,SPT_0065,1.002,0.008,0.087,0.008,,134,0,134,0,,SPT_0065,0.994,0.006,0.079,0.009,70,0,70,0,0.009,202,0.712,0.47729,,hypothetical protein,FALSE
969,SPT_0066,,,,,,,,,,,SPT_0066,,,,,,,,,,,,,,ribose-Phosphate pyrophosphokinase (rppk) (phosphoribosylpyrophosphate synthetase) (p-rib-pp synthetase) (prpp synthetase),FALSE
234,SPT_0067,1.008,0.007,0.082,0.014,,35,0,35,0,,SPT_0067,1.013,0.003,0.054,0.012,20,0,20,0,-0.005,53,0.278,0.78232,,hypothetical protein,FALSE
327,SPT_0068,1.021,0.003,0.059,0.011,,31,0,31,0,,SPT_0068,0.999,0.002,0.04,0.01,15,0,15,0,0.023,44,1.547,0.12908,,competence-induced protein Ccs16,FALSE
315,SPT_0069,0.982,0.006,0.077,0.011,,47,0,47,0,,SPT_0069,0.964,0.014,0.117,0.023,26,0,26,0,0.018,71,0.721,0.47327,,hypothetical protein,FALSE
2634,SPT_0070,1,0.003,0.05,0.036,,2,0,2,0,,SPT_0070,,,,,,,,,1,0,#DIV/0!,#DIV/0!,,DNA polymerase I,FALSE
438,SPT_0071,1.03,0.006,0.078,0.012,,40,0,40,0,,SPT_0071,1.003,0.006,0.081,0.018,19,0,19,0,0.027,57,1.221,0.22709,,CoA binding protein,FALSE
1011,SPT_0072,1.011,0.004,0.065,0.006,,115,0,115,0,,SPT_0072,1.006,0.006,0.075,0.01,60,0,60,0,0.005,173,0.411,0.68171,,hypothetical protein,FALSE
1170,SPT_0073,1.021,0.005,0.069,0.007,,111,0,111,0,,SPT_0073,1.009,0.005,0.071,0.009,60,0,60,0,0.012,169,1.049,0.29577,,aromatic amino acid aminotransferase,FALSE
771,SPT_0074,0.983,0,0.014,0.01,recO,2,0,2,0,,SPT_0074,0.757,0,0,0,1,0,1,0,0.227,1,22.492,0.02829,,DNA repair protein RecO,FALSE
993,SPT_0075,0.825,0.009,0.097,0.012,plsX,70,0,70,0,,SPT_0075,0.766,0.036,0.19,0.033,33,1,32,0,0.059,101,1.691,0.09386,,fatty acid/phospholipid synthesis protein PlsX,FALSE
234,SPT_0076,1.004,0.003,0.054,0.016,,11,0,11,0,,SPT_0076,0.931,0.014,0.117,0.042,8,0,8,0,0.073,17,1.648,0.11778,,"acyl carrier protein, putative",FALSE
294,SPT_0077,1,0.002,0.039,0.016,,6,0,6,0,,SPT_0077,0.951,0.003,0.053,0.031,3,0,3,0,0.049,7,1.413,0.20057,,mobile genetic element,FALSE
231,SPT_0078,1.021,0.004,0.063,0.013,,24,0,24,0,,SPT_0078,1.011,0.008,0.087,0.023,14,0,14,0,0.011,36,0.401,0.69095,,bacteriocin BlpU,FALSE
126,SPT_0079,0.984,0.006,0.08,0.013,,39,0,39,0,,SPT_0079,1.02,0.006,0.081,0.018,20,0,20,0,-0.036,57,1.63,0.10854,,hypothetical protein,FALSE
2154,SPT_0080,0.995,0.005,0.071,0.004,,318,0,318,0,,SPT_0080,0.991,0.005,0.073,0.006,160,0,160,0,0.004,476,0.587,0.55779,,transport/processing ATP-binding protein ComA,FALSE
1350,SPT_0081,1.011,0.005,0.069,0.005,,199,0,199,0,,SPT_0081,1.006,0.005,0.068,0.007,102,0,102,0,0.005,299,0.635,0.52584,,transport protein ComB,FALSE
708,SPT_0082,0.992,0.004,0.065,0.007,purC,82,0,82,0,,SPT_0082,0.989,0.005,0.071,0.011,40,0,40,0,0.003,120,0.258,0.7972,,phosphoribosylaminoimidazole-succinocarboxamide synthase,FALSE
135,SPT_0083,1.028,0.002,0.048,0.013,,14,0,14,0,,SPT_0083,1.016,0.003,0.057,0.019,9,0,9,0,0.011,21,0.486,0.63219,,phosphoribosylaminoimidazole-succinocarboxamide synthase (saicar synthetase),FALSE
3726,SPT_0084,1.02,0.007,0.081,0.004,,430,0,430,0,,SPT_0084,1.014,0.006,0.08,0.006,210,0,210,0,0.006,638,0.909,0.36388,,"phosphoribosylformylglycinamidine synthase, putative",FALSE
1443,SPT_0085,1.024,0.005,0.071,0.005,purF,179,0,179,0,,SPT_0085,1.024,0.01,0.1,0.011,89,0,89,0,0.001,266,0.057,0.9549,,amidophosphoribosyltransferase,FALSE
1023,SPT_0086,1.014,0.004,0.063,0.006,purM,99,0,99,0,,SPT_0086,0.988,0.004,0.065,0.009,51,0,51,0,0.026,148,2.381,0.01854,,phosphoribosylformylglycinamidine cyclo-ligase,FALSE
546,SPT_0087,1.026,0.005,0.073,0.011,purN,45,0,45,0,,SPT_0087,1.011,0.008,0.088,0.02,20,0,20,0,0.015,63,0.647,0.51989,,phosphoribosylglycinamide formyltransferase,FALSE
510,SPT_0088,1.003,0.006,0.079,0.006,,193,0,193,0,,SPT_0088,1.017,0.006,0.078,0.008,101,0,101,0,-0.014,292,1.47,0.1427,,teicoplanin resistance protein,FALSE
1548,SPT_0089,1.01,0.006,0.08,0.006,purH,185,0,185,0,,SPT_0089,0.988,0.008,0.092,0.01,91,0,91,0,0.022,274,1.992,0.04741,,bifunctional purine biosynthesis protein PurH,FALSE
1263,SPT_0090,1.013,0.006,0.079,0.007,purD,128,0,128,0,,SPT_0090,1.006,0.005,0.067,0.008,63,0,63,0,0.007,189,0.637,0.52506,,phosphoribosylamine--glycine ligase,FALSE
489,SPT_0091,0.988,0.003,0.058,0.011,purE,31,0,31,0,,SPT_0091,0.99,0.004,0.062,0.016,16,0,16,0,-0.002,45,0.127,0.89917,,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",FALSE
1092,SPT_0092,0.998,0.003,0.051,0.005,purK,119,0,119,0,,SPT_0092,0.975,0.003,0.057,0.007,63,0,63,0,0.023,180,2.743,0.0067,,"phosphoribosylaminoimidazole carboxylase, ATPase subunit",FALSE
228,SPT_0093,0.993,0.005,0.069,0.007,,87,0,87,0,,SPT_0093,0.997,0.007,0.085,0.013,42,0,42,0,-0.003,127,0.226,0.82152,,hypothetical protein,FALSE
1299,SPT_0094,0.953,0.008,0.088,0.009,purB,104,0,104,0,,SPT_0094,0.948,0.015,0.121,0.016,55,0,55,0,0.005,157,0.275,0.78334,,adenylosuccinate lyase,FALSE
3939,SPT_0095,0.992,0.006,0.075,0.003,,628,0,628,0,,SPT_0095,0.995,0.006,0.075,0.004,329,0,329,0,-0.003,955,0.512,0.609,,beta-N-acetylhexosaminidase,FALSE
744,SPT_0096,0.922,0.005,0.068,0.006,,153,0,153,0,,SPT_0096,0.916,0.005,0.07,0.008,76,0,76,0,0.007,227,0.694,0.48856,,"transcriptional regulator, GntR family protein",FALSE
1788,SPT_0097,0.981,0.004,0.063,0.004,,274,0,274,0,,SPT_0097,0.969,0.005,0.072,0.006,140,0,140,0,0.012,412,1.712,0.08773,,beta-galactosidase (Lactase),FALSE
477,SPT_0098,1.006,0.005,0.071,0.009,,68,0,68,0,,SPT_0098,0.992,0.004,0.066,0.011,37,0,37,0,0.014,103,1.03,0.30549,,"PTS system, IIB component",FALSE
906,SPT_0099,1.008,0.006,0.076,0.006,,161,0,161,0,,SPT_0099,1.01,0.005,0.068,0.008,79,0,79,0,-0.001,238,0.133,0.89444,,"PTS system, IIC component",FALSE
816,SPT_0100,1.003,0.004,0.065,0.006,,107,0,107,0,,SPT_0100,0.991,0.004,0.065,0.009,54,0,54,0,0.012,159,1.141,0.25575,,"PTS system, IID component",FALSE
405,SPT_0101,1.015,0.004,0.066,0.009,,50,0,50,0,,SPT_0101,0.997,0.005,0.072,0.014,26,0,26,0,0.018,74,1.082,0.28281,,"PTS system, IIA component",FALSE
1167,SPT_0102,1.002,0.005,0.072,0.005,,182,0,182,0,,SPT_0102,1.001,0.007,0.082,0.008,96,0,96,0,0.001,276,0.1,0.92075,,sugar isomerase domain-containing protein,FALSE
1038,SPT_0103,1.011,0.004,0.064,0.006,,134,0,134,0,,SPT_0103,1.001,0.005,0.069,0.008,67,0,67,0,0.01,199,1.025,0.30673,,aldose 1-epimerase,FALSE
855,SPT_0104,1.011,0.004,0.066,0.006,,135,0,135,0,,SPT_0104,1.002,0.004,0.063,0.008,66,0,66,0,0.009,199,0.944,0.34623,,glyoxalase family protein,FALSE
258,SPT_0105,0.975,0.008,0.087,0.013,,45,0,45,0,,SPT_0105,1.014,0.004,0.061,0.013,21,0,21,0,-0.039,64,2.098,0.03989,,hypothetical protein,FALSE
363,SPT_0106,0.992,0.01,0.099,0.018,,30,0,30,0,,SPT_0106,1.08,0.016,0.126,0.031,16,0,16,0,-0.087,44,2.404,0.02048,,chlorohydrolase,FALSE
297,SPT_0107,1.014,0.007,0.086,0.013,,46,0,46,0,,SPT_0107,1.047,0.007,0.086,0.018,23,0,23,0,-0.033,67,1.506,0.1368,,hypothetical protein,FALSE
120,SPT_0108,0.963,0.004,0.062,0.015,,18,0,18,0,,SPT_0108,0.958,0.005,0.072,0.022,11,0,11,0,0.005,27,0.186,0.85404,,coenzyme A disulfide reductase,FALSE
765,SPT_0109,1.008,0.005,0.069,0.007,,87,0,87,0,,SPT_0109,0.985,0.009,0.093,0.015,41,0,41,0,0.023,126,1.389,0.16722,,"phosphorylase, Pnp/Udp family",FALSE
153,SPT_0110,0.984,0,0.01,0.007,,2,0,2,0,,SPT_0110,0.918,0,0,0,1,0,1,0,0.065,1,9,0.07045,,chlorohydrolase,FALSE
1380,SPT_0111,1.003,0.005,0.069,0.005,,208,0,208,0,,SPT_0111,1.011,0.006,0.074,0.007,112,0,112,0,-0.009,318,1,0.31794,,Trk family potassium uptake protein,FALSE
666,SPT_0112,0.996,0.006,0.08,0.01,,62,0,62,0,,SPT_0112,0.995,0.007,0.086,0.016,31,0,31,0,0.001,91,0.035,0.97216,,"potassium uptake protein, Trk family",FALSE
159,SPT_0113,,,,,,,,,,,SPT_0113,,,,,,,,,,,,,,chlorohydrolase,FALSE
1320,SPT_0115,1.01,0.004,0.064,0.005,,142,0,142,0,,SPT_0115,1.007,0.008,0.087,0.011,65,0,65,0,0.004,205,0.318,0.75083,,pseudo,FALSE
3030,SPT_0116,0.996,0.006,0.075,0.006,,152,0,152,0,,SPT_0116,0.997,0.005,0.07,0.008,77,0,77,0,0,227,0.042,0.96669,,cell wall surface anchor family protein,FALSE
699,SPT_0117,0.999,0.006,0.078,0.007,,111,0,111,0,,SPT_0117,0.996,0.006,0.077,0.011,53,0,53,0,0.003,162,0.268,0.78907,,DNA-binding response regulator,FALSE
1053,SPT_0118,1.002,0.007,0.084,0.009,,93,0,93,0,,SPT_0118,1.01,0.008,0.088,0.013,45,0,45,0,-0.008,136,0.521,0.60311,,histidine kinase,FALSE
612,SPT_0119,,,,,rpsD,,,,,,SPT_0119,,,,,,,,,,,,,,30S ribosomal protein S4,FALSE
261,SPT_0120,1.024,0.003,0.059,0.013,,19,0,19,0,,SPT_0120,0.998,0.001,0.037,0.014,7,0,7,0,0.026,24,1.342,0.1921,,hypothetical protein,FALSE
222,SPT_0121,1.014,0.005,0.069,0.013,,28,0,28,0,,SPT_0121,1.002,0.008,0.087,0.023,15,0,15,0,0.012,41,0.446,0.65823,,hypothetical protein,FALSE
960,SPT_0122,1.002,0.005,0.071,0.005,,179,0,179,0,,SPT_0122,0.997,0.007,0.083,0.009,93,0,93,0,0.004,270,0.433,0.66549,,ABC transporter membrane-spanning permease - sugar transport,FALSE
924,SPT_0123,1.004,0.004,0.064,0.006,,111,0,111,0,,SPT_0123,0.987,0.007,0.085,0.011,56,0,56,0,0.017,165,1.351,0.1786,,protein LplC,FALSE
1476,SPT_0124,0.995,0.005,0.074,0.005,,201,0,201,0,,SPT_0124,0.993,0.005,0.068,0.007,104,0,104,0,0.001,303,0.17,0.86507,,"ABC transporter, substrate-binding protein",FALSE
987,SPT_0125,1.003,0.005,0.069,0.008,,85,0,85,0,,SPT_0125,1.002,0.007,0.083,0.013,42,0,42,0,0.001,125,0.069,0.94472,,rhodanese-like domain protein,FALSE
861,SPT_0126,0.989,0.005,0.069,0.007,,104,0,104,0,,SPT_0126,0.995,0.005,0.074,0.01,54,0,54,0,-0.005,156,0.442,0.65925,,hypothetical protein,FALSE
165,SPT_0127,0.966,0.01,0.102,0.015,,48,0,48,0,,SPT_0127,1.017,0.014,0.117,0.024,23,0,23,0,-0.051,69,1.797,0.07669,,hypothetical protein,FALSE
1347,SPT_0128,,,,,,,,,,,SPT_0128,,,,,,,,M,,,,,,Spn1 transposase,FALSE
126,SPT_0129,1.008,0.002,0.048,0.012,,15,0,15,0,,SPT_0129,0.998,0.004,0.06,0.02,9,0,9,0,0.011,22,0.46,0.65,,hypothetical protein,FALSE
198,SPT_0130,0.991,0.003,0.055,0.011,,24,0,24,0,,SPT_0130,0.99,0.005,0.071,0.02,13,0,13,0,0.002,35,0.074,0.94169,,macrolide export ATP-binding/permease protein MacB,FALSE
1065,SPT_0131,1.001,0.005,0.073,0.006,,162,0,162,0,,SPT_0131,0.998,0.004,0.063,0.007,78,0,78,0,0.003,238,0.345,0.73004,,hypothetical protein,FALSE
912,SPT_0132,0.997,0.005,0.069,0.006,,121,0,121,0,,SPT_0132,0.999,0.007,0.081,0.01,63,0,63,0,-0.002,182,0.205,0.83794,,hypothetical protein,FALSE
594,SPT_0133,0.982,0.006,0.078,0.01,,58,0,58,0,,SPT_0133,0.977,0.009,0.094,0.018,27,0,27,0,0.004,83,0.202,0.84077,,hypothetical protein,FALSE
327,SPT_0134,0.996,0.007,0.081,0.011,,57,0,57,0,,SPT_0134,0.971,0.007,0.082,0.015,31,0,31,0,0.025,86,1.348,0.18131,,"transcriptional regulator, PadR family",FALSE
1167,SPT_0135,1.004,0.005,0.071,0.005,,178,0,178,0,,SPT_0135,0.993,0.005,0.07,0.007,88,0,88,0,0.011,264,1.164,0.24551,,"transporter, putative",FALSE
1065,SPT_0136,,,,,,,,,,,SPT_0136,,,,,,,,,,,,,,glycosyl transferase,FALSE
1851,SPT_0137,,,,,,,,,,,SPT_0137,,,,,,,,,,,,,,"capsular polysaccharide biosynthesis protein, putative",FALSE
633,SPT_0138,0.995,0.004,0.067,0.006,,129,0,129,0,,SPT_0138,0.988,0.003,0.054,0.007,70,0,70,0,0.006,197,0.719,0.47313,,phosphoglycolate phosphatase,FALSE
873,SPT_0139,0.999,0.005,0.069,0.008,sdaAA,83,0,83,0,,SPT_0139,0.994,0.005,0.068,0.011,35,0,35,0,0.005,116,0.389,0.69813,,"L-serine dehydratase, iron-sulfur-dependent, alpha subunit",FALSE
