Pos size,Gene,2394 - mean - Gluc,2394 - var - Gluc,2394 - sd - Gluc,2394 - se - Gluc,2394 - Total - Gluc,2394 - Blank - Gluc,2394 - Not Blank - Gluc,2394 - Blank Removed - Gluc,mean.2394.PennG,2394 - var - PennG,2394 - sd - PennG,2394 - se - PennG,2394 - Total - PennG,2394 - Blank - PennG,2394 - Not Blank - PennG,2394 - Blank Removed - PennG,Value,Df,TDIST,p-value,Significance,Common Name,TIMS-CATEGORY,What to do/What they are,gene,M,locus,Sig
203,SP_1592,0.86,0.02,0.15,0.06,6,0,6,0,0.39,0.21,0.46,0.19,6,4,2,0,0.48,10,2.414,0.03644,**,conserved domain protein,UNKNOWN,NO-PHENOTYPE,,,SP_1592,TRUE
1604,SP_1739,0.78,0.02,0.15,0.02,36,0,36,0,0.97,0.01,0.12,0.02,37,0,37,0,-0.19,71,6.092,0,**,KH domain protein,UNKNOWN,CORE,,,SP_1739,TRUE
926,SP_1887,0.88,0.01,0.08,0.01,29,0,29,0,1.11,0.01,0.09,0.02,29,0,29,0,-0.23,56,10.516,0,**,"oligopeptide ABC transporter, ATP-binding protein AmiF",TRANSPORT,PHENOTYPED,,,SP_1887,TRUE
1067,SP_1888,0.87,0.01,0.09,0.01,41,0,41,0,1.13,0.01,0.11,0.02,42,0,42,0,-0.26,81,11.905,0,**,"oligopeptide ABC transporter, ATP-binding protein AmiE",TRANSPORT,PHENOTYPED,,,SP_1888,TRUE
926,SP_1889,0.89,0,0.07,0.01,37,0,37,0,1.11,0.01,0.09,0.01,37,0,37,0,-0.22,72,11.878,0,**,"oligopeptide ABC transporter, permease protein AmiD",TRANSPORT,PHENOTYPED,,,SP_1889,TRUE
1496,SP_1890,0.87,0,0.07,0.01,54,0,54,0,1.11,0.01,0.1,0.01,59,0,59,0,-0.24,111,15.328,0,**,"oligopeptide ABC transporter, permease protein AmiC",TRANSPORT,PHENOTYPED,,,SP_1890,TRUE
1979,SP_1891,0.89,0.01,0.1,0.01,150,0,150,0,1.11,0.01,0.1,0.01,151,0,151,0,-0.22,299,19.012,0,**,"oligopeptide ABC transporter, oligopeptide-binding protein AmiA",TRANSPORT,PHENOTYPED,,,SP_1891,TRUE
485,SP_2036,1,0,0.07,0.01,22,0,22,0,1.2,0.02,0.15,0.03,22,0,22,0,-0.2,42,5.668,0,**,"PTS system, IIA component",TRANSPORT,VIVO,,,SP_2036,TRUE
986,SP_2040,0.84,0.02,0.12,0.03,16,0,16,0,1.11,0.02,0.14,0.03,18,0,18,0,-0.26,32,5.889,0,**,putative jag protein,UNKNOWN,CORE,,,SP_2040,TRUE
1250,SP_2173,0.98,0.01,0.08,0.01,145,0,145,0,1.17,0.01,0.1,0.01,149,0,149,0,-0.2,292,19.017,0,**,dltD protein,UNKNOWN,PHENOTYPED,,,SP_2173,TRUE
239,SP_2174,0.95,0.01,0.07,0.02,20,0,20,0,1.18,0.01,0.08,0.02,20,0,20,0,-0.23,38,9.376,0,**,D-alanyl carrier protein,AMINO ACID METABOLSIM,NO-PHENOTYPE,,,SP_2174,TRUE
803,SP_0283,0.95,0,0.06,0.02,15,0,15,0,0.81,0,0.04,0.01,14,0,14,0,0.14,27,7.315,0,***,"PTS system, mannose-specific IIC component",TRANSPORT,PHENOTYPED,,,SP_0283,TRUE
1199,SP_0690,0.9,0.05,0.22,0.06,11,0,11,0,0.25,0.15,0.38,0.14,8,6,2,0,0.64,17,4.272,0.00052,***,cell division protein DivIB,CELL DIVISION,CORE,,,SP_0690,TRUE
1370,SP_0943,1.03,0.01,0.09,0.02,34,0,34,0,0.8,0.12,0.35,0.06,34,2,32,0,0.23,66,3.74,0.00039,***,Gid protein,CELL DIVISION,PHENOTYPED,,,SP_0943,TRUE
740,SP_1733,0.55,0.04,0.19,0.07,8,1,7,0,0.9,0.01,0.1,0.04,8,0,8,0,-0.35,14,4.654,0.00037,***,putative phosphatase,UNKNOWN,CORE,,,SP_1733,TRUE
3509,SP_0006,1.01,0.01,0.08,0.01,110,0,110,0,0.86,0.03,0.19,0.02,110,0,110,0,0.15,218,7.638,0,****,transcription-repair coupling factor,"DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,,,SP_0006,TRUE
1268,SP_0010,0.88,0.02,0.13,0.03,16,0,16,0,0.49,0.02,0.14,0.04,16,1,15,0,0.4,30,8.223,0,****,conserved domain protein,UNKNOWN,CORE,,,SP_0010,TRUE
1958,SP_0013,0.82,0.02,0.15,0.03,20,1,19,0,0.25,0.05,0.23,0.06,17,10,7,0,0.57,35,8.75,0,****,cell division protein FtsH,CELL DIVISION,CORE,,,SP_0013,TRUE
992,SP_0037,0.56,0.02,0.13,0.03,23,1,22,0,0.05,0.01,0.09,0.02,23,17,6,0,0.51,44,15.065,0,****,fatty acid/phospholipid synthesis protein PlsX,CELL WALL METABOLISM,PHENOTYPED,,,SP_0037,TRUE
911,SP_0282,0.91,0.01,0.07,0.01,57,0,57,0,0.77,0.02,0.14,0.02,57,2,55,0,0.15,112,6.954,0,****,"PTS system, mannose-specific IID component",TRANSPORT,PHENOTYPED,,,SP_0282,TRUE
998,SP_0284,0.94,0.01,0.09,0.02,24,0,24,0,0.78,0.01,0.11,0.02,22,0,22,0,0.16,44,5.163,0.00001,****,"PTS system, mannose-specific IIAB components",TRANSPORT,PHENOTYPED,,,SP_0284,TRUE
542,SP_0332,1.01,0.01,0.09,0.01,36,0,36,0,0.8,0.08,0.28,0.05,35,1,34,0,0.21,69,4.283,0.00006,****,hypothetical protein,UNKNOWN,VIVO,,,SP_0332,TRUE
1394,SP_0374,0.91,0.01,0.08,0.01,50,0,50,0,0.45,0.09,0.3,0.04,50,8,42,0,0.46,98,10.53,0,****,hypothetical protein,UNKNOWN,CORE,,,SP_0374,TRUE
365,SP_0442,0.94,0,0.04,0.01,7,0,7,0,0.68,0.01,0.1,0.04,7,0,7,0,0.26,12,6.593,0.00003,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,,,SP_0442,TRUE
845,SP_0457,0.89,0.02,0.13,0.04,13,0,13,0,0,0,0,0,12,12,0,0,0.89,23,23.81,0,****,bacitracin resistance protein,CELL WALL METABOLISM,CORE,uppP,,SP_0457,TRUE
527,SP_0500,0.94,0,0.06,0.02,14,0,14,0,0.58,0.01,0.09,0.02,13,0,13,0,0.36,25,12.285,0,****,conserved domain protein,UNKNOWN,PHENOTYPED,,,SP_0500,TRUE
1346,SP_0502,0.49,0.08,0.29,0.06,24,6,18,0,0,0,0,0,24,24,0,0,0.49,46,8.402,0,****,"glutamine synthetase, type I",AMINO ACID METABOLSIM,CORE,,,SP_0502,TRUE
254,SP_0563,0.72,0,0.05,0.02,6,0,6,0,0,0,0,0,6,6,0,0,0.72,10,33.586,0,****,hypothetical protein,UNKNOWN,NO-PHENOTYPE,,,SP_0563,TRUE
1232,SP_0616,1.01,0,0.07,0.01,25,0,25,0,0.74,0.02,0.12,0.02,25,0,25,0,0.27,48,9.655,0,****,beta-lactam resistance factor,CELL WALL METABOLISM,PHENOTYPED,,,SP_0616,TRUE
713,SP_0698,1.01,0,0.07,0.01,57,0,57,0,0.82,0.09,0.29,0.04,54,1,53,0,0.19,109,4.608,0.00001,****,hypothetical protein,UNKNOWN,PHENOTYPED,,,SP_0698,TRUE
674,SP_0798,0.92,0.01,0.11,0.04,9,0,9,0,0.37,0.05,0.21,0.07,9,1,8,0,0.55,16,6.798,0,****,DNA-binding response regulator CiaR,REGULATOR,PHENOTYPED,,,SP_0798,TRUE
1241,SP_0872,0.88,0.01,0.1,0.02,31,0,31,0,0,0,0.02,0,28,27,1,0,0.87,57,50.186,0,****,D-alanyl-D-alanine carboxypeptidase,AMINO ACID METABOLSIM,CORE,,,SP_0872,TRUE
1109,SP_0873,0.56,0.02,0.13,0.03,20,0,20,0,0.06,0.02,0.12,0.03,20,16,4,0,0.5,38,12.576,0,****,membrane protein,UNKNOWN,CORE,,,SP_0873,TRUE
461,SP_0928,0.89,0.01,0.11,0.04,8,0,8,0,0.62,0,0.07,0.02,8,0,8,0,0.26,14,5.593,0.00007,****,signal peptidase II,TRANSPORT,PHENOTYPED,,,SP_0928,TRUE
1076,SP_1013,0.93,0.01,0.1,0.02,20,0,20,0,0.78,0.01,0.1,0.02,19,0,19,0,0.15,37,4.693,0.00004,****,aspartate-semialdehyde dehydrogenase,AMINO ACID METABOLSIM,PHENOTYPED,,,SP_1013,TRUE
614,SP_1026,1,0.01,0.08,0.03,8,0,8,0,0.4,0.02,0.13,0.05,8,1,7,0,0.6,14,11.332,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,,,SP_1026,TRUE
2165,SP_1241,0.96,0.01,0.1,0.02,33,0,33,0,0.34,0.05,0.23,0.04,31,10,21,0,0.62,62,14.03,0,****,"amino acid ABC transporter, amino acid-binding protein/permease protein",TRANSPORT,CORE,,,SP_1241,TRUE
740,SP_1242,0.99,0.01,0.09,0.03,8,0,8,0,0.38,0.03,0.17,0.06,8,0,8,0,0.61,14,8.964,0,****,"amino acid ABC transporter, ATP-binding protein",TRANSPORT,CORE,,,SP_1242,TRUE
521,SP_1278,0.93,0.01,0.08,0.02,17,0,17,0,0.64,0.05,0.22,0.05,17,1,16,0,0.29,32,5.183,0.00001,****,pyrimidine operon regulatory protein,NUCLEOTIDE METABOLSIM,VIVO,,,SP_1278,TRUE
677,SP_1377,0.96,0.01,0.1,0.02,20,0,20,0,0.76,0.02,0.16,0.04,17,1,16,0,0.2,35,4.6,0.00005,****,3-dehydroquinate dehydratase,AMINO ACID METABOLSIM,PHENOTYPED,aroD,,SP_1377,TRUE
788,SP_1412,0.9,0.01,0.1,0.02,42,0,42,0,0.73,0.03,0.16,0.03,40,0,40,0,0.17,80,5.766,0,****,prolipoprotein diacylglyceryl transferase,VARIOUS,PHENOTYPED,,,SP_1412,TRUE
236,SP_1459,0.92,0.01,0.08,0.04,5,0,5,0,0,0,0,0,5,5,0,0,0.92,8,24.8,0,****,hypothetical protein,UNKNOWN,CORE,,,SP_1459,TRUE
647,SP_1466,0.96,0,0.06,0.02,7,0,7,0,0.34,0.06,0.24,0.09,7,1,6,0,0.61,12,6.554,0.00003,****,hemolysin,VARIOUS,PHENOTYPED,,,SP_1466,TRUE
1718,SP_1498,0.78,0.01,0.1,0.02,17,0,17,0,0.32,0.04,0.19,0.04,19,4,15,0,0.46,34,9.271,0,****,phosphoglucomutase,CARBOHYDRATE METABOLISM,PHENOTYPED,,,SP_1498,TRUE
1013,SP_1506,0.43,0.07,0.26,0.05,22,6,16,0,0.15,0.03,0.17,0.04,22,13,9,0,0.28,42,4.183,0.00014,****,conserved hypothetical protein,CARBOHYDRATE METABOLISM,CORE,,,SP_1506,TRUE
1655,SP_1518,0.86,0.02,0.14,0.03,22,0,22,0,0,0,0.02,0,21,20,1,0,0.85,41,27.733,0,****,conserved hypothetical protein,UNKNOWN,CORE,,,SP_1518,TRUE
431,SP_1545,0.91,0.01,0.08,0.02,14,0,14,0,0.71,0.02,0.13,0.03,15,0,15,0,0.19,27,4.851,0.00005,****,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,,,SP_1545,TRUE
476,SP_1604,1.15,0.02,0.13,0.05,6,0,6,0,0.56,0.02,0.15,0.06,6,1,5,0,0.58,10,7.249,0.00003,****,hypothetical protein,UNKNOWN,PHENOTYPED,,,SP_1604,TRUE
896,SP_1682,1.03,0.01,0.12,0.02,44,1,43,0,0.88,0.02,0.12,0.02,41,0,41,0,0.15,83,5.79,0,****,"sugar ABC transporter, permease protein",TRANSPORT,PHENOTYPED,,,SP_1682,TRUE
1328,SP_1683,1.02,0.01,0.07,0.01,71,0,71,0,0.84,0.01,0.12,0.01,71,1,70,0,0.18,140,10.763,0,****,"sugar ABC transporter, sugar-binding protein",TRANSPORT,PHENOTYPED,,,SP_1683,TRUE
1454,SP_1724,0.99,0.01,0.09,0.02,30,0,30,0,0.83,0.02,0.13,0.02,30,0,30,0,0.16,58,5.69,0,****,sucrose-6-phosphate hydrolase,CARBOHYDRATE METABOLISM,PHENOTYPED,,,SP_1724,TRUE
758,SP_1731,0.96,0.01,0.1,0.02,24,0,24,0,0.5,0.18,0.43,0.09,21,9,12,0,0.46,43,4.804,0.00002,****,conserved hypothetical protein,UNKNOWN,VIVO,,,SP_1731,TRUE
605,SP_1752,0.99,0.01,0.09,0.02,24,0,24,0,0.84,0.01,0.12,0.02,24,0,24,0,0.15,46,4.948,0.00001,****,putative mechanosensitive ion channel,TRANSPORT,NO-PHENOTYPE,,,SP_1752,TRUE
569,SP_1875,0.94,0.01,0.09,0.03,11,0,11,0,0.78,0.01,0.08,0.02,11,0,11,0,0.16,20,4.485,0.00023,****,segregation and condensation protein B,CELL DIVISION,PHENOTYPED,scpB,,SP_1875,TRUE
728,SP_1876,0.95,0.01,0.08,0.02,16,0,16,0,0.73,0.01,0.1,0.03,14,0,14,0,0.22,28,6.785,0,****,segregation and condensation protein A,CELL DIVISION,PHENOTYPED,scpA,,SP_1876,TRUE
1625,SP_1883,0.75,0.02,0.15,0.03,30,1,29,0,0.34,0.05,0.22,0.04,28,10,18,0,0.42,56,8.234,0,****,putative dextran glucosidase DexS,CARBOHYDRATE METABOLISM,CORE,,,SP_1883,TRUE
656,SP_1983,0.61,0.06,0.24,0.09,8,1,7,0,0,0,0,0,8,8,0,0,0.61,14,7.109,0.00001,****,ribulose-phosphate 3-epimerase,CARBOHYDRATE METABOLISM,LIKELYESSENTIAL,,,SP_1983,TRUE
2195,SP_2010,0.99,0.01,0.09,0.01,59,0,59,0,0.71,0.01,0.12,0.02,57,1,56,0,0.28,114,14.119,0,****,penicillin-binding protein 2A,CELL WALL METABOLISM,PHENOTYPED,,,SP_2010,TRUE
728,SP_2020,1.01,0.01,0.08,0.02,25,0,25,0,0.7,0.04,0.2,0.04,23,1,22,0,0.31,46,7.001,0,****,"transcriptional regulator, GntR family",REGULATOR,PHENOTYPED,,,SP_2020,TRUE
2651,SP_2026,0.91,0.01,0.08,0.01,119,0,119,0,0.69,0.02,0.12,0.01,115,1,114,0,0.22,232,16.039,0,****,"alcohol dehydrogenase, iron-containing",CARBOHYDRATE METABOLISM,PHENOTYPED,,,SP_2026,TRUE
410,SP_2027,1.01,0.01,0.1,0.02,25,0,25,0,0.63,0.05,0.21,0.04,25,1,24,0,0.38,48,7.954,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,,,SP_2027,TRUE
428,SP_2028,1.02,0.01,0.1,0.03,14,0,14,0,0.78,0.02,0.15,0.04,14,0,14,0,0.24,26,5.009,0.00003,****,phosphotyrosine protein phosphatase,UNKNOWN,NO-PHENOTYPE,,,SP_2028,TRUE
299,SP_2029,1.04,0.01,0.07,0.02,21,0,21,0,0.84,0.02,0.13,0.03,21,0,21,0,0.2,40,5.993,0,****,"preprotein translocase, YajC subunit",TRANSPORT,VIVO,yajC,,SP_2029,TRUE
1976,SP_2030,0.9,0.01,0.09,0.01,53,0,53,0,0.66,0.01,0.12,0.02,53,1,52,0,0.24,104,11.755,0,****,transketolase,CARBOHYDRATE METABOLISM,CORE,,,SP_2030,TRUE
371,SP_2054,0.99,0.01,0.09,0.02,19,0,19,0,0.75,0.01,0.1,0.02,18,0,18,0,0.24,35,7.704,0,****,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,,,SP_2054,TRUE
1817,SP_2057,1,0,0.06,0.01,79,0,79,0,0.5,0.02,0.13,0.01,78,2,76,0,0.5,155,30.693,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,,,SP_2057,TRUE
1517,SP_2107,0.9,0.01,0.08,0.01,35,0,35,0,0.59,0.05,0.22,0.04,33,2,31,0,0.3,66,7.429,0,****,4-alpha-glucanotransferase,CARBOHYDRATE METABOLISM,CORE,,,SP_2107,TRUE
1973,SP_2205,0.74,0.01,0.12,0.02,51,0,51,0,0.51,0.05,0.23,0.03,51,4,47,0,0.24,100,6.524,0,****,DHH subfamily 1 protein,UNKNOWN,PHENOTYPED,,,SP_2205,TRUE
830,SP_2223,0.99,0.02,0.13,0.03,24,1,23,0,0.66,0.03,0.17,0.04,23,2,21,0,0.33,45,7.387,0,****,conserved hypothetical protein,UNKNOWN,VIVO,,,SP_2223,TRUE
1250,SP_2225,1.03,0.01,0.09,0.03,12,0,12,0,0.71,0.01,0.1,0.03,11,0,11,0,0.32,21,8.229,0,****,conserved hypothetical protein,UNKNOWN,VIVO,,,SP_2225,TRUE
1361,SP_0001,,,,,,,,,,,,,,,,,,,,,,chromosomal replication initiator protein DnaA,"DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,dnaA,,SP_0001,FALSE
1136,SP_0002,,,,,,,,,,,,,,,,,,,,,,"DNA polymerase III, beta subunit","DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,,,SP_0002,FALSE
248,SP_0003,0.93,0,0.07,0.03,4,0,4,0,1.05,0,0.04,0.02,4,0,4,0,-0.12,6,2.841,0.02954,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,,,SP_0003,FALSE
1115,SP_0004,0.92,0.03,0.16,0.04,18,1,17,0,1.05,0.02,0.14,0.03,18,0,18,0,-0.13,34,2.473,0.01856,,GTP-dependent nucleic acid-binding protein,TRANSCRIPTION AND TRANSLATION,PHENOTYPED,,,SP_0004,FALSE
569,SP_0005,,,,,,,,,,,,,,,,,,,,,,peptidyl-tRNA hydrolase,TRANSCRIPTION AND TRANSLATION,ESSENTIAL,,,SP_0005,FALSE
266,SP_0007,1,0,0.06,0.01,19,0,19,0,0.99,0.01,0.1,0.02,19,0,19,0,0.01,36,0.505,0.61653,,S4 domain protein,UNKNOWN,NO-PHENOTYPE,,,SP_0007,FALSE
368,SP_0008,,,,,,,,,,,,,,,,,,,,,,hypothetical protein,UNKNOWN,ESSENTIAL,,,SP_0008,FALSE
122,SP_0009,0.95,0.03,0.16,0.07,5,0,5,0,0.82,0.01,0.08,0.03,5,0,5,0,0.14,8,1.689,0.12961,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,,,SP_0009,FALSE
1277,SP_0011,0.68,0,0,0,1,0,1,0,,,,,,,,,,,,,,tRNA(Ile)-lysidine synthetase,TRANSCRIPTION AND TRANSLATION,ESSENTIAL,,,SP_0011,FALSE
542,SP_0012,0.78,0.04,0.21,0.05,19,1,18,0,0.74,0.15,0.39,0.09,19,1,18,0,0.04,36,0.346,0.73169,,hypoxanthine-guanine phosphoribosyltransferase,NUCLEOTIDE METABOLSIM,CORE,,,SP_0012,FALSE
479,SP_0014,,,,,,,,,,,,,,,,,,,,,,transcriptional regulator ComX1,REGULATOR,REMOVE,,,SP_0014,FALSE
416,SP_0015,,,,,,,,,,,,,,,,,,,,,,"IS630-Spn1, transposase Orf1",,REMOVE,,,SP_0015,FALSE
338,SP_0016,,,,,,,,,,,,,,,,,,,,,,"IS630-Spn1, transposase Orf2",,REMOVE,,,SP_0016,FALSE
746,SP_0017,1.02,0,0.03,0.01,4,0,4,0,1.03,0,0.05,0.03,4,0,4,0,-0.01,6,0.33,0.75245,,"IS1167, transposase, degenerate",,REMOVE,,M,SP_0017,FALSE
242,SP_0018,1.03,0.01,0.07,0.03,8,0,8,0,1.12,0.01,0.1,0.03,8,0,8,0,-0.09,14,2.207,0.04448,,hypothetical protein,UNKNOWN,VIVO,,,SP_0018,FALSE
1286,SP_0019,0.86,0.01,0.09,0.01,41,0,41,0,0.89,0.01,0.12,0.02,41,0,41,0,-0.04,80,1.62,0.10916,,adenylosuccinate synthetase,NUCLEOTIDE METABOLSIM,PHENOTYPED,,,SP_0019,FALSE
467,SP_0020,1,0,0.02,0.01,2,0,2,0,0.97,0,0.04,0.03,2,0,2,0,0.03,2,1.114,0.38111,,cytidine/deoxycytidylate deaminase family protein,NUCLEOTIDE METABOLSIM,VIVO,,,SP_0020,FALSE
443,SP_0021,0.94,0.01,0.08,0.03,8,0,8,0,0.98,0.01,0.08,0.03,8,0,8,0,-0.04,14,0.949,0.35869,,putative deoxyuridine 5triphosphate nucleotidohydrolase,NUCLEOTIDE METABOLSIM,PHENOTYPED,dut,,SP_0021,FALSE
515,SP_0022,1.01,0.02,0.13,0.02,28,0,28,0,1.06,0.03,0.16,0.03,29,0,29,0,-0.05,55,1.298,0.19972,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,,,SP_0022,FALSE
1391,SP_0023,1.01,0.01,0.08,0.02,26,0,26,0,1.01,0.01,0.09,0.02,26,0,26,0,0,50,0.187,0.85254,,"DNA repair protein RadA, authentic point mutation","DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,radA,,SP_0023,FALSE
497,SP_0024,,,,,,,,,,,,,,,,,,,,,,conserved hypothetical protein,VARIOUS METABOLISM AND BIOSYNTHESIS,CORE,,,SP_0024,FALSE
209,SP_0025,0.98,0.01,0.1,0.03,12,0,12,0,1.03,0.01,0.08,0.02,12,0,12,0,-0.06,22,1.509,0.14542,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,,,SP_0025,FALSE
623,SP_0026,1,0.01,0.08,0.01,36,0,36,0,1.02,0.01,0.12,0.02,36,0,36,0,-0.02,70,0.962,0.33948,,hypothetical protein,UNKNOWN,VIVO,,,SP_0026,FALSE
968,SP_0027,,,,,,,,,,,,,,,,,,,,,,ribose-phosphate pyrophosphokinase,NUCLEOTIDE METABOLSIM,ESSENTIAL,,,SP_0027,FALSE
281,SP_0028,0.96,0,0.06,0.04,2,0,2,0,1.12,0,0.01,0.01,2,0,2,0,-0.16,2,4.043,0.05609,,"IS1167, transposase, truncation",,REMOVE,,,SP_0028,FALSE
233,SP_0029,0.99,0,0.05,0.01,15,0,15,0,1.03,0,0.06,0.01,15,0,15,0,-0.04,28,2.171,0.03853,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,,,SP_0029,FALSE
326,SP_0030,0.98,0,0.05,0.02,9,0,9,0,1,0,0.06,0.02,9,0,9,0,-0.01,16,0.55,0.59005,,competence-induced protein Ccs16,VARIOUS,VIVO,,,SP_0030,FALSE
314,SP_0031,0.98,0.01,0.11,0.03,10,0,10,0,0.97,0,0.06,0.02,9,0,9,0,0.01,17,0.181,0.85835,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,,,SP_0031,FALSE
2633,SP_0032,,,,,,,,,,,,,,,,,,,,,,DNA polymerase I,"DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,,,SP_0032,FALSE
437,SP_0033,1.01,0,0.06,0.02,12,0,12,0,1.02,0,0.04,0.01,12,0,12,0,0,22,0.15,0.88183,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,,,SP_0033,FALSE
1010,SP_0034,0.99,0.01,0.07,0.01,25,0,25,0,1.03,0.01,0.12,0.02,25,0,25,0,-0.04,48,1.321,0.19275,,membrane protein,UNKNOWN,NO-PHENOTYPE,,,SP_0034,FALSE
1169,SP_0035,0.95,0.01,0.08,0.01,39,0,39,0,1.12,0.01,0.1,0.02,41,0,41,0,-0.17,78,8.358,0,,aromatic amino acid aminotransferase,AMINO ACID METABOLSIM,PHENOTYPED,,,SP_0035,FALSE
770,SP_0036,,,,,,,,,,,,,,,,,,,,,,DNA repair protein,"DNA REPLICATION, REPAIR AND RECOMBINATION",LIKELYESSENTIAL,recO,,SP_0036,FALSE
233,SP_0038,,,,,,,,,,,,,,,,,,,,,,putative acyl carrier protein,CELL WALL METABOLISM,VIVO,,,SP_0038,FALSE
293,SP_0039,1.03,0,0,0,1,0,1,0,0.87,0,0,0,1,0,1,0,,,,,,"IS1381, transposase OrfB, truncation",,REMOVE,,,SP_0039,FALSE
125,SP_0040,0.88,0,0.06,0.03,5,0,5,0,0.63,0.05,0.23,0.1,5,1,4,0,0.25,8,2.336,0.04768,,hypothetical protein,UNKNOWN,VIVO,,,SP_0040,FALSE
230,SP_0041,0.99,0,0.02,0.02,2,0,2,0,0.86,0,0.05,0.03,2,0,2,0,0.13,2,3.689,0.06627,,bacteriocin BlpU,CELL WALL METABOLISM,NO-PHENOTYPE,,,SP_0041,FALSE
2153,SP_0042,1.01,0,0.07,0.01,67,0,67,0,1.02,0.01,0.08,0.01,66,0,66,0,-0.01,131,0.996,0.32097,,competence factor transporting permease/ATP-binding protein ComA,TRANSPORT,VIVO,,,SP_0042,FALSE
1349,SP_0043,1,0.01,0.08,0.01,56,0,56,0,1,0.01,0.07,0.01,55,0,55,0,0,109,0.125,0.90061,,competence factor transport protein ComB,TRANSPORT,NO-PHENOTYPE,,,SP_0043,FALSE
707,SP_0044,0.75,0.02,0.13,0.03,24,0,24,0,0.82,0.01,0.11,0.02,24,0,24,0,-0.07,46,1.903,0.06326,,phosphoribosylaminoimidazole-succinocarboxamide synthase,NUCLEOTIDE METABOLSIM,PHENOTYPED,,,SP_0044,FALSE
