Pos size,Gene,mean-2394-Gluc,var-2394-Gluc,sd-2394-Gluc,se-2394-Gluc,gene,Total-2394-Gluc,Blank-2394-Gluc,Not Blank-2394-Gluc,Blank Removed-2394-Gluc,M,locus-2394,mean.2394.Kan,var-2394-Kan,sd-2394-Kan,se-2394-Kan,gene,Total-2394-Kan,Blank-2394-Kan,Not Blank-2394-Kan,Blank Removed-2394-Kan,M,Value,Df,TDIST,p-value,Significance,Common Name,TIMS-CATEGORY,What to do/What they are,Sig
890,SP_1896,0.998,0.006,0.081,0.015,,28,0,28,0,,SP_1896,1.181,0.009,0.094,0.018,,29,0,29,0,,-0.183,55,7.863,0,**,"sugar ABC transporter, permease protein",TRANSPORT,PHENOTYPED,TRUE
1259,SP_1897,1.026,0.008,0.088,0.013,,45,0,45,0,,SP_1897,1.206,0.013,0.116,0.017,,48,0,48,0,,-0.18,91,8.477,0,**,"sugar ABC transporter, sugar-binding protein",TRANSPORT,PHENOTYPED,TRUE
2162,SP_1898,1.01,0.007,0.083,0.01,,64,0,64,0,,SP_1898,1.162,0.007,0.086,0.011,,66,0,66,0,,-0.152,128,10.244,0,**,alpha-galactosidase,CARBOHYDRATE METABOLISM,PHENOTYPED,TRUE
1289,SP_2121,0.907,0.004,0.064,0.045,hisS,2,0,2,0,,SP_2121,0.357,0.015,0.123,0.087,hisS,2,0,2,0,,0.549,2,5.617,0.03027,**,histidyl-tRNA synthetase,AMINO ACID METABOLSIM,ESSENTIAL,TRUE
,R02-SP1286-SP1287,0.913,0,0.017,0.012,,2,0,2,0,,R02-SP1286-SP1287,0.461,0.001,0.032,0.023,,2,0,2,0,,0.451,2,17.735,0.00316,**,,,,TRUE
1049,SP_0523,1.011,0.005,0.071,0.012,,37,0,37,0,,SP_0523,0.914,0.008,0.09,0.015,,37,0,37,0,,0.098,72,5.172,0,***,"putative ABC transporter, permease protein",TRANSPORT,PHENOTYPED,TRUE
1334,SP_0799,0.835,0.08,0.283,0.079,,13,3,10,0,,SP_0799,0.497,0.051,0.226,0.06,,14,4,10,0,,0.339,25,3.414,0.00219,***,sensor histidine kinase CiaH,REGULATOR,PHENOTYPED,TRUE
2432,SP_2194,0.896,0.005,0.069,0.007,,96,0,96,0,,SP_2194,0.795,0.012,0.109,0.011,,94,0,94,0,,0.101,188,7.619,0,***,"ATP-dependent Clp protease, ATP-binding subunit",TRANSCRIPTION AND TRANSLATION,PHENOTYPED,TRUE
1958,SP_0013,0.772,0.059,0.243,0.054,,20,3,17,0,,SP_0013,0.005,0,0.015,0.004,,16,15,1,0,,0.767,34,14.054,0,****,cell division protein FtsH,CELL DIVISION,CORE,TRUE
992,SP_0037,0.713,0.018,0.133,0.027,,24,0,24,0,,SP_0037,0.203,0.031,0.177,0.036,,24,9,15,0,,0.51,46,11.282,0,****,fatty acid/phospholipid synthesis protein PlsX,CELL WALL METABOLISM,PHENOTYPED,TRUE
704,SP_0184,0.962,0.004,0.064,0.011,,33,0,33,0,,SP_0184,0.782,0.008,0.092,0.016,,33,0,33,0,,0.18,64,9.205,0,****,hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
1424,SP_0199,0.801,0.008,0.091,0.008,,136,0,136,0,,SP_0199,0.573,0.019,0.138,0.012,,134,3,131,0,,0.228,268,15.987,0,****,cardiolipin synthetase,CARBOHYDRATE METABOLISM,PHENOTYPED,TRUE
911,SP_0282,0.871,0.005,0.072,0.009,,66,0,66,0,,SP_0282,0.158,0.025,0.158,0.02,,65,24,41,0,,0.713,129,33.158,0,****,"PTS system, mannose-specific IID component",TRANSPORT,PHENOTYPED,TRUE
803,SP_0283,0.885,0.003,0.051,0.012,,19,0,19,0,,SP_0283,0.133,0.016,0.128,0.029,,19,9,10,0,,0.752,36,23.872,0,****,"PTS system, mannose-specific IIC component",TRANSPORT,PHENOTYPED,TRUE
998,SP_0284,0.911,0.006,0.08,0.016,,26,0,26,0,,SP_0284,0.093,0.026,0.162,0.033,,24,17,7,0,,0.818,48,22.398,0,****,"PTS system, mannose-specific IIAB components",TRANSPORT,PHENOTYPED,TRUE
950,SP_0334,0.909,0.004,0.061,0.022,mraW,8,0,8,0,,SP_0334,0.454,0.031,0.175,0.062,mraW,8,1,7,0,,0.455,14,6.929,0.00001,****,yllC protein,CELL WALL METABOLISM,CORE,TRUE
2159,SP_0369,0.755,0.016,0.125,0.013,,95,2,93,0,,SP_0369,0.537,0.041,0.201,0.021,,96,2,94,0,,0.218,189,9.015,0,****,penicillin-binding protein 1A,CELL WALL METABOLISM,PHENOTYPED,TRUE
1394,SP_0374,0.799,0.013,0.114,0.015,,61,0,61,0,,SP_0374,0.636,0.024,0.154,0.02,,62,2,60,0,,0.162,121,6.659,0,****,hypothetical protein,UNKNOWN,CORE,TRUE
365,SP_0442,0.925,0.004,0.063,0.022,,8,0,8,0,,SP_0442,0.595,0.012,0.11,0.042,,7,0,7,0,,0.331,13,7.006,0.00001,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
254,SP_0563,0.732,0.002,0.043,0.018,,6,0,6,0,,SP_0563,0.403,0.004,0.063,0.026,,6,0,6,0,,0.329,10,10.524,0,****,hypothetical protein,UNKNOWN,NO-PHENOTYPE,TRUE
674,SP_0798,0.831,0.012,0.11,0.033,,11,0,11,0,,SP_0798,0.408,0.053,0.229,0.072,,10,2,8,0,,0.423,19,5.302,0.00004,****,DNA-binding response regulator CiaR,REGULATOR,PHENOTYPED,TRUE
1241,SP_0872,0.743,0.006,0.078,0.013,,35,0,35,0,,SP_0872,0.557,0.026,0.161,0.027,,36,1,35,0,,0.186,69,6.226,0,****,D-alanyl-D-alanine carboxypeptidase,AMINO ACID METABOLSIM,CORE,TRUE
461,SP_0928,0.8,0.055,0.236,0.068,,12,2,10,0,,SP_0928,0.316,0.037,0.192,0.058,,11,3,8,0,,0.484,21,5.42,0.00002,****,signal peptidase II,TRANSPORT,PHENOTYPED,TRUE
617,SP_1406,1.003,0.006,0.077,0.019,,16,0,16,0,,SP_1406,0.826,0.008,0.089,0.026,,12,0,12,0,,0.177,26,5.485,0.00001,****,hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
788,SP_1412,0.787,0.022,0.149,0.022,,48,1,47,0,,SP_1412,0.238,0.067,0.259,0.038,,46,16,30,0,,0.549,92,12.518,0,****,prolipoprotein diacylglyceryl transferase,VARIOUS,PHENOTYPED,TRUE
1973,SP_2205,0.485,0.041,0.202,0.027,,56,7,49,0,,SP_2205,0.229,0.052,0.228,0.03,,58,20,38,0,,0.256,112,6.367,0,****,DHH subfamily 1 protein,UNKNOWN,PHENOTYPED,TRUE
1361,SP_0001,0.1,0.1,X,X,dnaA,,,,,,SP_0001,0.1,0.1,X,X,dnaA,,,,,,,,,,,chromosomal replication initiator protein DnaA,"DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,FALSE
1136,SP_0002,0.1,0.1,X,X,,,,,,,SP_0002,0.1,0.1,X,X,,,,,,,,,,,,"DNA polymerase III, beta subunit","DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,FALSE
248,SP_0003,0.926,0.015,0.124,0.062,,4,0,4,0,,SP_0003,1.035,0.002,0.04,0.02,,4,0,4,0,,-0.109,6,1.673,0.14543,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1115,SP_0004,0.982,0.008,0.091,0.02,,20,0,20,0,,SP_0004,1.011,0.013,0.116,0.026,,20,0,20,0,,-0.029,38,0.875,0.38717,,GTP-dependent nucleic acid-binding protein,TRANSCRIPTION AND TRANSLATION,PHENOTYPED,FALSE
569,SP_0005,0.1,0.1,X,X,,,,,,,SP_0005,0.1,0.1,X,X,,,,,,,,,,,,peptidyl-tRNA hydrolase,TRANSCRIPTION AND TRANSLATION,ESSENTIAL,FALSE
3509,SP_0006,0.969,0.006,0.078,0.007,,133,0,133,0,,SP_0006,0.975,0.013,0.114,0.01,,136,0,136,0,,-0.006,267,0.534,0.59347,,transcription-repair coupling factor,"DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,FALSE
266,SP_0007,0.996,0.005,0.067,0.014,,22,0,22,0,,SP_0007,1.081,0.009,0.094,0.02,,22,0,22,0,,-0.084,42,3.402,0.00148,,S4 domain protein,UNKNOWN,NO-PHENOTYPE,FALSE
368,SP_0008,0.1,0.1,X,X,,,,,,,SP_0008,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,ESSENTIAL,FALSE
122,SP_0009,0.94,0.015,0.124,0.051,,6,0,6,0,,SP_0009,1.04,0.018,0.133,0.054,,6,0,6,0,,-0.099,10,1.336,0.21117,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1268,SP_0010,0.771,0.026,0.162,0.035,,21,1,20,0,,SP_0010,0.759,0.014,0.12,0.026,,21,0,21,0,,0.012,40,0.271,0.78757,,conserved domain protein,UNKNOWN,CORE,FALSE
1277,SP_0011,0.505,0.121,0.347,0.201,,3,1,2,0,,SP_0011,0.177,0.021,0.145,0.102,,2,1,1,0,,0.329,3,1.46,0.24047,,tRNA(Ile)-lysidine synthetase,TRANSCRIPTION AND TRANSLATION,ESSENTIAL,FALSE
542,SP_0012,0.811,0.034,0.184,0.036,,26,0,26,0,,SP_0012,0.611,0.213,0.462,0.094,,24,8,16,0,,0.2,48,1.983,0.05316,,hypoxanthine-guanine phosphoribosyltransferase,NUCLEOTIDE METABOLSIM,CORE,FALSE
479,SP_0014,0.1,0.1,X,X,,,,,,,SP_0014,0.1,0.1,X,X,,,,,,,,,,,,transcriptional regulator ComX1,REGULATOR,REMOVE,FALSE
416,SP_0015,0.1,0.1,X,X,,,,,,,SP_0015,0.1,0.1,X,X,,,,,,,,,,,,"IS630-Spn1, transposase Orf1",,REMOVE,FALSE
338,SP_0016,0.1,0.1,X,X,,,,,,,SP_0016,0.1,0.1,X,X,,,,,,,,,,,,"IS630-Spn1, transposase Orf2",,REMOVE,FALSE
746,SP_0017,0.994,0.009,0.093,0.047,,4,0,4,0,M,SP_0017,1.085,0.007,0.086,0.043,,4,0,4,0,M,-0.09,6,1.427,0.20349,,"IS1167, transposase, degenerate",,REMOVE,FALSE
242,SP_0018,0.994,0.003,0.052,0.017,,10,0,10,0,,SP_0018,1.106,0.011,0.107,0.034,,10,0,10,0,,-0.112,18,2.977,0.00808,,hypothetical protein,UNKNOWN,VIVO,FALSE
1286,SP_0019,0.9,0.009,0.093,0.013,,48,1,47,0,,SP_0019,0.971,0.014,0.117,0.017,,49,0,49,0,,-0.071,95,3.33,0.00124,,adenylosuccinate synthetase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
467,SP_0020,1.045,0.008,0.092,0.046,,4,0,4,0,,SP_0020,1.042,0,0.02,0.011,,3,0,3,0,,0.003,5,0.056,0.95734,,cytidine/deoxycytidylate deaminase family protein,NUCLEOTIDE METABOLSIM,VIVO,FALSE
443,SP_0021,0.995,0.007,0.083,0.025,dut,11,0,11,0,,SP_0021,1.039,0.009,0.096,0.029,dut,11,0,11,0,,-0.044,20,1.142,0.26692,,putative deoxyuridine 5triphosphate nucleotidohydrolase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
515,SP_0022,1.017,0.009,0.095,0.017,,33,0,33,0,,SP_0022,1.058,0.043,0.207,0.036,,33,0,33,0,,-0.041,64,1.029,0.30745,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1391,SP_0023,1.027,0.006,0.074,0.013,radA,31,0,31,0,,SP_0023,1.042,0.009,0.093,0.016,radA,32,0,32,0,,-0.016,61,0.741,0.46169,,"DNA repair protein RadA, authentic point mutation","DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,FALSE
497,SP_0024,0.1,0.1,X,X,,,,,,,SP_0024,0.1,0.1,X,X,,,,,,,,,,,,conserved hypothetical protein,VARIOUS METABOLISM AND BIOSYNTHESIS,CORE,FALSE
209,SP_0025,0.949,0.006,0.08,0.022,,13,0,13,0,,SP_0025,0.948,0.009,0.092,0.026,,13,0,13,0,,0.001,24,0.029,0.97719,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
623,SP_0026,0.976,0.013,0.112,0.017,,41,1,40,0,,SP_0026,0.96,0.023,0.151,0.024,,41,0,41,0,,0.016,80,0.548,0.58536,,hypothetical protein,UNKNOWN,VIVO,FALSE
968,SP_0027,0.1,0.1,X,X,,,,,,,SP_0027,0.1,0.1,X,X,,,,,,,,,,,,ribose-phosphate pyrophosphokinase,NUCLEOTIDE METABOLSIM,ESSENTIAL,FALSE
281,SP_0028,1.043,0.014,0.118,0.068,,3,0,3,0,,SP_0028,1.064,0.002,0.043,0.03,,2,0,2,0,,-0.021,3,0.278,0.79882,,"IS1167, transposase, truncation",,REMOVE,FALSE
233,SP_0029,1.018,0.003,0.058,0.014,,17,0,17,0,,SP_0029,1.001,0.004,0.064,0.016,,17,0,17,0,,0.017,32,0.82,0.41837,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
326,SP_0030,1.01,0.002,0.049,0.016,,10,0,10,0,,SP_0030,1.024,0.004,0.063,0.02,,10,0,10,0,,-0.014,18,0.562,0.58073,,competence-induced protein Ccs16,VARIOUS,VIVO,FALSE
314,SP_0031,0.976,0.006,0.076,0.022,,12,0,12,0,,SP_0031,0.976,0.006,0.075,0.022,,12,0,12,0,,0,22,0.003,0.99794,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
2633,SP_0032,0.1,0.1,X,X,,,,,,,SP_0032,0.1,0.1,X,X,,,,,,,,,,,,DNA polymerase I,"DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,FALSE
437,SP_0033,1.002,0.002,0.048,0.013,,14,0,14,0,,SP_0033,1.034,0.005,0.07,0.019,,14,0,14,0,,-0.032,26,1.403,0.17245,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1010,SP_0034,0.988,0.003,0.055,0.01,,32,0,32,0,,SP_0034,1.01,0.005,0.073,0.013,,32,0,32,0,,-0.022,62,1.372,0.17515,,membrane protein,UNKNOWN,NO-PHENOTYPE,FALSE
1169,SP_0035,0.981,0.005,0.074,0.011,,49,0,49,0,,SP_0035,1.034,0.009,0.095,0.013,,50,0,50,0,,-0.054,97,3.136,0.00227,,aromatic amino acid aminotransferase,AMINO ACID METABOLSIM,PHENOTYPED,FALSE
770,SP_0036,0.1,0.1,X,X,recO,,,,,,SP_0036,0.1,0.1,X,X,recO,,,,,,,,,,,DNA repair protein,"DNA REPLICATION, REPAIR AND RECOMBINATION",LIKELYESSENTIAL,FALSE
233,SP_0038,0.1,0.1,X,X,,,,,,,SP_0038,0.1,0.1,X,X,,,,,,,,,,,,putative acyl carrier protein,CELL WALL METABOLISM,VIVO,FALSE
293,SP_0039,1.005,0,0.02,0.014,,2,0,2,0,,SP_0039,1.034,0.002,0.045,0.032,,2,0,2,0,,-0.028,2,0.808,0.50376,,"IS1381, transposase OrfB, truncation",,REMOVE,FALSE
125,SP_0040,0.9,0.006,0.078,0.035,,5,0,5,0,,SP_0040,0.901,0.023,0.153,0.068,,5,0,5,0,,-0.002,8,0.021,0.9841,,hypothetical protein,UNKNOWN,VIVO,FALSE
230,SP_0041,1.04,0.001,0.035,0.024,,2,0,2,0,,SP_0041,0.979,0,0.007,0.005,,2,0,2,0,,0.061,2,2.432,0.13557,,bacteriocin BlpU,CELL WALL METABOLISM,NO-PHENOTYPE,FALSE
2153,SP_0042,0.999,0.005,0.071,0.008,,79,0,79,0,,SP_0042,1.021,0.009,0.096,0.011,,79,0,79,0,,-0.022,156,1.66,0.09888,,competence factor transporting permease/ATP-binding protein ComA,TRANSPORT,VIVO,FALSE
1349,SP_0043,1.018,0.004,0.062,0.008,,68,0,68,0,,SP_0043,1.048,0.009,0.092,0.011,,69,0,69,0,,-0.031,135,2.284,0.02395,,competence factor transport protein ComB,TRANSPORT,NO-PHENOTYPE,FALSE
707,SP_0044,0.918,0.011,0.107,0.019,,31,0,31,0,,SP_0044,0.962,0.012,0.111,0.02,,31,0,31,0,,-0.043,60,1.568,0.12207,,phosphoribosylaminoimidazole-succinocarboxamide synthase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
3725,SP_0045,0.984,0.006,0.079,0.007,,135,0,135,0,,SP_0045,1,0.01,0.098,0.008,,136,0,136,0,,-0.017,269,1.538,0.12522,,putative phosphoribosylformylglycinamidine synthase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
1442,SP_0046,1.009,0.003,0.059,0.009,,46,0,46,0,,SP_0046,0.993,0.008,0.09,0.013,,46,0,46,0,,0.016,90,1.034,0.30375,,amidophosphoribosyltransferase,NUCLEOTIDE METABOLSIM,VIVO,FALSE
1022,SP_0047,1.009,0.004,0.062,0.011,,33,0,33,0,,SP_0047,0.984,0.007,0.086,0.015,,33,0,33,0,,0.025,64,1.369,0.17589,,phosphoribosylformylglycinamide cyclo-ligase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
545,SP_0048,1.018,0.004,0.064,0.021,purN,9,0,9,0,,SP_0048,0.958,0.006,0.077,0.026,purN,9,0,9,0,,0.06,16,1.794,0.09166,,phosphoribosylglycinamide formyltransferase,NUCLEOTIDE METABOLSIM,VIVO,FALSE
509,SP_0049,0.999,0.004,0.064,0.009,,52,0,52,0,,SP_0049,1.029,0.01,0.102,0.014,,51,1,50,0,,-0.03,101,1.771,0.07957,,putative vanZ protein,UNKNOWN,VIVO,FALSE
1547,SP_0050,0.999,0.005,0.07,0.01,purH,53,0,53,0,,SP_0050,1.005,0.006,0.075,0.01,purH,52,0,52,0,,-0.006,103,0.429,0.66851,,phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
1262,SP_0051,0.999,0.006,0.075,0.012,,40,0,40,0,,SP_0051,0.979,0.006,0.079,0.013,,40,0,40,0,,0.02,78,1.157,0.2508,,phosphoribosylamine--glycine ligase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
116,SP_0052,0.1,0.1,X,X,,,,,,,SP_0052,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
488,SP_0053,0.948,0.003,0.057,0.014,,17,0,17,0,,SP_0053,0.914,0.009,0.094,0.023,,17,0,17,0,,0.034,32,1.285,0.20808,,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",NUCLEOTIDE METABOLSIM,VIVO,FALSE
1091,SP_0054,0.977,0.004,0.061,0.009,,44,0,44,0,,SP_0054,0.964,0.006,0.078,0.012,,43,0,43,0,,0.013,85,0.837,0.40469,,"phosphoribosylaminoimidazole carboxylase, ATPase subunit",NUCLEOTIDE METABOLSIM,VIVO,FALSE
227,SP_0055,0.947,0.009,0.097,0.015,,44,0,44,0,,SP_0055,1.024,0.016,0.128,0.019,,45,0,45,0,,-0.077,87,3.222,0.00179,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1298,SP_0056,0.586,0.06,0.244,0.086,,8,2,6,0,,SP_0056,0.619,0.077,0.277,0.083,,11,3,8,0,,-0.033,17,0.275,0.78656,,adenylosuccinate lyase,NUCLEOTIDE METABOLSIM,LIKELYESSENTIAL,FALSE
3938,SP_0057,0.991,0.005,0.072,0.005,,241,0,241,0,,SP_0057,1.019,0.008,0.087,0.006,,240,0,240,0,,-0.028,479,3.85,0.00013,,beta-N-acetylhexosaminidase,CARBOHYDRATE METABOLISM,PHENOTYPED,FALSE
716,SP_0058,0.867,0.003,0.056,0.007,,62,0,62,0,,SP_0058,0.866,0.006,0.078,0.01,,62,0,62,0,,0.001,122,0.121,0.90378,,"transcriptional regulator, GntR family",REGULATOR,CORE,FALSE
101,SP_0059,0.809,0.002,0.048,0.019,,6,0,6,0,,SP_0059,0.762,0.017,0.13,0.053,,6,0,6,0,,0.047,10,0.827,0.42745,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1787,SP_0060,1.012,0.005,0.072,0.007,,120,0,120,0,,SP_0060,1.027,0.009,0.096,0.009,,120,0,120,0,,-0.014,238,1.294,0.19709,,"glycosyl hydrolase, family 35",CARBOHYDRATE METABOLISM,PHENOTYPED,FALSE
476,SP_0061,1.028,0.004,0.066,0.01,,42,0,42,0,,SP_0061,1.033,0.01,0.101,0.016,,41,0,41,0,,-0.005,81,0.286,0.7756,,"PTS system, IIB component",TRANSPORT,PHENOTYPED,FALSE
905,SP_0062,1.009,0.003,0.055,0.007,,69,0,69,0,,SP_0062,1.035,0.007,0.084,0.01,,70,0,70,0,,-0.026,137,2.177,0.03116,,"PTS system, IIC component",TRANSPORT,VIVO,FALSE
815,SP_0063,1.009,0.004,0.062,0.008,,61,0,61,0,,SP_0063,1.007,0.007,0.085,0.011,,62,0,62,0,,0.002,121,0.143,0.88667,,"PTS system, IID component",TRANSPORT,NO-PHENOTYPE,FALSE
404,SP_0064,0.993,0.004,0.061,0.015,,16,0,16,0,,SP_0064,1.036,0.005,0.072,0.018,,16,0,16,0,,-0.043,30,1.815,0.07952,,"PTS system, IIA component",TRANSPORT,PHENOTYPED,FALSE
1166,SP_0065,0.998,0.005,0.071,0.008,,89,0,89,0,,SP_0065,1.039,0.007,0.082,0.009,,89,0,89,0,,-0.041,176,3.548,0.0005,,sugar isomerase domain protein AgaS,CARBOHYDRATE METABOLISM,PHENOTYPED,FALSE
1037,SP_0066,1.015,0.005,0.07,0.009,,66,0,66,0,,SP_0066,1.033,0.007,0.084,0.01,,66,0,66,0,,-0.019,130,1.38,0.16988,,aldose 1-epimerase,CARBOHYDRATE METABOLISM,NO-PHENOTYPE,FALSE
260,SP_0067,1.012,0.003,0.051,0.011,,21,0,21,0,,SP_0067,1.03,0.005,0.073,0.016,,21,0,21,0,,-0.017,40,0.901,0.37282,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
197,SP_0068,0.992,0.009,0.095,0.021,,21,0,21,0,,SP_0068,1.048,0.007,0.083,0.018,,22,0,22,0,,-0.055,41,2.036,0.04821,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
635,SP_0069,1.009,0.005,0.072,0.01,,55,0,55,0,,SP_0069,1.01,0.008,0.09,0.012,,53,0,53,0,,-0.002,106,0.115,0.90884,,choline binding protein I,VARIOUS,NO-PHENOTYPE,FALSE
101,SP_0070,1,0.001,0.03,0.012,,6,0,6,0,,SP_0070,1.07,0.004,0.063,0.026,,6,0,6,0,,-0.07,10,2.465,0.03341,,hypothetical protein,UNKNOWN,VIVO,FALSE
5570,SP_0071,1.007,0.005,0.07,0.003,,778,0,778,0,M,SP_0071,1.054,0.007,0.086,0.003,,778,1,777,0,,-0.048,1554,12.024,0,,zinc metalloprotease ZmpC,VARIOUS,NO-PHENOTYPE,FALSE
113,SP_0072,1.042,0.003,0.055,0.032,,3,0,3,0,,SP_0072,1.012,0.004,0.065,0.037,,3,0,3,0,,0.03,4,0.606,0.57727,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
854,SP_0073,1.01,0.005,0.069,0.009,,57,0,57,0,,SP_0073,1.054,0.014,0.118,0.015,,58,0,58,0,,-0.044,113,2.46,0.0154,,conserved hypothetical protein,UNKNOWN,VIVO,FALSE
557,SP_0074,1.014,0.005,0.072,0.015,,23,0,23,0,,SP_0074,1.043,0.007,0.084,0.018,,23,0,23,0,,-0.028,44,1.232,0.22447,,"acetyltransferase, CysE/LacA/LpxA/NodL family",CARBOHYDRATE METABOLISM,NO-PHENOTYPE,FALSE
704,SP_0075,0.989,0.004,0.061,0.012,,25,0,25,0,,SP_0075,1.01,0.008,0.09,0.018,,25,0,25,0,,-0.021,48,0.977,0.33343,,"phosphorylase, Pnp/Udp family",UNKNOWN,VIVO,FALSE
92,SP_0076,1.01,0.003,0.059,0.014,,17,0,17,0,,SP_0076,1.018,0.006,0.079,0.021,,14,0,14,0,,-0.008,29,0.323,0.74914,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
