Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Vanc,var-19F-Vanc,sd-19F-Vanc,se-19F-Vanc,Total-19F-Vanc,Blank-19F-Vanc,Not Blank-19F-Vanc,Blank Removed-19F-Vanc,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
309,SPT_0026,0.99,0.026,0.161,0.057,,8,0,8,0,,SPT_0026,0.885893735,0.033368216,0.18266969,0.091334845,4,0,4,0,0.105,10,0.972,0.35413,,hypothetical protein,FALSE
1347,SPT_0027,,,,,,,,,M,,SPT_0027,,,,,,,,M,,,,,,Spn1 transposase,FALSE
153,SPT_0028,0.97,0.009,0.097,0.023,,18,0,18,0,,SPT_0028,0.995656683,0.014043586,0.118505636,0.039501879,9,0,9,0,-0.025,25,0.551,0.58647,,transcription regulator,FALSE
717,SPT_0029,0.962,0.019,0.136,0.017,,62,0,62,0,,SPT_0029,0.889946652,0.025898126,0.160928948,0.027201957,35,0,35,0,0.072,95,2.23,0.02809,,cI repressor,FALSE
669,SPT_0030,0.961,0.019,0.136,0.016,,70,1,69,0,,SPT_0030,0.932306136,0.035561264,0.188576943,0.028757714,43,1,42,0,0.029,111,0.866,0.38817,,LIM domain protein,FALSE
669,SPT_0031,1,0.005,0.071,0.006,,119,0,119,0,,SPT_0031,0.98263903,0.012238302,0.11062686,0.012526025,78,0,78,0,0.017,195,1.215,0.2259,,Fic protein family,FALSE
459,SPT_0032,0.991,0.007,0.081,0.007,,136,0,136,0,,SPT_0032,0.98467126,0.012372697,0.111232624,0.011790635,89,0,89,0,0.007,223,0.477,0.63357,,hypothetical protein,FALSE
123,SPT_0033,0.951,0.003,0.056,0.014,,15,0,15,0,,SPT_0033,0.962504943,0.006292479,0.079325147,0.029982087,7,0,7,0,-0.012,20,0.35,0.72993,,hypothetical protein,FALSE
237,SPT_0034,0.988,0.006,0.076,0.01,,58,0,58,0,,SPT_0034,0.967545618,0.012550027,0.112026901,0.017713008,40,0,40,0,0.021,96,1.02,0.31026,,hypothetical protein,FALSE
306,SPT_0035,0.987,0.006,0.08,0.011,,55,0,55,0,,SPT_0035,0.966428639,0.018543639,0.136175032,0.024072572,32,0,32,0,0.02,85,0.773,0.44178,,replication protein,FALSE
561,SPT_0036,0.992,0.008,0.089,0.01,,88,0,88,0,,SPT_0036,0.993413613,0.022760478,0.150865761,0.021335641,50,0,50,0,-0.002,136,0.069,0.94475,,putative DNA damage inducible protein,FALSE
1167,SPT_0037,0.989,0.005,0.071,0.005,,239,0,239,0,,SPT_0037,1.012529624,0.010956297,0.104672334,0.008407484,155,0,155,0,-0.023,392,2.448,0.0148,,integrase,FALSE
1116,SPT_0038,0.896,0.011,0.106,0.011,ychF,93,0,93,0,,SPT_0038,0.856210742,0.117753906,0.34315289,0.046270726,55,3,52,0,0.04,146,0.845,0.3993,,GTP-dependent nucleic acid-binding protein EngD,FALSE
570,SPT_0039,0.986,0.008,0.088,0.062,pth,2,0,2,0,,SPT_0039,1.298236145,0.033421933,0.182816666,0.129270904,2,0,2,0,-0.312,2,2.177,0.16139,,peptidyl-tRNA hydrolase,FALSE
3510,SPT_0040,0.965,0.015,0.121,0.006,mfd,448,0,448,0,,SPT_0040,1.118721449,0.203402079,0.451001196,0.026438158,291,29,262,0,-0.154,737,5.685,0,,transcription-repair coupling factor,FALSE
267,SPT_0041,1.028,0.005,0.072,0.013,,31,0,31,0,,SPT_0041,1.188920251,0.018052202,0.134358485,0.03082395,19,0,19,0,-0.161,48,4.817,0.00001,,ribosome-associated heat shock protein implicated in the recycling of the 50S subunit,FALSE
369,SPT_0042,,,,,,,,,,,SPT_0042,,,,,,,,,,,,,,septum formation initiator,FALSE
123,SPT_0043,1.02,0.01,0.101,0.045,,5,0,5,0,,SPT_0043,1.058515262,0.002757778,0.052514555,0.030319292,3,0,3,0,-0.039,6,0.718,0.49974,,hypothetical protein,FALSE
1269,SPT_0044,0.847,0.007,0.081,0.008,,110,0,110,0,,SPT_0044,0.660174525,0.016147857,0.127074217,0.016138442,62,0,62,0,0.187,170,10.435,0,,beta-lactamase class A,FALSE
1278,SPT_0045,,,,,,,,,,,SPT_0045,,,,,,,,,,,,,,MesJ/Ycf62 family protein,FALSE
543,SPT_0046,0.738,0.019,0.137,0.022,hpt,40,1,39,0,,SPT_0046,0.847017063,0.038914223,0.197266881,0.03663154,29,0,29,0,-0.109,67,2.565,0.01258,,hypoxanthine phosphoribosyltransferase,FALSE
1959,SPT_0047,0.864,0.014,0.119,0.017,,51,0,51,0,,SPT_0047,0.845984001,0.039054633,0.197622451,0.031644918,39,1,38,0,0.018,88,0.5,0.61853,,putative Cell division protease FtsH homolog,FALSE
480,SPT_0048,,,,,,,,,,,SPT_0048,,,,,,,,,,,,,,competence-specific global transcription modulator,FALSE
,SPT_0049,,,,,,,,,,,SPT_0049,,,,,,,,,,,,,,,FALSE
,SPT_0050,,,,,rrs1,,,,,,SPT_0050,,,,,,,,,,,,,,,FALSE
,SPT_0051,,,,,,,,,,,SPT_0051,,,,,,,,,,,,,,,FALSE
,SPT_0053,,,,,rrl1,,,,,,SPT_0053,,,,,,,,,,,,,,,FALSE
,SPT_0054,,,,,rrf_1,,,,,,SPT_0054,,,,,,,,,,,,,,,FALSE
,SPT_0055,,,,,,,,,,,SPT_0055,,,,,,,,,,,,,,,FALSE
186,SPT_0056,1.093,0.002,0.046,0.019,,6,0,6,0,,SPT_0056,1.053719009,0.003852581,0.062069165,0.035835649,3,0,3,0,0.039,7,0.965,0.36647,,pseudo,FALSE
,SPT_0057,,,,,,,,,,,SPT_0057,,,,,,,,,,,,,,,FALSE
237,SPT_0058,1.013,0.004,0.063,0.012,,27,0,27,0,,SPT_0058,0.985258168,0.007800432,0.088320055,0.02142076,17,0,17,0,0.028,42,1.142,0.25995,,hypothetical protein,FALSE
1329,SPT_0059,0.771,0.01,0.098,0.007,purA,190,0,190,0,,SPT_0059,0.584080006,0.023244685,0.152462077,0.014035272,118,3,115,0,0.187,306,11.913,0,,adenylosuccinate synthetase,FALSE
468,SPT_0060,0.942,0.004,0.065,0.009,,51,0,51,0,,SPT_0060,0.893311878,0.014024149,0.118423601,0.02030948,34,0,34,0,0.049,83,2.2,0.03056,,tRNA-specific adenosine deaminase,FALSE
444,SPT_0061,0.98,0.004,0.066,0.009,dut,56,0,56,0,,SPT_0061,0.959750998,0.014365756,0.119857232,0.02025957,35,0,35,0,0.02,89,0.908,0.36653,,deoxyuridine 5'-triphosphate nucleotidohydrolase,FALSE
558,SPT_0062,0.995,0.006,0.08,0.007,,115,0,115,0,,SPT_0062,0.965709775,0.015844046,0.125873136,0.014632455,74,0,74,0,0.029,187,1.775,0.07754,,phosphoglycerate mutase family protein,FALSE
1263,SPT_0063,1.012,0.007,0.083,0.008,radA,99,0,99,0,,SPT_0063,0.988527364,0.011791295,0.108587732,0.01346865,65,0,65,0,0.023,162,1.461,0.14602,,DNA repair protein RadA,FALSE
498,SPT_0064,0.101,0.025,0.158,0.044,,13,10,3,0,,SPT_0064,0.038634886,0.010703201,0.103456276,0.036577317,8,6,2,0,0.062,19,1.086,0.2909,,carbonate dehydratase,FALSE
816,SPT_0065,0.997,0.011,0.106,0.009,,136,0,136,0,,SPT_0065,0.951666053,0.016703283,0.129241182,0.013936435,86,0,86,0,0.046,220,2.736,0.00672,,hypothetical protein,FALSE
969,SPT_0066,,,,,,,,,,,SPT_0066,,,,,,,,,,,,,,ribose-Phosphate pyrophosphokinase (rppk) (phosphoribosylpyrophosphate synthetase) (p-rib-pp synthetase) (prpp synthetase),FALSE
234,SPT_0067,0.989,0.008,0.087,0.015,,35,0,35,0,,SPT_0067,1.003972129,0.009767166,0.098828973,0.020607265,23,0,23,0,-0.015,56,0.61,0.54406,,hypothetical protein,FALSE
327,SPT_0068,1.003,0.008,0.092,0.016,,31,0,31,0,,SPT_0068,1.007337897,0.008415092,0.091733812,0.020017959,21,0,21,0,-0.004,50,0.149,0.88246,,competence-induced protein Ccs16,FALSE
315,SPT_0069,0.983,0.016,0.125,0.018,,48,1,47,0,,SPT_0069,0.975867171,0.035721726,0.189001921,0.033945747,31,1,30,0,0.007,77,0.175,0.86145,,hypothetical protein,FALSE
2634,SPT_0070,0.903,0,0.012,0.009,,2,0,2,0,,SPT_0070,1.041983061,0.002378371,0.04876855,0.034484572,2,0,2,0,-0.139,2,3.898,0.05994,,DNA polymerase I,FALSE
438,SPT_0071,1.002,0.004,0.065,0.01,,38,0,38,0,,SPT_0071,0.995760229,0.00788124,0.088776347,0.019372587,21,0,21,0,0.006,57,0.265,0.79203,,CoA binding protein,FALSE
1011,SPT_0072,0.997,0.004,0.063,0.006,,116,0,116,0,,SPT_0072,1.021150489,0.009069366,0.095233221,0.011223343,72,0,72,0,-0.025,186,1.947,0.053,,hypothetical protein,FALSE
1170,SPT_0073,1.004,0.006,0.075,0.007,,108,0,108,0,,SPT_0073,1.053484771,0.014560938,0.120668713,0.01442267,70,0,70,0,-0.05,176,3.085,0.00237,,aromatic amino acid aminotransferase,FALSE
771,SPT_0074,0.959,0,0.002,0.001,recO,2,0,2,0,,SPT_0074,1.017271988,0,0,0,1,0,1,0,-0.058,1,46.532,0.01368,,DNA repair protein RecO,FALSE
993,SPT_0075,0.878,0.018,0.135,0.015,plsX,77,1,76,0,,SPT_0075,0.84810624,0.033641687,0.183416704,0.025194222,53,2,51,0,0.03,128,1.003,0.3179,,fatty acid/phospholipid synthesis protein PlsX,FALSE
234,SPT_0076,1.048,0.003,0.053,0.015,,12,0,12,0,,SPT_0076,1.053968225,0.011957548,0.109350575,0.048903064,5,0,5,0,-0.006,15,0.122,0.9043,,"acyl carrier protein, putative",FALSE
294,SPT_0077,0.955,0.007,0.086,0.039,,5,0,5,0,,SPT_0077,0.954701181,0.001744678,0.041769348,0.020884674,4,0,4,0,0,7,0.002,0.99878,,mobile genetic element,FALSE
231,SPT_0078,1.018,0.005,0.071,0.015,,24,0,24,0,,SPT_0078,0.998199179,0.017639699,0.132814528,0.034292564,15,0,15,0,0.02,37,0.536,0.59533,,bacteriocin BlpU,FALSE
126,SPT_0079,1.008,0.006,0.076,0.012,,38,0,38,0,,SPT_0079,1.005737071,0.008496124,0.092174424,0.018815025,24,0,24,0,0.002,60,0.109,0.91344,,hypothetical protein,FALSE
2154,SPT_0080,0.987,0.006,0.075,0.004,,322,0,322,0,,SPT_0080,1.047859901,0.008640147,0.092952391,0.006445089,208,0,208,0,-0.061,528,7.906,0,,transport/processing ATP-binding protein ComA,FALSE
1350,SPT_0081,1.001,0.006,0.079,0.006,,194,0,194,0,,SPT_0081,1.025805568,0.009591815,0.097937812,0.008524392,132,0,132,0,-0.024,324,2.38,0.01788,,transport protein ComB,FALSE
708,SPT_0082,0.909,0.007,0.085,0.009,purC,84,0,84,0,,SPT_0082,0.884089288,0.021936726,0.148110518,0.019447864,58,0,58,0,0.025,140,1.165,0.24581,,phosphoribosylaminoimidazole-succinocarboxamide synthase,FALSE
135,SPT_0083,0.96,0.005,0.069,0.019,,13,0,13,0,,SPT_0083,0.992741358,0.016076551,0.12679334,0.047923378,7,0,7,0,-0.032,18,0.625,0.54003,,phosphoribosylaminoimidazole-succinocarboxamide synthase (saicar synthetase),FALSE
3726,SPT_0084,0.941,0.009,0.092,0.004,,433,0,433,0,,SPT_0084,0.869710223,0.023646544,0.153774327,0.009157128,282,1,281,0,0.071,713,6.982,0,,"phosphoribosylformylglycinamidine synthase, putative",FALSE
1443,SPT_0085,0.955,0.009,0.096,0.007,purF,180,1,179,0,,SPT_0085,0.912445932,0.017800858,0.133419854,0.012230578,119,0,119,0,0.043,297,3.026,0.0027,,amidophosphoribosyltransferase,FALSE
1023,SPT_0086,0.93,0.006,0.075,0.008,purM,99,0,99,0,,SPT_0086,0.846300909,0.012956529,0.113826752,0.014456012,62,0,62,0,0.084,159,5.153,0,,phosphoribosylformylglycinamidine cyclo-ligase,FALSE
546,SPT_0087,0.923,0.009,0.096,0.015,purN,44,0,44,0,,SPT_0087,0.847944982,0.023157475,0.152175803,0.027783373,30,0,30,0,0.075,72,2.387,0.01961,,phosphoribosylglycinamide formyltransferase,FALSE
510,SPT_0088,0.992,0.009,0.095,0.007,,192,0,192,0,,SPT_0088,0.977776375,0.013028182,0.114141063,0.010168494,126,0,126,0,0.014,316,1.133,0.25828,,teicoplanin resistance protein,FALSE
1548,SPT_0089,0.918,0.008,0.09,0.007,purH,182,0,182,0,,SPT_0089,0.835071986,0.016301188,0.127676107,0.011854429,116,0,116,0,0.083,296,6.089,0,,bifunctional purine biosynthesis protein PurH,FALSE
1263,SPT_0090,0.928,0.009,0.094,0.008,purD,128,0,128,0,,SPT_0090,0.834131075,0.016251784,0.127482485,0.014164721,81,0,81,0,0.093,207,5.682,0,,phosphoribosylamine--glycine ligase,FALSE
489,SPT_0091,0.898,0.004,0.066,0.012,purE,31,0,31,0,,SPT_0091,0.900743902,0.016322718,0.127760394,0.030113414,18,0,18,0,-0.002,47,0.071,0.94398,,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",FALSE
1092,SPT_0092,0.917,0.004,0.064,0.006,purK,120,0,120,0,,SPT_0092,0.920338249,0.007403003,0.086040708,0.009742192,78,0,78,0,-0.003,196,0.28,0.77996,,"phosphoribosylaminoimidazole carboxylase, ATPase subunit",FALSE
228,SPT_0093,0.95,0.007,0.083,0.009,,86,0,86,0,,SPT_0093,0.907839458,0.013973603,0.118209997,0.015796475,56,0,56,0,0.042,140,2.31,0.02234,,hypothetical protein,FALSE
1299,SPT_0094,0.789,0.023,0.153,0.015,purB,98,2,96,0,,SPT_0094,0.518283891,0.026276861,0.16210139,0.021284955,58,2,56,0,0.271,154,10.301,0,,adenylosuccinate lyase,FALSE
3939,SPT_0095,0.979,0.007,0.085,0.003,,631,0,631,0,,SPT_0095,0.990851132,0.014686628,0.1211884,0.006113146,393,0,393,0,-0.012,1022,1.657,0.09774,,beta-N-acetylhexosaminidase,FALSE
744,SPT_0096,0.9,0.006,0.076,0.006,,154,0,154,0,,SPT_0096,0.973463726,0.008083198,0.089906607,0.009035954,99,0,99,0,-0.074,251,6.744,0,,"transcriptional regulator, GntR family protein",FALSE
1788,SPT_0097,0.965,0.006,0.074,0.005,,270,0,270,0,,SPT_0097,1.003816843,0.013418348,0.115837594,0.008731587,176,2,174,0,-0.038,444,3.909,0.00011,,beta-galactosidase (Lactase),FALSE
477,SPT_0098,0.997,0.009,0.094,0.011,,69,0,69,0,,SPT_0098,1.010543653,0.012286839,0.110846013,0.016523948,45,0,45,0,-0.013,112,0.663,0.50891,,"PTS system, IIB component",FALSE
906,SPT_0099,0.995,0.007,0.085,0.007,,161,0,161,0,,SPT_0099,0.98961607,0.013694212,0.117022273,0.011644151,101,1,100,0,0.005,260,0.409,0.68267,,"PTS system, IIC component",FALSE
816,SPT_0100,0.982,0.006,0.08,0.008,,109,0,109,0,,SPT_0100,0.967261775,0.010124235,0.100619255,0.012026301,70,0,70,0,0.015,177,1.022,0.30825,,"PTS system, IID component",FALSE
405,SPT_0101,0.994,0.005,0.07,0.01,,52,0,52,0,,SPT_0101,0.987845095,0.007495327,0.086575556,0.015549429,31,0,31,0,0.006,81,0.347,0.72924,,"PTS system, IIA component",FALSE
1167,SPT_0102,0.994,0.006,0.079,0.006,,182,0,182,0,,SPT_0102,1.002472611,0.010627442,0.103089487,0.009697843,113,0,113,0,-0.009,293,0.789,0.43102,,sugar isomerase domain-containing protein,FALSE
1038,SPT_0103,0.999,0.005,0.073,0.006,,135,0,135,0,,SPT_0103,1.010922995,0.010919009,0.10449406,0.011202939,87,0,87,0,-0.012,220,0.941,0.34786,,aldose 1-epimerase,FALSE
855,SPT_0104,0.99,0.005,0.072,0.006,,136,0,136,0,,SPT_0104,0.979258882,0.01831723,0.135341163,0.01388571,95,0,95,0,0.011,229,0.696,0.48713,,glyoxalase family protein,FALSE
258,SPT_0105,0.993,0.008,0.09,0.013,,47,0,47,0,,SPT_0105,0.993159467,0.018717935,0.136813505,0.024572431,31,0,31,0,0,76,0.006,0.99532,,hypothetical protein,FALSE
363,SPT_0106,1.003,0.009,0.092,0.017,,31,0,31,0,,SPT_0106,0.984783758,0.011259404,0.106110339,0.024343381,19,0,19,0,0.018,48,0.628,0.53316,,chlorohydrolase,FALSE
297,SPT_0107,1.016,0.013,0.115,0.017,,46,0,46,0,,SPT_0107,1.010565456,0.010510051,0.102518538,0.018412873,31,0,31,0,0.005,75,0.203,0.84005,,hypothetical protein,FALSE
120,SPT_0108,0.974,0.004,0.064,0.014,,20,0,20,0,,SPT_0108,0.968941258,0.021278274,0.145870744,0.043981684,11,0,11,0,0.005,29,0.108,0.9151,,coenzyme A disulfide reductase,FALSE
765,SPT_0109,1,0.006,0.077,0.008,,88,0,88,0,,SPT_0109,0.9815065,0.012357945,0.111166294,0.014351507,60,0,60,0,0.018,146,1.091,0.27708,,"phosphorylase, Pnp/Udp family",FALSE
153,SPT_0110,0.993,0,0.021,0.015,,2,0,2,0,,SPT_0110,1.005960259,0,0,0,1,0,1,0,-0.013,1,0.9,0.53356,,chlorohydrolase,FALSE
1380,SPT_0111,0.982,0.006,0.079,0.005,,212,0,212,0,,SPT_0111,0.936855802,0.015072162,0.122768733,0.010605603,134,1,133,0,0.045,344,3.82,0.00016,,Trk family potassium uptake protein,FALSE
666,SPT_0112,0.992,0.006,0.076,0.01,,63,0,63,0,,SPT_0112,0.926156978,0.01143207,0.106920861,0.016498247,42,0,42,0,0.065,103,3.434,0.00086,,"potassium uptake protein, Trk family",FALSE
159,SPT_0113,,,,,,,,,,,SPT_0113,,,,,,,,,,,,,,chlorohydrolase,FALSE
1320,SPT_0115,1.01,0.007,0.081,0.007,,145,0,145,0,,SPT_0115,0.996316234,0.008121959,0.090121914,0.009295366,94,0,94,0,0.014,237,1.188,0.23588,,pseudo,FALSE
3030,SPT_0116,1.001,0.008,0.087,0.007,,157,1,156,0,,SPT_0116,0.976024574,0.015085249,0.122822021,0.012470687,97,1,96,0,0.025,252,1.763,0.07906,,cell wall surface anchor family protein,FALSE
699,SPT_0117,0.994,0.008,0.092,0.009,,114,0,114,0,,SPT_0117,0.989035263,0.019155503,0.138403407,0.015473971,80,0,80,0,0.005,192,0.293,0.76972,,DNA-binding response regulator,FALSE
1053,SPT_0118,0.992,0.01,0.101,0.01,,93,0,93,0,,SPT_0118,0.963306221,0.016244713,0.12745475,0.016593195,59,1,58,0,0.028,150,1.448,0.1498,,histidine kinase,FALSE
