Pos size,Gene,mean-2394-Gluc,var-2394-Gluc,sd-2394-Gluc,se-2394-Gluc,gene,Total-2394-Gluc,Blank-2394-Gluc,Not Blank-2394-Gluc,Blank Removed-2394-Gluc,M,locus-2394,mean.2394.Levo,var-2394-Levo,sd-2394-Levo,se-2394-Levo,gene,Total-2394-Levo,Blank-2394-Levo,Not Blank-2394-Levo,Blank Removed-2394-Levo,M,Value,Df,TDIST,p-value,Significance,Common Name,TIMS-CATEGORY,What to do/What they are,Sig
962,SP_0668,0.952,0.002,0.049,0.017,,8,0,8,0,,SP_0668,0.833,0.001,0.035,0.012,,8,0,8,0,,0.119,14,5.541,0.00007,**,glucokinase,CARBOHYDRATE METABOLISM,PHENOTYPED,TRUE
1655,SP_0966,0.977,0.007,0.085,0.013,,46,0,46,0,,SP_0966,0.865,0.004,0.063,0.009,,45,0,45,0,,0.111,89,7.106,0,**,adherence and virulence protein A,VARIOUS,NO-PHENOTYPE,TRUE
2696,SP_1068,0.653,0.033,0.182,0.028,,43,4,39,0,,SP_1068,0.947,0.01,0.099,0.014,,51,0,51,0,,-0.293,92,9.454,0,**,phosphoenolpyruvate carboxylase,CARBOHYDRATE METABOLISM,CORE,TRUE
2279,SP_1118,0.915,0.009,0.094,0.011,,76,0,76,0,,SP_1118,0.773,0.021,0.145,0.017,,75,1,74,0,,0.142,149,7.139,0,**,putative pullulanase,CARBOHYDRATE METABOLISM,PHENOTYPED,TRUE
1340,SP_1207,0.766,0.079,0.28,0.072,xseA,15,2,13,0,,SP_1207,0.266,0.066,0.256,0.066,xseA,15,6,9,0,,0.5,28,5.096,0.00002,**,"exodeoxyribonuclease VII, large subunit","DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,TRUE
542,SP_1280,0.773,0.007,0.086,0.021,,16,0,16,0,,SP_1280,1.015,0.008,0.087,0.022,,16,0,16,0,,-0.241,30,7.897,0,**,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
935,SP_1298,0.728,0.063,0.251,0.059,,18,1,17,0,,SP_1298,0.286,0.062,0.249,0.059,,18,6,12,0,,0.442,34,5.299,0.00001,**,DHH subfamily 1 protein,UNKNOWN,PHENOTYPED,TRUE
476,SP_1370,0.974,0.007,0.083,0.017,,24,0,24,0,,SP_1370,0.86,0.007,0.083,0.017,,25,0,25,0,,0.114,47,4.803,0.00002,**,shikimate kinase,AMINO ACID METABOLSIM,PHENOTYPED,TRUE
1283,SP_1371,0.968,0.007,0.081,0.016,,27,0,27,0,,SP_1371,0.867,0.004,0.064,0.012,,27,0,27,0,,0.101,52,5.065,0.00001,**,3-phosphoshikimate 1-carboxyvinyltransferase,AMINO ACID METABOLSIM,PHENOTYPED,TRUE
1166,SP_1374,0.977,0.006,0.075,0.013,,35,0,35,0,,SP_1374,0.864,0.003,0.058,0.01,,34,0,34,0,,0.113,67,7.049,0,**,chorismate synthase,AMINO ACID METABOLSIM,PHENOTYPED,TRUE
917,SP_1399,0.949,0.008,0.087,0.022,,16,0,16,0,,SP_1399,0.809,0.006,0.078,0.019,,16,0,16,0,,0.14,30,4.804,0.00004,**,"putative phosphate ABC transporter, permease protein",TRANSPORT,PHENOTYPED,TRUE
494,SP_1464,0.972,0.007,0.082,0.017,,24,0,24,0,,SP_1464,0.872,0.006,0.075,0.016,,22,0,22,0,,0.101,44,4.371,0.00007,**,"acetyltransferase, GNAT family",VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,TRUE
446,SP_1465,0.991,0.004,0.065,0.017,,15,0,15,0,,SP_1465,0.855,0.003,0.055,0.014,,15,0,15,0,,0.136,28,6.211,0,**,hypothetical protein,UNKNOWN,VIVO,TRUE
1379,SP_1469,0.995,0.005,0.067,0.013,,25,0,25,0,,SP_1469,0.888,0.004,0.064,0.013,,25,0,25,0,,0.107,48,5.748,0,**,NADH oxidase,VARIOUS,PHENOTYPED,TRUE
1082,SP_1483,0.756,0.021,0.146,0.046,,10,0,10,0,,SP_1483,1.031,0.01,0.101,0.032,,10,0,10,0,,-0.275,18,4.902,0.00011,**,"ATP-dependent RNA helicase, DEAD/DEAH box family",TRANSCRIPTION AND TRANSLATION,CORE,TRUE
1718,SP_1498,0.797,0.006,0.079,0.017,,23,0,23,0,,SP_1498,0.594,0.034,0.184,0.038,,23,1,22,0,,0.202,44,4.841,0.00002,**,phosphoglucomutase,CARBOHYDRATE METABOLISM,PHENOTYPED,TRUE
1013,SP_1506,0.682,0.02,0.141,0.027,,28,1,27,0,,SP_1506,0.896,0.003,0.053,0.01,,28,0,28,0,,-0.214,54,7.529,0,**,conserved hypothetical protein,CARBOHYDRATE METABOLISM,CORE,TRUE
1655,SP_1518,0.643,0.1,0.316,0.067,,22,7,15,0,,SP_1518,0.277,0.062,0.248,0.049,,26,9,17,0,,0.366,46,4.41,0.00006,**,conserved hypothetical protein,UNKNOWN,CORE,TRUE
1187,SP_1544,0.551,0.042,0.206,0.043,,23,3,20,0,,SP_1544,0.804,0.024,0.156,0.032,,24,0,24,0,,-0.253,45,4.736,0.00002,**,aspartate aminotransferase,AMINO ACID METABOLSIM,CORE,TRUE
137,SP_1585,0.894,0.016,0.125,0.03,,17,0,17,0,,SP_1585,1.145,0.013,0.115,0.026,,20,0,20,0,,-0.251,35,6.304,0,**,hypothetical protein,UNKNOWN,NO-PHENOTYPE,TRUE
1574,SP_1586,0.911,0.005,0.069,0.015,,22,0,22,0,,SP_1586,1.145,0.005,0.073,0.015,,23,0,23,0,,-0.234,43,11.039,0,**,putative ATP-dependent RNA helicase,"DNA REPLICATION, REPAIR AND RECOMBINATION",CORE,TRUE
962,SP_1606,0.948,0.011,0.107,0.022,,24,0,24,0,,SP_1606,0.799,0.003,0.052,0.011,,24,0,24,0,,0.149,46,6.119,0,**,"glycosyl transferase, family 2",CARBOHYDRATE METABOLISM,NO-PHENOTYPE,TRUE
1625,SP_1883,0.779,0.023,0.151,0.025,,37,1,36,0,,SP_1883,0.995,0.023,0.152,0.024,,42,0,42,0,,-0.216,77,6.317,0,**,putative dextran glucosidase DexS,CARBOHYDRATE METABOLISM,CORE,TRUE
1976,SP_2030,0.906,0.007,0.083,0.01,,63,1,62,0,,SP_2030,1.211,0.003,0.053,0.007,,66,0,66,0,,-0.305,127,24.717,0,**,transketolase,CARBOHYDRATE METABOLISM,CORE,TRUE
485,SP_2036,1.003,0.004,0.067,0.013,,26,0,26,0,,SP_2036,0.859,0.014,0.117,0.023,,26,0,26,0,,0.144,50,5.466,0,**,"PTS system, IIA component",TRANSPORT,VIVO,TRUE
281,SP_2037,1.024,0.005,0.072,0.015,,23,0,23,0,,SP_2037,0.881,0.012,0.109,0.023,,23,0,23,0,,0.143,44,5.286,0,**,"PTS system, IIB component",TRANSPORT,NO-PHENOTYPE,TRUE
1457,SP_2038,0.98,0.006,0.078,0.007,ulaA,116,0,116,0,,SP_2038,0.874,0.029,0.17,0.016,ulaA,114,1,113,0,,0.106,228,6.027,0,**,"putative PTS system, membrane component",TRANSPORT,PHENOTYPED,TRUE
623,SP_2039,0.998,0.005,0.069,0.015,,20,0,20,0,,SP_2039,0.808,0.027,0.164,0.037,,20,0,20,0,,0.19,38,4.793,0.00003,**,conserved hypothetical protein,UNKNOWN,VIVO,TRUE
1181,SP_2239,1.048,0.006,0.076,0.008,,81,0,81,0,,SP_2239,0.935,0.013,0.115,0.013,,81,0,81,0,,0.113,160,7.374,0,**,serine protease,VARIOUS,PHENOTYPED,TRUE
3509,SP_0006,0.969,0.006,0.078,0.007,,133,0,133,0,,SP_0006,0.789,0.027,0.164,0.014,,134,0,134,0,,0.179,265,11.462,0,****,transcription-repair coupling factor,"DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,TRUE
1424,SP_0199,0.801,0.008,0.091,0.008,,136,0,136,0,,SP_0199,0.51,0.026,0.162,0.014,,134,3,131,0,,0.291,268,18.162,0,****,cardiolipin synthetase,CARBOHYDRATE METABOLISM,PHENOTYPED,TRUE
2159,SP_0369,0.755,0.016,0.125,0.013,,95,2,93,0,,SP_0369,0.383,0.081,0.284,0.029,,97,10,87,0,,0.372,190,11.794,0,****,penicillin-binding protein 1A,CELL WALL METABOLISM,PHENOTYPED,TRUE
1631,SP_0496,1.004,0.006,0.074,0.011,,46,0,46,0,,SP_0496,0.862,0.002,0.045,0.007,,45,0,45,0,,0.141,89,11.051,0,****,Na/Pi cotransporter II-related protein,TRANSPORT,PHENOTYPED,TRUE
1241,SP_0872,0.743,0.006,0.078,0.013,,35,0,35,0,,SP_0872,0.492,0.046,0.216,0.036,,36,1,35,0,,0.251,69,6.546,0,****,D-alanyl-D-alanine carboxypeptidase,AMINO ACID METABOLSIM,CORE,TRUE
839,SP_1021,0.948,0.006,0.078,0.017,,22,0,22,0,,SP_1021,0.777,0.003,0.052,0.011,,22,0,22,0,,0.171,42,8.579,0,****,HemK protein,VARIOUS METABOLISM AND BIOSYNTHESIS,PHENOTYPED,TRUE
2291,SP_1087,0.956,0.001,0.036,0.013,,7,0,7,0,,SP_1087,0.747,0.002,0.047,0.018,,7,0,7,0,,0.208,12,9.301,0,****,ATP-dependent DNA helicase PcrA,"DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,TRUE
617,SP_1134,0.953,0.007,0.082,0.015,,31,0,31,0,,SP_1134,0.784,0.018,0.136,0.024,,31,0,31,0,,0.169,60,5.906,0,****,hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
1268,SP_1167,0.66,0.017,0.129,0.024,pyrC,28,1,27,0,,SP_1167,0.471,0.015,0.123,0.023,pyrC,29,0,29,0,,0.189,55,5.665,0,****,"dihydroorotase, multifunctional complex type",NUCLEOTIDE METABOLSIM,PHENOTYPED,TRUE
677,SP_1377,0.932,0.015,0.121,0.025,aroD,23,0,23,0,,SP_1377,0.707,0.014,0.116,0.024,aroD,23,0,23,0,,0.225,44,6.411,0,****,3-dehydroquinate dehydratase,AMINO ACID METABOLSIM,PHENOTYPED,TRUE
884,SP_1398,0.954,0.004,0.062,0.013,,22,0,22,0,,SP_1398,0.734,0.009,0.095,0.02,,22,0,22,0,,0.22,42,9.072,0,****,"putative phosphate ABC transporter, permease protein",TRANSPORT,NO-PHENOTYPE,TRUE
788,SP_1412,0.787,0.022,0.149,0.022,,48,1,47,0,,SP_1412,0.386,0.047,0.216,0.031,,48,7,41,0,,0.401,94,10.568,0,****,prolipoprotein diacylglyceryl transferase,VARIOUS,PHENOTYPED,TRUE
890,SP_1566,0.848,0.001,0.037,0.013,,8,0,8,0,,SP_1566,0.525,0.007,0.084,0.03,,8,0,8,0,,0.323,14,9.932,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
1031,SP_1701,0.968,0.006,0.08,0.014,,34,0,34,0,,SP_1701,0.783,0.005,0.067,0.012,,33,0,33,0,,0.184,65,10.255,0,****,phospho-2-dehydro-3-deoxyheptonate aldolase,AMINO ACID METABOLSIM,NO-PHENOTYPE,TRUE
1604,SP_1739,0.693,0.028,0.167,0.026,,42,1,41,0,,SP_1739,0.426,0.071,0.266,0.04,,44,7,37,0,,0.267,84,5.599,0,****,KH domain protein,UNKNOWN,CORE,TRUE
425,SP_1794,0.454,0.04,0.201,0.045,,20,5,15,0,,SP_1794,0.147,0.021,0.145,0.032,,21,10,11,0,,0.307,39,5.579,0,****,hypothetical protein,UNKNOWN,CORE,TRUE
410,SP_2027,0.965,0.007,0.083,0.015,,29,0,29,0,,SP_2027,0.72,0.01,0.1,0.018,,29,0,29,0,,0.244,56,10.155,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
986,SP_2040,0.82,0.011,0.106,0.024,,20,0,20,0,,SP_2040,0.529,0.033,0.181,0.04,,20,0,20,0,,0.291,38,6.203,0,****,putative jag protein,UNKNOWN,CORE,TRUE
1817,SP_2057,0.947,0.004,0.061,0.006,,91,0,91,0,,SP_2057,0.717,0.008,0.092,0.01,,91,0,91,0,,0.23,180,19.948,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
2432,SP_2194,0.896,0.005,0.069,0.007,,96,0,96,0,,SP_2194,0.728,0.025,0.157,0.016,,95,0,95,0,,0.168,189,9.559,0,****,"ATP-dependent Clp protease, ATP-binding subunit",TRANSCRIPTION AND TRANSLATION,PHENOTYPED,TRUE
1973,SP_2205,0.485,0.041,0.202,0.027,,56,7,49,0,,SP_2205,0.191,0.063,0.251,0.033,,58,12,46,0,,0.295,112,6.923,0,****,DHH subfamily 1 protein,UNKNOWN,PHENOTYPED,TRUE
1361,SP_0001,0.1,0.1,X,X,dnaA,,,,,,SP_0001,0.1,0.1,X,X,dnaA,,,,,,,,,,,chromosomal replication initiator protein DnaA,"DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,FALSE
1136,SP_0002,0.1,0.1,X,X,,,,,,,SP_0002,0.1,0.1,X,X,,,,,,,,,,,,"DNA polymerase III, beta subunit","DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,FALSE
248,SP_0003,0.926,0.015,0.124,0.062,,4,0,4,0,,SP_0003,1.088,0,0.009,0.004,,4,0,4,0,,-0.163,6,2.609,0.04017,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1115,SP_0004,0.982,0.008,0.091,0.02,,20,0,20,0,,SP_0004,0.982,0.03,0.173,0.039,,20,0,20,0,,0,38,0.011,0.9913,,GTP-dependent nucleic acid-binding protein,TRANSCRIPTION AND TRANSLATION,PHENOTYPED,FALSE
569,SP_0005,0.1,0.1,X,X,,,,,,,SP_0005,0.1,0.1,X,X,,,,,,,,,,,,peptidyl-tRNA hydrolase,TRANSCRIPTION AND TRANSLATION,ESSENTIAL,FALSE
266,SP_0007,0.996,0.005,0.067,0.014,,22,0,22,0,,SP_0007,0.874,0.047,0.216,0.044,,24,0,24,0,,0.122,44,2.643,0.01136,,S4 domain protein,UNKNOWN,NO-PHENOTYPE,FALSE
368,SP_0008,0.1,0.1,X,X,,,,,,,SP_0008,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,ESSENTIAL,FALSE
122,SP_0009,0.94,0.015,0.124,0.051,,6,0,6,0,,SP_0009,0.926,0.01,0.101,0.041,,6,0,6,0,,0.014,10,0.219,0.83097,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1268,SP_0010,0.771,0.026,0.162,0.035,,21,1,20,0,,SP_0010,0.58,0.027,0.165,0.036,,21,0,21,0,,0.191,40,3.774,0.00052,,conserved domain protein,UNKNOWN,CORE,FALSE
1277,SP_0011,0.505,0.121,0.347,0.201,,3,1,2,0,,SP_0011,0.253,0.019,0.14,0.081,,3,1,2,0,,0.252,4,1.168,0.30767,,tRNA(Ile)-lysidine synthetase,TRANSCRIPTION AND TRANSLATION,ESSENTIAL,FALSE
542,SP_0012,0.811,0.034,0.184,0.036,,26,0,26,0,,SP_0012,0.833,0.041,0.201,0.04,,25,0,25,0,,-0.022,49,0.409,0.6844,,hypoxanthine-guanine phosphoribosyltransferase,NUCLEOTIDE METABOLSIM,CORE,FALSE
1958,SP_0013,0.772,0.059,0.243,0.054,,20,3,17,0,,SP_0013,0.916,0.046,0.216,0.047,,21,0,21,0,,-0.144,39,2.001,0.05243,,cell division protein FtsH,CELL DIVISION,CORE,FALSE
479,SP_0014,0.1,0.1,X,X,,,,,,,SP_0014,0.1,0.1,X,X,,,,,,,,,,,,transcriptional regulator ComX1,REGULATOR,REMOVE,FALSE
416,SP_0015,0.1,0.1,X,X,,,,,,,SP_0015,0.1,0.1,X,X,,,,,,,,,,,,"IS630-Spn1, transposase Orf1",,REMOVE,FALSE
338,SP_0016,0.1,0.1,X,X,,,,,,,SP_0016,0.1,0.1,X,X,,,,,,,,,,,,"IS630-Spn1, transposase Orf2",,REMOVE,FALSE
746,SP_0017,0.994,0.009,0.093,0.047,,4,0,4,0,M,SP_0017,1.06,0.004,0.067,0.034,,4,0,4,0,M,-0.066,6,1.143,0.29674,,"IS1167, transposase, degenerate",,REMOVE,FALSE
242,SP_0018,0.994,0.003,0.052,0.017,,10,0,10,0,,SP_0018,1.049,0.004,0.064,0.02,,10,0,10,0,,-0.055,18,2.104,0.04967,,hypothetical protein,UNKNOWN,VIVO,FALSE
1286,SP_0019,0.9,0.009,0.093,0.013,,48,1,47,0,,SP_0019,1.065,0.009,0.094,0.014,,48,0,48,0,,-0.165,94,8.635,0,,adenylosuccinate synthetase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
467,SP_0020,1.045,0.008,0.092,0.046,,4,0,4,0,,SP_0020,1.258,0.02,0.141,0.07,,4,0,4,0,,-0.214,6,2.545,0.04381,,cytidine/deoxycytidylate deaminase family protein,NUCLEOTIDE METABOLSIM,VIVO,FALSE
443,SP_0021,0.995,0.007,0.083,0.025,dut,11,0,11,0,,SP_0021,1.05,0.019,0.139,0.042,dut,11,0,11,0,,-0.055,20,1.119,0.2766,,putative deoxyuridine 5triphosphate nucleotidohydrolase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
515,SP_0022,1.017,0.009,0.095,0.017,,33,0,33,0,,SP_0022,1.025,0.023,0.152,0.026,,33,0,33,0,,-0.008,64,0.242,0.80963,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
497,SP_0024,0.1,0.1,X,X,,,,,,,SP_0024,0.1,0.1,X,X,,,,,,,,,,,,conserved hypothetical protein,VARIOUS METABOLISM AND BIOSYNTHESIS,CORE,FALSE
209,SP_0025,0.949,0.006,0.08,0.022,,13,0,13,0,,SP_0025,0.984,0.005,0.07,0.019,,13,0,13,0,,-0.036,24,1.203,0.24081,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
623,SP_0026,0.976,0.013,0.112,0.017,,41,1,40,0,,SP_0026,0.986,0.006,0.081,0.013,,41,0,41,0,,-0.009,80,0.433,0.66592,,hypothetical protein,UNKNOWN,VIVO,FALSE
968,SP_0027,0.1,0.1,X,X,,,,,,,SP_0027,0.1,0.1,X,X,,,,,,,,,,,,ribose-phosphate pyrophosphokinase,NUCLEOTIDE METABOLSIM,ESSENTIAL,FALSE
281,SP_0028,1.043,0.014,0.118,0.068,,3,0,3,0,,SP_0028,1.066,0.022,0.147,0.104,,2,0,2,0,,-0.023,3,0.188,0.8626,,"IS1167, transposase, truncation",,REMOVE,FALSE
233,SP_0029,1.018,0.003,0.058,0.014,,17,0,17,0,,SP_0029,0.995,0.001,0.027,0.007,,17,0,17,0,,0.023,32,1.481,0.14831,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
326,SP_0030,1.01,0.002,0.049,0.016,,10,0,10,0,,SP_0030,1.084,0.008,0.088,0.028,,10,0,10,0,,-0.074,18,2.332,0.03149,,competence-induced protein Ccs16,VARIOUS,VIVO,FALSE
314,SP_0031,0.976,0.006,0.076,0.022,,12,0,12,0,,SP_0031,1.033,0.007,0.081,0.023,,12,0,12,0,,-0.057,22,1.782,0.08856,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
2633,SP_0032,0.1,0.1,X,X,,,,,,,SP_0032,0.1,0.1,X,X,,,,,,,,,,,,DNA polymerase I,"DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,FALSE
437,SP_0033,1.002,0.002,0.048,0.013,,14,0,14,0,,SP_0033,1.006,0.002,0.048,0.013,,14,0,14,0,,-0.004,26,0.225,0.82358,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1010,SP_0034,0.988,0.003,0.055,0.01,,32,0,32,0,,SP_0034,1.031,0.016,0.127,0.022,,32,0,32,0,,-0.043,62,1.742,0.08653,,membrane protein,UNKNOWN,NO-PHENOTYPE,FALSE
1169,SP_0035,0.981,0.005,0.074,0.011,,49,0,49,0,,SP_0035,0.977,0.008,0.087,0.012,,49,0,49,0,,0.004,96,0.233,0.81651,,aromatic amino acid aminotransferase,AMINO ACID METABOLSIM,PHENOTYPED,FALSE
770,SP_0036,0.1,0.1,X,X,recO,,,,,,SP_0036,0.1,0.1,X,X,recO,,,,,,,,,,,DNA repair protein,"DNA REPLICATION, REPAIR AND RECOMBINATION",LIKELYESSENTIAL,FALSE
233,SP_0038,0.1,0.1,X,X,,,,,,,SP_0038,0.1,0.1,X,X,,,,,,,,,,,,putative acyl carrier protein,CELL WALL METABOLISM,VIVO,FALSE
293,SP_0039,1.005,0,0.02,0.014,,2,0,2,0,,SP_0039,1.339,0,0.013,0.008,,3,0,3,0,,-0.334,3,20.412,0.00026,,"IS1381, transposase OrfB, truncation",,REMOVE,FALSE
125,SP_0040,0.9,0.006,0.078,0.035,,5,0,5,0,,SP_0040,0.832,0.099,0.315,0.141,,5,1,4,0,,0.068,8,0.465,0.65405,,hypothetical protein,UNKNOWN,VIVO,FALSE
230,SP_0041,1.04,0.001,0.035,0.024,,2,0,2,0,,SP_0041,0.852,0.016,0.127,0.089,,2,0,2,0,,0.188,2,2.028,0.17971,,bacteriocin BlpU,CELL WALL METABOLISM,NO-PHENOTYPE,FALSE
2153,SP_0042,0.999,0.005,0.071,0.008,,79,0,79,0,,SP_0042,0.978,0.01,0.099,0.011,,80,0,80,0,,0.021,157,1.512,0.1325,,competence factor transporting permease/ATP-binding protein ComA,TRANSPORT,VIVO,FALSE
1349,SP_0043,1.018,0.004,0.062,0.008,,68,0,68,0,,SP_0043,1.029,0.009,0.093,0.011,,69,0,69,0,,-0.012,135,0.856,0.39357,,competence factor transport protein ComB,TRANSPORT,NO-PHENOTYPE,FALSE
707,SP_0044,0.918,0.011,0.107,0.019,,31,0,31,0,,SP_0044,1.014,0.004,0.064,0.011,,31,0,31,0,,-0.096,60,4.271,0.00007,,phosphoribosylaminoimidazole-succinocarboxamide synthase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
3725,SP_0045,0.984,0.006,0.079,0.007,,135,0,135,0,,SP_0045,1.017,0.008,0.087,0.007,,136,0,136,0,,-0.034,269,3.327,0.001,,putative phosphoribosylformylglycinamidine synthase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
1442,SP_0046,1.009,0.003,0.059,0.009,,46,0,46,0,,SP_0046,1.045,0.005,0.071,0.011,,46,0,46,0,,-0.036,90,2.666,0.00909,,amidophosphoribosyltransferase,NUCLEOTIDE METABOLSIM,VIVO,FALSE
1022,SP_0047,1.009,0.004,0.062,0.011,,33,0,33,0,,SP_0047,1.004,0.002,0.041,0.007,,33,0,33,0,,0.006,64,0.438,0.663,,phosphoribosylformylglycinamide cyclo-ligase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
545,SP_0048,1.018,0.004,0.064,0.021,purN,9,0,9,0,,SP_0048,0.989,0.002,0.05,0.017,purN,9,0,9,0,,0.029,16,1.061,0.30448,,phosphoribosylglycinamide formyltransferase,NUCLEOTIDE METABOLSIM,VIVO,FALSE
509,SP_0049,0.999,0.004,0.064,0.009,,52,0,52,0,,SP_0049,1.055,0.014,0.116,0.016,,53,0,53,0,,-0.055,103,3.022,0.00317,,putative vanZ protein,UNKNOWN,VIVO,FALSE
1547,SP_0050,0.999,0.005,0.07,0.01,purH,53,0,53,0,,SP_0050,1.008,0.006,0.08,0.011,purH,53,0,53,0,,-0.008,104,0.571,0.56909,,phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
1262,SP_0051,0.999,0.006,0.075,0.012,,40,0,40,0,,SP_0051,1.056,0.011,0.106,0.017,,41,0,41,0,,-0.058,79,2.818,0.0061,,phosphoribosylamine--glycine ligase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
116,SP_0052,0.1,0.1,X,X,,,,,,,SP_0052,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
488,SP_0053,0.948,0.003,0.057,0.014,,17,0,17,0,,SP_0053,0.941,0.003,0.057,0.014,,17,0,17,0,,0.007,32,0.334,0.74049,,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",NUCLEOTIDE METABOLSIM,VIVO,FALSE
1091,SP_0054,0.977,0.004,0.061,0.009,,44,0,44,0,,SP_0054,0.97,0.006,0.078,0.012,,43,0,43,0,,0.007,85,0.464,0.64399,,"phosphoribosylaminoimidazole carboxylase, ATPase subunit",NUCLEOTIDE METABOLSIM,VIVO,FALSE
227,SP_0055,0.947,0.009,0.097,0.015,,44,0,44,0,,SP_0055,1.016,0.005,0.069,0.01,,44,0,44,0,,-0.069,86,3.866,0.00021,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
