Gene,mean.Gluc,var.Gluc,sd.Gluc,se.Gluc,gene,Ins1,Blank.Gluc,Not.Blank.Gluc,Blank.Removed.Gluc,M,locus,mean.PennG,var.PennG,sd.PennG,se.PennG,gene.1,Is2,Blank.PennG,Not.Blank.PennG,Blank.Removed.PennG,M.1,Value,Df,TDIST,p.value,locus.19F,Common.Name,Sig
SPT_0065,0.99721099,0.011266738,0.106144892,0.009101849,,136,0,136,0,,SPT_0065,0.971230915,0.009875566,0.099375883,0.008459437,,138,0,138,0,,0.026,272,2.091,0.03748,SPT_0065,hypothetical protein,FALSE
SPT_0074,0.959382896,3.10E-06,0.001759378,0.001244068,recO,2,0,2,0,,SPT_0074,1.015544712,0.000253493,0.015921462,0.011258174,recO,2,0,2,0,,-0.056,2,4.958,0.03835,SPT_0074,DNA repair protein RecO,FALSE
SPT_1603,0.971546337,0.005331985,0.073020442,0.012711227,,33,0,33,0,,SPT_1603,0.933667363,0.005094976,0.071379102,0.012618162,,32,0,32,0,,0.038,63,2.115,0.0384,SPT_1603,ylmF protein,FALSE
SPT_1598,1.063323584,0.001702504,0.041261406,0.02917622,ileS,2,0,2,0,,SPT_1598,0.892307429,0.000707152,0.026592325,0.018803613,ileS,2,0,2,0,,0.171,2,4.927,0.03881,SPT_1598,isoleucyl-tRNA synthetase,FALSE
SPT_1670,0.989298759,3.87E-05,0.006223975,0.004401015,,2,0,2,0,,SPT_1670,0.921169141,0.000347222,0.018633905,0.01317616,,2,0,2,0,,0.068,2,4.904,0.03915,SPT_1670,serine/threonine protein kinase,FALSE
SPT_1636,1.066442801,0.004068184,0.06378232,0.024107451,alr,7,0,7,0,,SPT_1636,1.159625442,0.006132498,0.078310265,0.031970032,alr,6,0,6,0,,-0.093,11,2.327,0.04007,SPT_1636,alanine racemase,FALSE
SPT_1934,0.993289053,0.007224595,0.084997617,0.0093297,,83,0,83,0,,SPT_1934,0.962676018,0.010969186,0.104733882,0.011637098,,81,0,81,0,,0.031,162,2.052,0.04173,SPT_1934,"ABC transporter, ATP-binding protein",FALSE
SPT_0995,1.023905002,0.007096414,0.084240216,0.008879698,,90,0,90,0,,SPT_0995,1.051782637,0.009437017,0.097144308,0.010297276,,89,0,89,0,,-0.028,177,2.05,0.04181,SPT_0995,hypothetical protein,FALSE
SPT_1039,1.020718128,0.00638373,0.079898245,0.005314752,,226,0,226,0,,SPT_1039,1.037596678,0.009228036,0.096062665,0.006389993,,226,0,226,0,,-0.017,450,2.031,0.04286,SPT_1039,pts system lactose-specific eiicb component (eiicb-lac) (eii-lac),FALSE
SPT_0533,1.003007166,0.00730956,0.085495963,0.006867201,pyrG,155,0,155,0,,SPT_0533,1.023275556,0.008242732,0.090789495,0.007245791,pyrG,157,0,157,0,,-0.02,310,2.03,0.04318,SPT_0533,CTP synthetase,FALSE
SPT_1695,1.024445617,0.006033875,0.07767802,0.013731664,,32,0,32,0,,SPT_1695,0.983058432,0.006625769,0.081398826,0.014619661,,31,0,31,0,,0.041,61,2.063,0.04333,SPT_1695,hypothetical protein,FALSE
SPT_0217,1.005622722,0.004944983,0.070320571,0.011118659,,40,0,40,0,,SPT_0217,1.048781647,0.012725317,0.112806549,0.017836281,,40,0,40,0,,-0.043,78,2.053,0.04338,SPT_0217,DNA-3-methyladenine glycosylase 1,FALSE
SPT_1011,1.01373742,0.00776653,0.088127918,0.013439382,,43,0,43,0,,SPT_1011,1.057368279,0.011147268,0.105580622,0.016488923,,41,0,41,0,,-0.044,82,2.051,0.04345,SPT_1011,sortase,FALSE
SPT_0241,0.983021957,0.004401116,0.066340911,0.008564575,,60,0,60,0,,SPT_0241,1.008970003,0.005321447,0.072948249,0.009497053,,59,0,59,0,,-0.026,117,2.029,0.04473,SPT_0241,"lipoprotein, putative",FALSE
SPT_1092,1.029703637,0.007053318,0.083984036,0.007603557,,122,0,122,0,,SPT_1092,1.052557783,0.009121488,0.095506484,0.00844166,,128,0,128,0,,-0.023,248,2.012,0.04534,SPT_1092,putative phage-associated protein,FALSE
SPT_0350,0.978246425,0.005731308,0.075705405,0.006061283,,156,0,156,0,,SPT_0350,0.997160007,0.008116525,0.09009176,0.007213114,,156,0,156,0,,-0.019,310,2.007,0.04557,SPT_0350,hypothetical protein,FALSE
SPT_2006,0.996144906,0.007976361,0.089310474,0.00484354,,340,0,340,0,,SPT_2006,0.981205603,0.010567788,0.102799747,0.005676166,,328,1,327,0,,0.015,666,2.002,0.04568,SPT_2006,penicillin-binding protein 2A,FALSE
SPT_1538,0.993999904,0.004323774,0.065755409,0.00504321,,170,0,170,0,,SPT_1538,1.010520444,0.00748689,0.086526815,0.006578512,,173,0,173,0,,-0.017,341,1.993,0.04706,SPT_1538,major facilitator superfamily transporter,FALSE
SPT_0125,0.996223129,0.009088049,0.095331261,0.010463965,,83,0,83,0,,SPT_0125,0.966509651,0.009332004,0.096602299,0.01060348,,83,0,83,0,,0.03,164,1.995,0.04775,SPT_0125,rhodanese-like domain protein,FALSE
SPT_0439,0.98532334,0.007091931,0.084213604,0.005881733,,205,0,205,0,,SPT_0439,1.004012189,0.011415147,0.10684169,0.007517355,,202,0,202,0,,-0.019,405,1.958,0.05092,SPT_0439,"helicase, RecD/TraA family",FALSE
SPT_0784,0.947177175,0.008601566,0.092744628,0.009565878,,94,1,93,0,,SPT_0784,0.974216772,0.009733751,0.098659774,0.010069421,,96,0,96,0,,-0.027,188,1.947,0.05304,SPT_0784,"peptidyl-prolyl cis-trans isomerase, cyclophilin-type",FALSE
SPT_2169,0.9942338,0.004956284,0.070400879,0.006652258,,112,0,112,0,,SPT_2169,0.970629523,0.011375131,0.106654259,0.010169085,,110,1,109,0,,0.024,220,1.942,0.05336,SPT_2169,SPFH domain-containing protein/band 7 family protein,FALSE
SPT_0893,1.005723655,0.005582343,0.074715081,0.010898315,,47,0,47,0,,SPT_0893,1.038919489,0.007258797,0.085198572,0.01299266,,43,0,43,0,,-0.033,88,1.958,0.05346,SPT_0893,"ABC transporter, ATP-binding protein",FALSE
SPT_1058,1.033687167,0.006138378,0.078347799,0.009571707,lepB2,67,0,67,0,,SPT_1058,1.059196569,0.005352925,0.073163687,0.009005827,lepB2,66,0,66,0,,-0.026,131,1.941,0.05441,SPT_1058,signal peptidase I,FALSE
SPT_1457,0.994497547,0.003990907,0.063173627,0.010248115,,38,0,38,0,,SPT_1457,1.028893128,0.007800337,0.088319514,0.014327317,,38,0,38,0,,-0.034,74,1.953,0.05465,SPT_1457,"acetyltransferase, gnat family",FALSE
SPT_1985,0.952190581,0.000813515,0.028522178,0.012755506,,5,0,5,0,,SPT_1985,1.02823503,0.005067739,0.071188055,0.031836266,,5,0,5,0,,-0.076,8,2.217,0.05743,SPT_1985,hypothetical protein,FALSE
SPT_1942,0.99328,0.007700983,0.087755243,0.006652708,,174,0,174,0,,SPT_1942,0.972689278,0.012129323,0.110133206,0.008547995,,166,1,165,0,,0.021,338,1.901,0.05816,SPT_1942,CBS domain protein,FALSE
SPT_2150,1.054911671,0.007507127,0.086643677,0.021660919,,16,0,16,0,,SPT_2150,0.99073354,0.009491089,0.097422222,0.024355556,,16,0,16,0,,0.064,30,1.969,0.05825,SPT_2150,pseudo,FALSE
SPT_2114,0.991411731,0.008212886,0.090624974,0.006754787,,180,0,180,0,,SPT_2114,0.973415173,0.008060339,0.089779393,0.006654891,,182,0,182,0,,0.018,360,1.898,0.05851,SPT_2114,glycogen phosphorylase,FALSE
SPT_1983,1.013465904,0.005229012,0.072311907,0.006317921,,131,0,131,0,,SPT_1983,0.995894079,0.00601948,0.077585306,0.006752934,,132,0,132,0,,0.018,261,1.9,0.05852,SPT_1983,"ABC-type multidrug transport system, permease component",FALSE
SPT_1055,1.022133537,0.00527454,0.072626029,0.006743158,pepT,116,0,116,0,,SPT_1055,1.041276475,0.006433816,0.08021107,0.007512455,pepT,114,0,114,0,,-0.019,228,1.896,0.05919,SPT_1055,peptidase T,FALSE
SPT_1938,0.899743819,3.39E-05,0.005823514,0.004117846,rpoB,2,0,2,0,,SPT_1938,1.059990417,0.003298795,0.057435136,0.040612774,rpoB,2,0,2,0,,-0.16,2,3.926,0.05919,SPT_1938,"DNA-directed RNA polymerase, beta subunit",FALSE
SPT_2223,0.799043915,0.012864754,0.1134229,0.009199812,,152,0,152,0,,SPT_2223,0.768937337,0.02322408,0.152394487,0.01297268,,138,4,134,0,,0.03,288,1.893,0.05935,SPT_2223,DHH subfamily 1 protein,FALSE
SPT_1000,1.016070786,0.006611333,0.081310103,0.007973112,mutY,104,0,104,0,,SPT_1000,1.039013941,0.008499235,0.092191296,0.009173377,mutY,101,0,101,0,,-0.023,203,1.888,0.06049,SPT_1000,A/G-specific adenine glycosylase,FALSE
SPT_0914,0.737155521,0.013680811,0.116964999,0.01591692,thrB,54,1,53,0,,SPT_0914,0.678145206,0.03873921,0.196822787,0.027035689,thrB,53,4,49,0,,0.059,105,1.881,0.06275,SPT_0914,homoserine kinase,FALSE
SPT_0862,0.926114747,0.006553259,0.0809522,0.007240585,lgt,125,0,125,0,,SPT_0862,0.947270214,0.009408986,0.096999928,0.008710851,lgt,124,0,124,0,,-0.021,247,1.868,0.06299,SPT_0862,prolipoprotein diacylglyceryl transferase,FALSE
SPT_1404,1.020354565,0.006534141,0.080834036,0.006957086,,135,0,135,0,,SPT_1404,1.039843007,0.008024252,0.089578187,0.00779678,,132,0,132,0,,-0.019,265,1.865,0.06328,SPT_1404,PEP-utilizing enzyme family protein,FALSE
SPT_0742,1.017230496,0.005943678,0.077095251,0.008902193,thiD,75,0,75,0,,SPT_0742,1.041396058,0.006585391,0.081150424,0.009433545,thiD,74,0,74,0,,-0.024,147,1.863,0.06445,SPT_0742,phosphomethylpyrimidine kinase,FALSE
SPT_1567,1.017869053,0.006385993,0.079912405,0.019978101,,16,0,16,0,,SPT_1567,1.085459796,0.014756544,0.121476518,0.029462383,,17,0,17,0,,-0.068,31,1.899,0.06694,SPT_1567,hypothetical protein,FALSE
SPT_0289,0.962272715,0.008456011,0.091956571,0.008127889,,128,1,127,0,,SPT_0289,0.94075056,0.008889921,0.094286379,0.00843323,,125,0,125,0,,0.022,251,1.838,0.06731,SPT_0289,Fe(3+) ions import ATP-binding protein FbpC,FALSE
SPT_2172,0.990544579,0.007838923,0.088537693,0.003140108,,795,1,794,0,,SPT_2172,0.982360781,0.008100156,0.090000867,0.003198042,,792,0,792,0,,0.008,1585,1.826,0.06805,SPT_2172,glycosyl hydrolase family 98 C- domain protein,FALSE
SPT_1100,1.011576123,0.006317742,0.079484226,0.007756866,,105,0,105,0,,SPT_1100,1.034682904,0.010056881,0.100284,0.009929596,,102,0,102,0,,-0.023,205,1.834,0.06813,SPT_1100,hypothetical protein,FALSE
SPT_0467,1.018652966,0.00467627,0.068383261,0.017095815,,16,0,16,0,,SPT_0467,0.967146993,0.006726111,0.082012869,0.021175632,,15,0,15,0,,0.052,29,1.893,0.06844,SPT_0467,hypothetical protein,FALSE
SPT_2184,0.731171778,0.017981413,0.134094792,0.037191204,,13,0,13,0,,SPT_2184,0.618536357,0.025365831,0.15926654,0.04597629,,12,0,12,0,,0.113,23,1.905,0.0694,SPT_2184,"zinc ABC transporter, ATP-binding protein",FALSE
SPT_1093,1.095901913,0.017820463,0.133493309,0.035677587,,14,0,14,0,,SPT_1093,0.998993451,0.013437478,0.115920136,0.036657166,,10,0,10,0,,0.097,22,1.894,0.07138,SPT_1093,hypothetical protein,FALSE
SPT_0084,0.940743189,0.00850634,0.092229823,0.004432282,,433,0,433,0,,SPT_0084,0.952443415,0.009732503,0.098653451,0.004774175,,427,0,427,0,,-0.012,858,1.796,0.07284,SPT_0084,"phosphoribosylformylglycinamidine synthase, putative",FALSE
SPT_0892,1.031033034,0.00763229,0.087362978,0.007691881,,129,0,129,0,,SPT_0892,1.051799611,0.009668044,0.098326214,0.008590801,,131,0,131,0,,-0.021,258,1.801,0.07288,SPT_0892,"alpha-amylase (1,4-alpha-D-glucanglucanohydrolase)",FALSE
SPT_0402,0.886942656,0.01432783,0.119698913,0.012030193,,99,1,98,0,,SPT_0402,0.85686555,0.012712625,0.112750279,0.011567935,,95,0,95,0,,0.03,192,1.802,0.07309,SPT_0402,UDP-N-acetylglucosamine-2-epimerase,FALSE
SPT_1921,0.99304914,0.005143617,0.071719016,0.006414744,,125,0,125,0,,SPT_1921,0.974918932,0.007479733,0.08648545,0.007766623,,124,0,124,0,,0.018,247,1.8,0.07311,SPT_1921,pseudo,FALSE
SPT_1148,1.082324983,0.007107392,0.084305348,0.059612883,,2,0,2,0,,SPT_1148,0.876878859,1.81E-07,0.000425736,0.000301041,,2,0,2,0,,0.205,2,3.446,0.07486,SPT_1148,pseudo,FALSE
SPT_1810,0.699486202,0.0228508,0.151164812,0.018067651,,70,3,67,0,,SPT_1810,0.741043292,0.015348031,0.123887169,0.014600243,,72,1,71,0,,-0.042,140,1.789,0.07578,SPT_1810,oligopeptide transport ATP-binding protein OppD,FALSE
SPT_0876,1.018753267,0.004920394,0.070145518,0.007891987,pstA1,79,0,79,0,,SPT_0876,1.039369324,0.005884827,0.076712626,0.008420305,pstA1,83,0,83,0,,-0.021,160,1.786,0.07593,SPT_0876,"phosphate ABC transporter, permease protein, putative",FALSE
SPT_0019,0.993003807,0.006556384,0.080971501,0.010121438,,64,0,64,0,,SPT_0019,0.966257974,0.00789174,0.088835465,0.011018683,,65,0,65,0,,0.027,127,1.788,0.07622,SPT_0019,hypothetical protein,FALSE
SPT_1749,1.000981348,0.007608991,0.08722953,0.00517612,galT1,284,0,284,0,,SPT_1749,0.987767222,0.00780704,0.088357456,0.005347636,galT1,273,0,273,0,,0.013,555,1.776,0.07636,SPT_1749,galactose-1-phosphate uridylyltransferase,FALSE
SPT_1894,1.004846797,0.005708005,0.075551339,0.015110268,,25,0,25,0,,SPT_1894,0.965665007,0.005785133,0.076060061,0.015525695,,24,0,24,0,,0.039,47,1.809,0.07692,SPT_1894,"type II restriction-modification system regulatory protein, putative",FALSE
SPT_2196,0.996650607,0.006864506,0.082852315,0.006091423,,185,0,185,0,,SPT_2196,0.979217203,0.010953384,0.104658416,0.007715521,,184,1,183,0,,0.017,367,1.773,0.07699,SPT_2196,hypothetical protein,FALSE
SPT_0519,1.007085991,0.008605205,0.092764244,0.0046973,,390,0,390,0,,SPT_0519,1.018908698,0.008742378,0.093500682,0.004759059,,386,0,386,0,,-0.012,774,1.768,0.07744,SPT_0519,pts system lactose-specific eiicb component (eiicb-lac) (eii-lac),FALSE
SPT_0477,0.987934682,0.009450855,0.097215507,0.025981937,,14,0,14,0,,SPT_0477,1.050764168,0.007058326,0.084013842,0.022453644,,14,0,14,0,,-0.063,26,1.83,0.07879,SPT_0477,pseudo,FALSE
SPT_0414,0.95649227,0.004276435,0.065394455,0.009438876,,48,0,48,0,,SPT_0414,0.983743839,0.007030086,0.083845609,0.012102071,,48,0,48,0,,-0.027,94,1.776,0.07903,SPT_0414,hypothetical protein,FALSE
