Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Kan,var-19F-Kan,sd-19F-Kan,se-19F-Kan,Total-19F-Kan,Blank-19F-Kan,Not Blank-19F-Kan,Blank Removed-19F-Kan,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
249,SPT_0024,0.999,0.011,0.104,0.024,,18,0,18,0,,SPT_0024,1.011,0.006,0.074,0.018,17,0,17,0,-0.012,33,0.408,0.68565,,hypothetical protein,FALSE
606,SPT_0025,1.017,0.007,0.082,0.014,,36,0,36,0,,SPT_0025,1.027,0.007,0.087,0.015,35,0,35,0,-0.01,69,0.509,0.61266,,hypothetical protein,FALSE
309,SPT_0026,1.015,0.006,0.078,0.029,,7,0,7,0,,SPT_0026,0.99,0.012,0.111,0.045,6,0,6,0,0.024,11,0.447,0.66359,,hypothetical protein,FALSE
1347,SPT_0027,,,,,,,,,,,SPT_0027,,,,,,,,M,,,,,,Spn1 transposase,FALSE
153,SPT_0028,1.011,0.003,0.059,0.014,,17,0,17,0,,SPT_0028,1.034,0.005,0.07,0.018,15,0,15,0,-0.022,30,0.978,0.33598,,transcription regulator,FALSE
717,SPT_0029,0.983,0.008,0.09,0.012,,58,0,58,0,,SPT_0029,0.98,0.016,0.127,0.017,57,1,56,0,0.003,113,0.135,0.89282,,cI repressor,FALSE
669,SPT_0030,0.977,0.015,0.122,0.016,,59,1,58,0,,SPT_0030,0.977,0.02,0.142,0.019,56,2,54,0,0.001,113,0.021,0.98348,,LIM domain protein,FALSE
669,SPT_0031,1.009,0.004,0.064,0.006,,122,0,122,0,,SPT_0031,1.001,0.007,0.083,0.008,116,0,116,0,0.007,236,0.754,0.45182,,Fic protein family,FALSE
459,SPT_0032,0.997,0.005,0.074,0.006,,131,0,131,0,,SPT_0032,0.985,0.005,0.074,0.007,125,0,125,0,0.012,254,1.316,0.18937,,hypothetical protein,FALSE
123,SPT_0033,0.948,0.003,0.054,0.013,,16,0,16,0,,SPT_0033,0.963,0.006,0.077,0.021,14,0,14,0,-0.015,28,0.629,0.5342,,hypothetical protein,FALSE
237,SPT_0034,0.979,0.006,0.077,0.01,,56,0,56,0,,SPT_0034,0.978,0.009,0.095,0.013,55,0,55,0,0.001,109,0.067,0.94677,,hypothetical protein,FALSE
306,SPT_0035,1.002,0.007,0.081,0.011,,55,0,55,0,,SPT_0035,0.994,0.009,0.097,0.013,53,0,53,0,0.008,106,0.468,0.64043,,replication protein,FALSE
561,SPT_0036,1.01,0.007,0.085,0.009,,90,0,90,0,,SPT_0036,1,0.01,0.102,0.011,85,0,85,0,0.01,173,0.683,0.49538,,putative DNA damage inducible protein,FALSE
1167,SPT_0037,1.004,0.005,0.069,0.004,,238,0,238,0,,SPT_0037,0.992,0.008,0.088,0.006,231,1,230,0,0.013,467,1.708,0.08831,,integrase,FALSE
1116,SPT_0038,0.933,0.008,0.089,0.009,ychF,91,0,91,0,,SPT_0038,0.852,0.021,0.144,0.016,80,2,78,0,0.081,169,4.358,0.00002,,GTP-dependent nucleic acid-binding protein EngD,FALSE
570,SPT_0039,1.071,0.007,0.081,0.057,pth,2,0,2,0,,SPT_0039,1.169,0,0,0,1,0,1,0,-0.098,1,1.704,0.33791,,peptidyl-tRNA hydrolase,FALSE
3510,SPT_0040,0.971,0.009,0.097,0.005,mfd,437,1,436,0,,SPT_0040,0.979,0.013,0.114,0.006,419,2,417,0,-0.008,854,1.154,0.24903,,transcription-repair coupling factor,FALSE
267,SPT_0041,1.018,0.005,0.073,0.013,,29,0,29,0,,SPT_0041,1.065,0.006,0.079,0.015,29,0,29,0,-0.047,56,2.345,0.0226,,ribosome-associated heat shock protein implicated in the recycling of the 50S subunit,FALSE
369,SPT_0042,,,,,,,,,,,SPT_0042,,,,,,,,,,,,,,septum formation initiator,FALSE
123,SPT_0043,0.957,0.028,0.168,0.069,,6,0,6,0,,SPT_0043,1.061,0.002,0.042,0.019,5,0,5,0,-0.103,9,1.449,0.18125,,hypothetical protein,FALSE
1269,SPT_0044,0.861,0.007,0.086,0.009,,102,0,102,0,,SPT_0044,0.882,0.015,0.121,0.013,94,2,92,0,-0.021,194,1.38,0.16912,,beta-lactamase class A,FALSE
1278,SPT_0045,,,,,,,,,,,SPT_0045,,,,,,,,,,,,,,MesJ/Ycf62 family protein,FALSE
543,SPT_0046,0.719,0.016,0.127,0.022,hpt,33,1,32,0,,SPT_0046,0.675,0.09,0.3,0.059,26,6,20,0,0.044,57,0.693,0.49105,,hypoxanthine phosphoribosyltransferase,FALSE
480,SPT_0048,,,,,,,,,,,SPT_0048,,,,,,,,,,,,,,competence-specific global transcription modulator,FALSE
,SPT_0049,,,,,,,,,,,SPT_0049,,,,,,,,,,,,,,,FALSE
,SPT_0050,,,,,rrs1,,,,,,SPT_0050,,,,,,,,,,,,,,,FALSE
,SPT_0051,,,,,,,,,,,SPT_0051,,,,,,,,,,,,,,,FALSE
,SPT_0053,,,,,rrl1,,,,,,SPT_0053,,,,,,,,,,,,,,,FALSE
,SPT_0054,,,,,rrf_1,,,,,,SPT_0054,,,,,,,,,,,,,,,FALSE
,SPT_0055,,,,,,,,,,,SPT_0055,,,,,,,,,,,,,,,FALSE
186,SPT_0056,1.084,0.003,0.058,0.024,,6,0,6,0,,SPT_0056,1.141,0.008,0.091,0.037,6,0,6,0,-0.058,10,1.313,0.21866,,pseudo,FALSE
,SPT_0057,,,,,,,,,,,SPT_0057,,,,,,,,,,,,,,,FALSE
237,SPT_0058,1.011,0.006,0.076,0.015,,26,0,26,0,,SPT_0058,1.017,0.009,0.096,0.02,23,0,23,0,-0.006,47,0.238,0.81256,,hypothetical protein,FALSE
1329,SPT_0059,0.949,0.006,0.079,0.006,purA,196,0,196,0,,SPT_0059,0.926,0.011,0.105,0.008,189,2,187,0,0.023,383,2.464,0.01419,,adenylosuccinate synthetase,FALSE
468,SPT_0060,0.979,0.005,0.074,0.011,,49,0,49,0,,SPT_0060,0.959,0.008,0.088,0.013,45,0,45,0,0.02,92,1.205,0.23145,,tRNA-specific adenosine deaminase,FALSE
444,SPT_0061,1.009,0.004,0.065,0.009,dut,55,0,55,0,,SPT_0061,1.009,0.007,0.086,0.012,54,0,54,0,0,107,0.016,0.98729,,deoxyuridine 5'-triphosphate nucleotidohydrolase,FALSE
558,SPT_0062,1.003,0.005,0.071,0.007,,114,0,114,0,,SPT_0062,1.001,0.01,0.099,0.009,111,0,111,0,0.002,223,0.216,0.82939,,phosphoglycerate mutase family protein,FALSE
1263,SPT_0063,1.021,0.006,0.079,0.008,radA,101,0,101,0,,SPT_0063,0.99,0.008,0.09,0.009,92,0,92,0,0.031,191,2.552,0.01149,,DNA repair protein RadA,FALSE
498,SPT_0064,0.103,0.035,0.186,0.056,,11,8,3,0,,SPT_0064,0.097,0.085,0.292,0.119,6,5,1,0,0.006,15,0.048,0.96207,,carbonate dehydratase,FALSE
816,SPT_0065,1.002,0.008,0.087,0.008,,134,0,134,0,,SPT_0065,0.986,0.016,0.126,0.011,130,2,128,0,0.016,262,1.216,0.22526,,hypothetical protein,FALSE
969,SPT_0066,,,,,,,,,,,SPT_0066,,,,,,,,,,,,,,ribose-Phosphate pyrophosphokinase (rppk) (phosphoribosylpyrophosphate synthetase) (p-rib-pp synthetase) (prpp synthetase),FALSE
234,SPT_0067,1.008,0.007,0.082,0.014,,35,0,35,0,,SPT_0067,1.022,0.003,0.056,0.009,35,0,35,0,-0.014,68,0.844,0.40179,,hypothetical protein,FALSE
327,SPT_0068,1.021,0.003,0.059,0.011,,31,0,31,0,,SPT_0068,1.002,0.003,0.052,0.01,30,0,30,0,0.02,59,1.392,0.16927,,competence-induced protein Ccs16,FALSE
315,SPT_0069,0.982,0.006,0.077,0.011,,47,0,47,0,,SPT_0069,0.965,0.011,0.104,0.015,50,0,50,0,0.017,95,0.92,0.35997,,hypothetical protein,FALSE
2634,SPT_0070,1,0.003,0.05,0.036,,2,0,2,0,,SPT_0070,0.943,0.001,0.024,0.017,2,0,2,0,0.056,2,1.439,0.28684,,DNA polymerase I,FALSE
438,SPT_0071,1.03,0.006,0.078,0.012,,40,0,40,0,,SPT_0071,1.023,0.007,0.082,0.014,36,0,36,0,0.006,74,0.341,0.73428,,CoA binding protein,FALSE
1011,SPT_0072,1.011,0.004,0.065,0.006,,115,0,115,0,,SPT_0072,1.011,0.007,0.084,0.008,116,0,116,0,0,229,0.013,0.98935,,hypothetical protein,FALSE
1170,SPT_0073,1.021,0.005,0.069,0.007,,111,0,111,0,,SPT_0073,1.019,0.008,0.088,0.008,109,1,108,0,0.001,218,0.121,0.9035,,aromatic amino acid aminotransferase,FALSE
771,SPT_0074,0.983,0,0.014,0.01,recO,2,0,2,0,,SPT_0074,0.965,0.004,0.062,0.044,2,0,2,0,0.018,2,0.401,0.7273,,DNA repair protein RecO,FALSE
234,SPT_0076,1.004,0.003,0.054,0.016,,11,0,11,0,,SPT_0076,0.99,0.009,0.093,0.027,12,0,12,0,0.014,21,0.462,0.64911,,"acyl carrier protein, putative",FALSE
294,SPT_0077,1,0.002,0.039,0.016,,6,0,6,0,,SPT_0077,0.998,0.008,0.088,0.036,6,0,6,0,0.002,10,0.044,0.9654,,mobile genetic element,FALSE
231,SPT_0078,1.021,0.004,0.063,0.013,,24,0,24,0,,SPT_0078,1.019,0.005,0.07,0.014,24,0,24,0,0.002,46,0.117,0.90725,,bacteriocin BlpU,FALSE
126,SPT_0079,0.984,0.006,0.08,0.013,,39,0,39,0,,SPT_0079,1.01,0.006,0.078,0.013,37,0,37,0,-0.026,74,1.417,0.16066,,hypothetical protein,FALSE
2154,SPT_0080,0.995,0.005,0.071,0.004,,318,0,318,0,,SPT_0080,0.978,0.005,0.074,0.004,308,1,307,0,0.017,624,2.983,0.00296,,transport/processing ATP-binding protein ComA,FALSE
1350,SPT_0081,1.011,0.005,0.069,0.005,,199,0,199,0,,SPT_0081,0.971,0.006,0.074,0.005,190,0,190,0,0.04,387,5.492,0,,transport protein ComB,FALSE
708,SPT_0082,0.992,0.004,0.065,0.007,purC,82,0,82,0,,SPT_0082,1.006,0.006,0.078,0.009,76,0,76,0,-0.014,156,1.25,0.2133,,phosphoribosylaminoimidazole-succinocarboxamide synthase,FALSE
135,SPT_0083,1.028,0.002,0.048,0.013,,14,0,14,0,,SPT_0083,1.058,0.004,0.063,0.017,13,0,13,0,-0.03,25,1.406,0.17199,,phosphoribosylaminoimidazole-succinocarboxamide synthase (saicar synthetase),FALSE
3726,SPT_0084,1.02,0.007,0.081,0.004,,430,0,430,0,,SPT_0084,1.028,0.007,0.083,0.004,418,0,418,0,-0.008,846,1.42,0.1561,,"phosphoribosylformylglycinamidine synthase, putative",FALSE
1443,SPT_0085,1.024,0.005,0.071,0.005,purF,179,0,179,0,,SPT_0085,1.029,0.007,0.085,0.006,179,0,179,0,-0.004,356,0.531,0.59598,,amidophosphoribosyltransferase,FALSE
1023,SPT_0086,1.014,0.004,0.063,0.006,purM,99,0,99,0,,SPT_0086,1.011,0.006,0.075,0.008,96,0,96,0,0.003,193,0.285,0.77572,,phosphoribosylformylglycinamidine cyclo-ligase,FALSE
546,SPT_0087,1.026,0.005,0.073,0.011,purN,45,0,45,0,,SPT_0087,1.027,0.008,0.089,0.014,41,0,41,0,-0.001,84,0.029,0.97682,,phosphoribosylglycinamide formyltransferase,FALSE
510,SPT_0088,1.003,0.006,0.079,0.006,,193,0,193,0,,SPT_0088,1.037,0.006,0.079,0.006,185,0,185,0,-0.034,376,4.146,0.00004,,teicoplanin resistance protein,FALSE
1548,SPT_0089,1.01,0.006,0.08,0.006,purH,185,0,185,0,,SPT_0089,1.016,0.007,0.085,0.006,182,0,182,0,-0.006,365,0.648,0.51767,,bifunctional purine biosynthesis protein PurH,FALSE
1263,SPT_0090,1.013,0.006,0.079,0.007,purD,128,0,128,0,,SPT_0090,1.026,0.007,0.085,0.008,125,0,125,0,-0.013,251,1.27,0.20536,,phosphoribosylamine--glycine ligase,FALSE
489,SPT_0091,0.988,0.003,0.058,0.011,purE,31,0,31,0,,SPT_0091,0.993,0.004,0.062,0.011,31,0,31,0,-0.005,60,0.333,0.7401,,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",FALSE
1092,SPT_0092,0.998,0.003,0.051,0.005,purK,119,0,119,0,,SPT_0092,1.004,0.004,0.067,0.006,118,0,118,0,-0.006,235,0.718,0.47334,,"phosphoribosylaminoimidazole carboxylase, ATPase subunit",FALSE
228,SPT_0093,0.993,0.005,0.069,0.007,,87,0,87,0,,SPT_0093,1.017,0.009,0.093,0.01,86,0,86,0,-0.024,171,1.915,0.05714,,hypothetical protein,FALSE
1299,SPT_0094,0.953,0.008,0.088,0.009,purB,104,0,104,0,,SPT_0094,0.973,0.01,0.1,0.01,91,0,91,0,-0.021,193,1.523,0.12933,,adenylosuccinate lyase,FALSE
3939,SPT_0095,0.992,0.006,0.075,0.003,,628,0,628,0,,SPT_0095,0.995,0.008,0.09,0.004,613,2,611,0,-0.003,1239,0.663,0.50738,,beta-N-acetylhexosaminidase,FALSE
744,SPT_0096,0.922,0.005,0.068,0.006,,153,0,153,0,,SPT_0096,0.922,0.007,0.086,0.007,146,1,145,0,0.001,297,0.074,0.94137,,"transcriptional regulator, GntR family protein",FALSE
1788,SPT_0097,0.981,0.004,0.063,0.004,,274,0,274,0,,SPT_0097,0.971,0.009,0.096,0.006,271,2,269,0,0.01,543,1.46,0.1449,,beta-galactosidase (Lactase),FALSE
477,SPT_0098,1.006,0.005,0.071,0.009,,68,0,68,0,,SPT_0098,0.99,0.012,0.111,0.013,68,1,67,0,0.016,134,1.026,0.30693,,"PTS system, IIB component",FALSE
906,SPT_0099,1.008,0.006,0.076,0.006,,161,0,161,0,,SPT_0099,1.002,0.006,0.079,0.006,160,0,160,0,0.007,319,0.758,0.4488,,"PTS system, IIC component",FALSE
816,SPT_0100,1.003,0.004,0.065,0.006,,107,0,107,0,,SPT_0100,0.987,0.011,0.103,0.01,106,1,105,0,0.016,211,1.324,0.18684,,"PTS system, IID component",FALSE
405,SPT_0101,1.015,0.004,0.066,0.009,,50,0,50,0,,SPT_0101,1.007,0.005,0.074,0.01,50,0,50,0,0.008,98,0.557,0.57873,,"PTS system, IIA component",FALSE
1167,SPT_0102,1.002,0.005,0.072,0.005,,182,0,182,0,,SPT_0102,1.01,0.006,0.075,0.006,178,0,178,0,-0.008,358,1.067,0.28652,,sugar isomerase domain-containing protein,FALSE
1038,SPT_0103,1.011,0.004,0.064,0.006,,134,0,134,0,,SPT_0103,1.006,0.007,0.084,0.007,128,0,128,0,0.005,260,0.562,0.5745,,aldose 1-epimerase,FALSE
855,SPT_0104,1.011,0.004,0.066,0.006,,135,0,135,0,,SPT_0104,1.012,0.006,0.078,0.007,127,0,127,0,-0.001,260,0.064,0.94906,,glyoxalase family protein,FALSE
258,SPT_0105,0.975,0.008,0.087,0.013,,45,0,45,0,,SPT_0105,1.032,0.005,0.073,0.011,43,0,43,0,-0.057,86,3.331,0.00128,,hypothetical protein,FALSE
363,SPT_0106,0.992,0.01,0.099,0.018,,30,0,30,0,,SPT_0106,1.039,0.014,0.118,0.021,30,0,30,0,-0.046,58,1.65,0.10445,,chlorohydrolase,FALSE
297,SPT_0107,1.014,0.007,0.086,0.013,,46,0,46,0,,SPT_0107,1.031,0.007,0.083,0.012,44,0,44,0,-0.018,88,0.99,0.32474,,hypothetical protein,FALSE
120,SPT_0108,0.963,0.004,0.062,0.015,,18,0,18,0,,SPT_0108,0.965,0.006,0.077,0.019,17,0,17,0,-0.002,33,0.072,0.94286,,coenzyme A disulfide reductase,FALSE
765,SPT_0109,1.008,0.005,0.069,0.007,,87,0,87,0,,SPT_0109,0.985,0.006,0.076,0.008,86,0,86,0,0.022,171,2.021,0.04483,,"phosphorylase, Pnp/Udp family",FALSE
153,SPT_0110,0.984,0,0.01,0.007,,2,0,2,0,,SPT_0110,0.946,0,0.018,0.012,2,0,2,0,0.038,2,2.635,0.11889,,chlorohydrolase,FALSE
1380,SPT_0111,1.003,0.005,0.069,0.005,,208,0,208,0,,SPT_0111,1.02,0.007,0.082,0.006,207,0,207,0,-0.017,413,2.291,0.02244,,Trk family potassium uptake protein,FALSE
666,SPT_0112,0.996,0.006,0.08,0.01,,62,0,62,0,,SPT_0112,0.994,0.008,0.087,0.012,57,0,57,0,0.002,117,0.1,0.9207,,"potassium uptake protein, Trk family",FALSE
159,SPT_0113,,,,,,,,,,,SPT_0113,,,,,,,,,,,,,,chlorohydrolase,FALSE
1320,SPT_0115,1.01,0.004,0.064,0.005,,142,0,142,0,,SPT_0115,1.014,0.007,0.082,0.007,137,0,137,0,-0.003,277,0.35,0.72688,,pseudo,FALSE
3030,SPT_0116,0.996,0.006,0.075,0.006,,152,0,152,0,,SPT_0116,1.012,0.006,0.076,0.006,146,0,146,0,-0.016,296,1.803,0.07246,,cell wall surface anchor family protein,FALSE
699,SPT_0117,0.999,0.006,0.078,0.007,,111,0,111,0,,SPT_0117,0.997,0.009,0.093,0.009,110,0,110,0,0.003,219,0.233,0.81578,,DNA-binding response regulator,FALSE
1053,SPT_0118,1.002,0.007,0.084,0.009,,93,0,93,0,,SPT_0118,1.004,0.008,0.087,0.009,85,0,85,0,-0.003,176,0.209,0.83487,,histidine kinase,FALSE
612,SPT_0119,,,,,rpsD,,,,,,SPT_0119,,,,,,,,,,,,,,30S ribosomal protein S4,FALSE
261,SPT_0120,1.024,0.003,0.059,0.013,,19,0,19,0,,SPT_0120,0.996,0.003,0.054,0.012,19,0,19,0,0.028,36,1.542,0.13193,,hypothetical protein,FALSE
222,SPT_0121,1.014,0.005,0.069,0.013,,28,0,28,0,,SPT_0121,1.025,0.005,0.071,0.014,26,0,26,0,-0.011,52,0.577,0.56676,,hypothetical protein,FALSE
960,SPT_0122,1.002,0.005,0.071,0.005,,179,0,179,0,,SPT_0122,0.998,0.007,0.086,0.006,176,0,176,0,0.003,353,0.401,0.68884,,ABC transporter membrane-spanning permease - sugar transport,FALSE
924,SPT_0123,1.004,0.004,0.064,0.006,,111,0,111,0,,SPT_0123,0.991,0.007,0.083,0.008,106,0,106,0,0.013,215,1.317,0.18912,,protein LplC,FALSE
1476,SPT_0124,0.995,0.005,0.074,0.005,,201,0,201,0,,SPT_0124,0.983,0.008,0.092,0.007,197,0,197,0,0.011,396,1.369,0.17168,,"ABC transporter, substrate-binding protein",FALSE
987,SPT_0125,1.003,0.005,0.069,0.008,,85,0,85,0,,SPT_0125,0.982,0.006,0.078,0.009,78,0,78,0,0.021,161,1.825,0.06983,,rhodanese-like domain protein,FALSE
