Pos size,Gene,mean-2394-Gluc_eII,var-2394-Gluc_eII,sd-2394-Gluc_eII,se-2394-Gluc_eII,gene,Total-2394-Gluc_eII,Blank-2394-Gluc_eII,Not Blank-2394-Gluc_eII,Blank Removed-2394-Gluc_eII,M,locus-2394,mean.2394.Vanc.eIV,var-2394-Vanc_eIV,sd-2394-Vanc_eIV,se-2394-Vanc_eIV,gene,Total-2394-Vanc_eIV,Blank-2394-Vanc_eIV,Not Blank-2394-Vanc_eIV,Blank Removed-2394-Vanc_eIV,M,Value,Df,TDIST,p-value,Significance,Common Name,TIMS-CATEGORY,What to do/What they are,Sig
2207,SP_0202,0.678,0.028,0.167,0.021,,61,2,59,0,,SP_0202,0.394828582,0.044478269,0.210898717,0.026158766,,65,8,57,0,,0.283,124,8.378,0,***,anaerobic ribonucleoside-triphosphate reductase,NUCLEOTIDE METABOLSIM,CORE,TRUE
590,SP_0205,0.782,0.015,0.121,0.024,,26,0,26,0,,SP_0205,0.510722971,0.04819212,0.219527037,0.043052794,,26,2,24,0,,0.271,50,5.518,0,***,anaerobic ribonucleoside-triphosphate reductase activating protein,VARIOUS,CORE,TRUE
2696,SP_1068,0.653,0.033,0.182,0.028,,43,4,39,0,,SP_1068,0.37950844,0.045293764,0.212823316,0.030403331,,49,10,39,0,,0.274,90,6.655,0,***,phosphoenolpyruvate carboxylase,CARBOHYDRATE METABOLISM,CORE,TRUE
656,SP_1983,0.565,0.062,0.248,0.079,,10,2,8,0,,SP_1983,0.087908891,0.015414547,0.124155333,0.039261364,,10,7,3,0,,0.477,18,5.438,0.00004,***,ribulose-phosphate 3-epimerase,CARBOHYDRATE METABOLISM,LIKELYESSENTIAL,TRUE
1484,SP_2066,0.872,0.008,0.089,0.016,,30,0,30,0,,SP_2066,0.599368382,0.067718872,0.2602285,0.047511007,,30,0,30,0,,0.273,58,5.437,0,***,threonine synthase,AMINO ACID METABOLSIM,PHENOTYPED,TRUE
707,SP_0044,0.918,0.011,0.107,0.019,,31,0,31,0,,SP_0044,0.618095855,0.108090103,0.328770594,0.059048942,,31,1,30,0,,0.3,60,4.831,0.00001,****,phosphoribosylaminoimidazole-succinocarboxamide synthase,NUCLEOTIDE METABOLSIM,PHENOTYPED,TRUE
488,SP_0053,0.948,0.003,0.057,0.014,,17,0,17,0,,SP_0053,0.4903143,0.048100162,0.219317492,0.053192305,,17,2,15,0,,0.458,32,8.33,0,****,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",NUCLEOTIDE METABOLSIM,VIVO,TRUE
1091,SP_0054,0.977,0.004,0.061,0.009,,44,0,44,0,,SP_0054,0.751080114,0.012980511,0.113932046,0.016983987,,45,0,45,0,,0.226,87,11.664,0,****,"phosphoribosylaminoimidazole carboxylase, ATPase subunit",NUCLEOTIDE METABOLSIM,VIVO,TRUE
1424,SP_0199,0.801,0.008,0.091,0.008,,136,0,136,0,,SP_0199,0.445948725,0.031572541,0.177686636,0.015236503,,136,12,124,0,,0.355,270,20.741,0,****,cardiolipin synthetase,CARBOHYDRATE METABOLISM,PHENOTYPED,TRUE
2159,SP_0369,0.755,0.016,0.125,0.013,,95,2,93,0,,SP_0369,0.398614022,0.120471921,0.347090652,0.035061451,,98,18,80,0,,0.357,191,9.55,0,****,penicillin-binding protein 1A,CELL WALL METABOLISM,PHENOTYPED,TRUE
1394,SP_0374,0.799,0.013,0.114,0.015,,61,0,61,0,,SP_0374,0.454350555,0.064567045,0.254100462,0.033081062,,59,7,52,0,,0.345,118,9.527,0,****,hypothetical protein,UNKNOWN,CORE,TRUE
365,SP_0442,0.925,0.004,0.063,0.022,,8,0,8,0,,SP_0442,0.497513832,0.011717541,0.108247592,0.038271303,,8,0,8,0,,0.428,14,9.654,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
845,SP_0457,0.849,0.007,0.082,0.02,uppP,17,0,17,0,,SP_0457,0.087998675,0.024689927,0.157130285,0.038109692,uppP,17,12,5,0,,0.761,32,17.7,0,****,bacitracin resistance protein,CELL WALL METABOLISM,CORE,TRUE
254,SP_0563,0.732,0.002,0.043,0.018,,6,0,6,0,,SP_0563,0.287483362,0.014925613,0.122170428,0.049875868,,6,0,6,0,,0.444,10,8.4,0.00001,****,hypothetical protein,UNKNOWN,NO-PHENOTYPE,TRUE
716,SP_0629,0.919,0.004,0.066,0.023,,8,0,8,0,,SP_0629,0.573218886,0.009070287,0.095238054,0.033671737,,8,0,8,0,,0.346,14,8.443,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
674,SP_0798,0.831,0.012,0.11,0.033,,11,0,11,0,,SP_0798,0.202122075,0.019288507,0.138883069,0.041874821,,11,3,8,0,,0.629,20,11.774,0,****,DNA-binding response regulator CiaR,REGULATOR,PHENOTYPED,TRUE
1334,SP_0799,0.835,0.08,0.283,0.079,,13,3,10,0,,SP_0799,0.154056123,0.046722751,0.216154462,0.062398418,,12,7,5,0,,0.681,23,6.786,0,****,sensor histidine kinase CiaH,REGULATOR,PHENOTYPED,TRUE
1241,SP_0872,0.743,0.006,0.078,0.013,,35,0,35,0,,SP_0872,0.294130817,0.023812505,0.154313009,0.025718835,,36,6,30,0,,0.449,69,15.514,0,****,D-alanyl-D-alanine carboxypeptidase,AMINO ACID METABOLSIM,CORE,TRUE
614,SP_1026,0.857,0.012,0.111,0.032,,12,0,12,0,,SP_1026,0.008559641,0.003475872,0.05895653,0.017019284,,12,6,6,0,,0.849,22,23.334,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
1670,SP_1229,0.705,0.008,0.088,0.023,,15,0,15,0,,SP_1229,0.348748346,0.060021784,0.244993437,0.059419636,,17,4,13,0,,0.356,30,5.598,0,****,formate--tetrahydrofolate ligase,CARBOHYDRATE METABOLISM,PHENOTYPED,TRUE
809,SP_1274,1.001,0.004,0.065,0.016,,16,0,16,0,,SP_1274,0.611311475,0.024272538,0.155796464,0.040226474,,15,2,13,0,,0.39,29,8.986,0,****,licD2 protein,VARIOUS,PHENOTYPED,TRUE
1571,SP_1287,0.527,0.064,0.253,0.126,,4,1,3,0,,SP_1287,0,0,0,0,,6,6,0,0,,0.527,8,4.172,0.00311,****,signal recognition particle protein,TRANSPORT,LIKELYESSENTIAL,TRUE
890,SP_1566,0.848,0.001,0.037,0.013,,8,0,8,0,,SP_1566,0.537735572,0.037806413,0.194438712,0.068744466,,8,0,8,0,,0.31,14,4.428,0.00057,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
476,SP_1604,0.987,0.047,0.216,0.076,,8,1,7,0,,SP_1604,0.450982544,0.003243276,0.056949768,0.021524989,,7,0,7,0,,0.536,13,6.743,0.00001,****,hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
1274,SP_1726,0.67,0.002,0.046,0.019,,6,0,6,0,,SP_1726,0.263771783,0.005408244,0.073540764,0.030022891,,6,0,6,0,,0.406,10,11.484,0,****,3-hydroxy-3-methylglutaryl-CoA reductase,VARIOUS METABOLISM AND BIOSYNTHESIS,ESSENTIAL,TRUE
758,SP_1731,0.874,0.013,0.115,0.023,,24,0,24,0,,SP_1731,0.376684847,0.239590937,0.489480272,0.097896054,,25,13,12,0,,0.498,47,4.942,0.00001,****,conserved hypothetical protein,UNKNOWN,VIVO,TRUE
410,SP_2027,0.965,0.007,0.083,0.015,,29,0,29,0,,SP_2027,0.656228807,0.034561703,0.185907782,0.033941962,,30,0,30,0,,0.309,57,8.28,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
1976,SP_2030,0.906,0.007,0.083,0.01,,63,1,62,0,,SP_2030,0.574163568,0.020576326,0.143444503,0.018072309,,63,1,62,0,,0.332,124,15.867,0,****,transketolase,CARBOHYDRATE METABOLISM,CORE,TRUE
1817,SP_2057,0.947,0.004,0.061,0.006,,91,0,91,0,,SP_2057,0.578222969,0.022193751,0.148975672,0.015616894,,91,4,87,0,,0.369,180,21.87,0,****,conserved hypothetical protein,UNKNOWN,PHENOTYPED,TRUE
1517,SP_2107,0.704,0.05,0.224,0.038,,35,3,32,0,,SP_2107,0.395904535,0.118616262,0.344407116,0.055870212,,38,12,26,0,,0.308,71,4.565,0.00002,****,4-alpha-glucanotransferase,CARBOHYDRATE METABOLISM,CORE,TRUE
1973,SP_2205,0.485,0.041,0.202,0.027,,56,7,49,0,,SP_2205,0.141031421,0.059288117,0.243491514,0.031972002,,58,20,38,0,,0.344,112,8.23,0,****,DHH subfamily 1 protein,UNKNOWN,PHENOTYPED,TRUE
1361,SP_0001,0.1,0.1,X,X,dnaA,,,,,,SP_0001,0.1,0.1,X,X,dnaA,,,,,,,,,,,chromosomal replication initiator protein DnaA,"DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,FALSE
1136,SP_0002,0.1,0.1,X,X,,,,,,,SP_0002,0.1,0.1,X,X,,,,,,,,,,,,"DNA polymerase III, beta subunit","DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,FALSE
248,SP_0003,0.926,0.015,0.124,0.062,,4,0,4,0,,SP_0003,1.019396293,0.008871301,0.094187586,0.047093793,,4,0,4,0,,-0.094,6,1.2,0.27531,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1115,SP_0004,0.982,0.008,0.091,0.02,,20,0,20,0,,SP_0004,1.012208242,0.058140994,0.241124437,0.052617666,,21,0,21,0,,-0.03,39,0.537,0.59407,,GTP-dependent nucleic acid-binding protein,TRANSCRIPTION AND TRANSLATION,PHENOTYPED,FALSE
569,SP_0005,0.1,0.1,X,X,,,,,,,SP_0005,0.1,0.1,X,X,,,,,,,,,,,,peptidyl-tRNA hydrolase,TRANSCRIPTION AND TRANSLATION,ESSENTIAL,FALSE
3509,SP_0006,0.969,0.006,0.078,0.007,,133,0,133,0,,SP_0006,0.924191315,0.119783246,0.346097163,0.029461747,,138,7,131,0,,0.045,269,1.474,0.1416,,transcription-repair coupling factor,"DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,FALSE
266,SP_0007,0.996,0.005,0.067,0.014,,22,0,22,0,,SP_0007,1.0463996,0.030256147,0.173942942,0.036269611,,23,1,22,0,,-0.05,43,1.28,0.20755,,S4 domain protein,UNKNOWN,NO-PHENOTYPE,FALSE
368,SP_0008,0.1,0.1,X,X,,,,,,,SP_0008,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,ESSENTIAL,FALSE
122,SP_0009,0.94,0.015,0.124,0.051,,6,0,6,0,,SP_0009,0.825483228,0.066372401,0.257628417,0.105176361,,6,0,6,0,,0.115,10,0.983,0.34891,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1277,SP_0011,0.505,0.121,0.347,0.201,,3,1,2,0,,SP_0011,0.40477705,0.003344079,0.057828014,0.040890581,,2,0,2,0,,0.101,3,0.491,0.6568,,tRNA(Ile)-lysidine synthetase,TRANSCRIPTION AND TRANSLATION,ESSENTIAL,FALSE
542,SP_0012,0.811,0.034,0.184,0.036,,26,0,26,0,,SP_0012,0.52854355,0.188237438,0.433863386,0.083497048,,27,9,18,0,,0.282,51,3.101,0.00314,,hypoxanthine-guanine phosphoribosyltransferase,NUCLEOTIDE METABOLSIM,CORE,FALSE
1958,SP_0013,0.772,0.059,0.243,0.054,,20,3,17,0,,SP_0013,0.524049523,0.044374378,0.210652269,0.045968094,,21,3,18,0,,0.248,39,3.479,0.00125,,cell division protein FtsH,CELL DIVISION,CORE,FALSE
479,SP_0014,0.1,0.1,X,X,,,,,,,SP_0014,0.1,0.1,X,X,,,,,,,,,,,,transcriptional regulator ComX1,REGULATOR,REMOVE,FALSE
416,SP_0015,0.1,0.1,X,X,,,,,,,SP_0015,0.1,0.1,X,X,,,,,,,,,,,,"IS630-Spn1, transposase Orf1",,REMOVE,FALSE
338,SP_0016,0.1,0.1,X,X,,,,,,,SP_0016,0.1,0.1,X,X,,,,,,,,,,,,"IS630-Spn1, transposase Orf2",,REMOVE,FALSE
746,SP_0017,0.994,0.009,0.093,0.047,,4,0,4,0,M,SP_0017,0.991792613,0.001945801,0.04411123,0.022055615,,4,0,4,0,M,0.003,6,0.051,0.96116,,"IS1167, transposase, degenerate",,REMOVE,FALSE
242,SP_0018,0.994,0.003,0.052,0.017,,10,0,10,0,,SP_0018,0.987469453,0.022054414,0.148507286,0.046962127,,10,0,10,0,,0.007,18,0.14,0.89028,,hypothetical protein,UNKNOWN,VIVO,FALSE
1286,SP_0019,0.9,0.009,0.093,0.013,,48,1,47,0,,SP_0019,0.78534156,0.028010709,0.167364003,0.024156913,,48,0,48,0,,0.115,94,4.159,0.00007,,adenylosuccinate synthetase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
467,SP_0020,1.045,0.008,0.092,0.046,,4,0,4,0,,SP_0020,0.925338539,0.023373211,0.152882997,0.076441499,,4,0,4,0,,0.12,6,1.341,0.22847,,cytidine/deoxycytidylate deaminase family protein,NUCLEOTIDE METABOLSIM,VIVO,FALSE
443,SP_0021,0.995,0.007,0.083,0.025,dut,11,0,11,0,,SP_0021,0.950642592,0.021658165,0.147167132,0.04437256,dut,11,0,11,0,,0.044,20,0.868,0.3955,,putative deoxyuridine 5triphosphate nucleotidohydrolase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
515,SP_0022,1.017,0.009,0.095,0.017,,33,0,33,0,,SP_0022,1.053322133,0.01910549,0.13822261,0.024061468,,33,0,33,0,,-0.036,64,1.227,0.22435,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1391,SP_0023,1.027,0.006,0.074,0.013,radA,31,0,31,0,,SP_0023,1.0172215,0.006672307,0.081684194,0.014670914,radA,31,0,31,0,,0.009,60,0.476,0.63607,,"DNA repair protein RadA, authentic point mutation","DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,FALSE
497,SP_0024,0.1,0.1,X,X,,,,,,,SP_0024,0.1,0.1,X,X,,,,,,,,,,,,conserved hypothetical protein,VARIOUS METABOLISM AND BIOSYNTHESIS,CORE,FALSE
209,SP_0025,0.949,0.006,0.08,0.022,,13,0,13,0,,SP_0025,0.905293438,0.020714019,0.143923655,0.037160928,,15,0,15,0,,0.043,26,1.003,0.3249,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
623,SP_0026,0.976,0.013,0.112,0.017,,41,1,40,0,,SP_0026,0.971512991,0.024178176,0.155493332,0.023993142,,42,0,42,0,,0.005,81,0.159,0.87426,,hypothetical protein,UNKNOWN,VIVO,FALSE
968,SP_0027,0.1,0.1,X,X,,,,,,,SP_0027,0.1,0.1,X,X,,,,,,,,,,,,ribose-phosphate pyrophosphokinase,NUCLEOTIDE METABOLSIM,ESSENTIAL,FALSE
281,SP_0028,1.043,0.014,0.118,0.068,,3,0,3,0,,SP_0028,0.989658629,0.011010949,0.104933067,0.074198884,,2,0,2,0,,0.053,3,0.53,0.63253,,"IS1167, transposase, truncation",,REMOVE,FALSE
233,SP_0029,1.018,0.003,0.058,0.014,,17,0,17,0,,SP_0029,0.990457436,0.007118068,0.084368645,0.020462402,,17,0,17,0,,0.027,32,1.103,0.27842,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
326,SP_0030,1.01,0.002,0.049,0.016,,10,0,10,0,,SP_0030,0.999779912,0.004537483,0.067360842,0.021301369,,10,0,10,0,,0.01,18,0.371,0.71467,,competence-induced protein Ccs16,VARIOUS,VIVO,FALSE
314,SP_0031,0.976,0.006,0.076,0.022,,12,0,12,0,,SP_0031,0.945146483,0.009738905,0.098685889,0.028488162,,12,0,12,0,,0.031,22,0.863,0.39743,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
2633,SP_0032,0.1,0.1,X,X,,,,,,,SP_0032,0.1,0.1,X,X,,,,,,,,,,,,DNA polymerase I,"DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,FALSE
437,SP_0033,1.002,0.002,0.048,0.013,,14,0,14,0,,SP_0033,1.03521461,0.005227728,0.072303027,0.019323797,,14,0,14,0,,-0.033,26,1.432,0.16401,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1010,SP_0034,0.988,0.003,0.055,0.01,,32,0,32,0,,SP_0034,1.000724194,0.016697365,0.129218285,0.022842781,,32,0,32,0,,-0.013,62,0.516,0.60779,,membrane protein,UNKNOWN,NO-PHENOTYPE,FALSE
1169,SP_0035,0.981,0.005,0.074,0.011,,49,0,49,0,,SP_0035,1.064232956,0.015311101,0.123738032,0.0174992,,50,0,50,0,,-0.084,97,4.085,0.00009,,aromatic amino acid aminotransferase,AMINO ACID METABOLSIM,PHENOTYPED,FALSE
770,SP_0036,0.1,0.1,X,X,recO,,,,,,SP_0036,0.1,0.1,X,X,recO,,,,,,,,,,,DNA repair protein,"DNA REPLICATION, REPAIR AND RECOMBINATION",LIKELYESSENTIAL,FALSE
992,SP_0037,0.713,0.018,0.133,0.027,,24,0,24,0,,SP_0037,0.53709619,0.082909708,0.287940459,0.05646977,,26,2,24,0,,0.176,48,2.808,0.00719,,fatty acid/phospholipid synthesis protein PlsX,CELL WALL METABOLISM,PHENOTYPED,FALSE
233,SP_0038,0.1,0.1,X,X,,,,,,,SP_0038,0.1,0.1,X,X,,,,,,,,,,,,putative acyl carrier protein,CELL WALL METABOLISM,VIVO,FALSE
293,SP_0039,1.005,0,0.02,0.014,,2,0,2,0,,SP_0039,0.835156007,0.008539295,0.092408308,0.065342541,,2,0,2,0,,0.17,2,2.543,0.12608,,"IS1381, transposase OrfB, truncation",,REMOVE,FALSE
125,SP_0040,0.9,0.006,0.078,0.035,,5,0,5,0,,SP_0040,0.850024477,0.013567523,0.11647971,0.05209131,,5,0,5,0,,0.049,8,0.788,0.45318,,hypothetical protein,UNKNOWN,VIVO,FALSE
230,SP_0041,1.04,0.001,0.035,0.024,,2,0,2,0,,SP_0041,1.028537484,0.009569153,0.09782205,0.056477587,,3,0,3,0,,0.011,3,0.186,0.8645,,bacteriocin BlpU,CELL WALL METABOLISM,NO-PHENOTYPE,FALSE
2153,SP_0042,0.999,0.005,0.071,0.008,,79,0,79,0,,SP_0042,1.016284716,0.012258912,0.110719973,0.01245697,,79,0,79,0,,-0.018,156,1.184,0.2383,,competence factor transporting permease/ATP-binding protein ComA,TRANSPORT,VIVO,FALSE
1349,SP_0043,1.018,0.004,0.062,0.008,,68,0,68,0,,SP_0043,1.021156263,0.022484702,0.149948997,0.018183987,,68,1,67,0,,-0.003,134,0.173,0.86282,,competence factor transport protein ComB,TRANSPORT,NO-PHENOTYPE,FALSE
3725,SP_0045,0.984,0.006,0.079,0.007,,135,0,135,0,,SP_0045,0.848280882,0.017380663,0.131835742,0.011346614,,135,0,135,0,,0.135,268,10.243,0,,putative phosphoribosylformylglycinamidine synthase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
1442,SP_0046,1.009,0.003,0.059,0.009,,46,0,46,0,,SP_0046,0.876169318,0.015911521,0.126140879,0.018598458,,46,0,46,0,,0.133,90,6.474,0,,amidophosphoribosyltransferase,NUCLEOTIDE METABOLSIM,VIVO,FALSE
545,SP_0048,1.018,0.004,0.064,0.021,purN,9,0,9,0,,SP_0048,0.825713699,0.010905961,0.104431611,0.034810537,purN,9,0,9,0,,0.192,16,4.705,0.00024,,phosphoribosylglycinamide formyltransferase,NUCLEOTIDE METABOLSIM,VIVO,FALSE
509,SP_0049,0.999,0.004,0.064,0.009,,52,0,52,0,,SP_0049,0.964022696,0.021942324,0.148129415,0.02034714,,53,2,51,0,,0.035,103,1.589,0.11512,,putative vanZ protein,UNKNOWN,VIVO,FALSE
1547,SP_0050,0.999,0.005,0.07,0.01,purH,53,0,53,0,,SP_0050,0.88643507,0.013312653,0.115380472,0.015848727,purH,53,0,53,0,,0.113,104,6.092,0,,phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
116,SP_0052,0.1,0.1,X,X,,,,,,,SP_0052,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
227,SP_0055,0.947,0.009,0.097,0.015,,44,0,44,0,,SP_0055,0.904975567,0.054387364,0.233210987,0.035157879,,44,0,44,0,,0.042,86,1.093,0.27766,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1298,SP_0056,0.586,0.06,0.244,0.086,,8,2,6,0,,SP_0056,0.351337189,0.031553928,0.177634253,0.043082635,,17,4,13,0,,0.235,23,2.436,0.02301,,adenylosuccinate lyase,NUCLEOTIDE METABOLSIM,LIKELYESSENTIAL,FALSE
3938,SP_0057,0.991,0.005,0.072,0.005,,241,0,241,0,,SP_0057,0.970792784,0.013951194,0.118115173,0.007608467,,241,0,241,0,,0.02,480,2.234,0.02597,,beta-N-acetylhexosaminidase,CARBOHYDRATE METABOLISM,PHENOTYPED,FALSE
716,SP_0058,0.867,0.003,0.056,0.007,,62,0,62,0,,SP_0058,0.779515435,0.013145516,0.114653897,0.014561059,,62,0,62,0,,0.088,122,5.405,0,,"transcriptional regulator, GntR family",REGULATOR,CORE,FALSE
101,SP_0059,0.809,0.002,0.048,0.019,,6,0,6,0,,SP_0059,0.770788132,0.007152151,0.08457039,0.034525717,,6,0,6,0,,0.038,10,0.96,0.35962,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1787,SP_0060,1.012,0.005,0.072,0.007,,120,0,120,0,,SP_0060,1.042317109,0.012782562,0.113059994,0.010235971,,122,0,122,0,,-0.03,240,2.448,0.01509,,"glycosyl hydrolase, family 35",CARBOHYDRATE METABOLISM,PHENOTYPED,FALSE
476,SP_0061,1.028,0.004,0.066,0.01,,42,0,42,0,,SP_0061,1.022202522,0.015808956,0.12573367,0.019174205,,43,0,43,0,,0.005,83,0.251,0.80244,,"PTS system, IIB component",TRANSPORT,PHENOTYPED,FALSE
905,SP_0062,1.009,0.003,0.055,0.007,,69,0,69,0,,SP_0062,0.996062353,0.012796434,0.113121322,0.013618207,,69,0,69,0,,0.013,136,0.84,0.40242,,"PTS system, IIC component",TRANSPORT,VIVO,FALSE
815,SP_0063,1.009,0.004,0.062,0.008,,61,0,61,0,,SP_0063,0.980527747,0.009786348,0.098925973,0.012463501,,63,0,63,0,,0.028,122,1.925,0.05653,,"PTS system, IID component",TRANSPORT,NO-PHENOTYPE,FALSE
404,SP_0064,0.993,0.004,0.061,0.015,,16,0,16,0,,SP_0064,0.991581938,0.008733576,0.093453602,0.023363401,,16,0,16,0,,0.002,30,0.056,0.9554,,"PTS system, IIA component",TRANSPORT,PHENOTYPED,FALSE
1166,SP_0065,0.998,0.005,0.071,0.008,,89,0,89,0,,SP_0065,1.009045625,0.009750926,0.098746776,0.010408824,,90,0,90,0,,-0.011,177,0.866,0.3876,,sugar isomerase domain protein AgaS,CARBOHYDRATE METABOLISM,PHENOTYPED,FALSE
1037,SP_0066,1.015,0.005,0.07,0.009,,66,0,66,0,,SP_0066,1.001242349,0.014235426,0.119312303,0.014686329,,66,0,66,0,,0.014,130,0.804,0.42277,,aldose 1-epimerase,CARBOHYDRATE METABOLISM,NO-PHENOTYPE,FALSE
260,SP_0067,1.012,0.003,0.051,0.011,,21,0,21,0,,SP_0067,1.044112025,0.010155338,0.100773699,0.021990624,,21,0,21,0,,-0.032,40,1.284,0.20636,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
197,SP_0068,0.992,0.009,0.095,0.021,,21,0,21,0,,SP_0068,1.004100568,0.018269255,0.135163808,0.028817021,,22,0,22,0,,-0.012,41,0.328,0.74463,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
635,SP_0069,1.009,0.005,0.072,0.01,,55,0,55,0,,SP_0069,0.996165977,0.011976512,0.109437253,0.014892524,,54,1,53,0,,0.012,107,0.703,0.48387,,choline binding protein I,VARIOUS,NO-PHENOTYPE,FALSE
101,SP_0070,1,0.001,0.03,0.012,,6,0,6,0,,SP_0070,1.006161841,0.002528456,0.050283759,0.020528259,,6,0,6,0,,-0.006,10,0.246,0.81052,,hypothetical protein,UNKNOWN,VIVO,FALSE
