"","Gene","X","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC90min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC90min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC90min.c","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX90min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX90min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX90min.c","D39.old","TIGR4.new","TAIWAN.19F.new","TAIWAN.19F.old","D39.new","GENE.DESCRIPTION","GENE.CATEGORY","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description"
"16","SP_0117",16,4887.05937492335,-1.46004982185935,0.0764140280225804,-19.1070914548295,2.20416574745126e-81,2.99215500216508e-79,7274.59702309929,6622.32089881741,7647.75094196528,2439.70226255954,2772.37968798323,2565.60543511533,"SPD_0126","SP_RS00595","SPT_RS00835","SPT_0163","SPD_RS00685","pneumococcal surface protein A","VARIOUS","Cell Wall","CELLULAR PROCESSES",NA,NA,"Cellular community",NA,NA,1,"","Pneumococcal surface protein A"
"17","SP_1848",17,3875.35033310073,-2.07925886090404,0.108936913148211,-19.0868164042353,3.24981068821607e-81,4.15211106753253e-79,6396.50366058956,5392.14060981675,7074.65412345913,1570.10541649871,1194.06517112839,1624.63301711183,"SPD_1629","SP_RS09170","SPT_RS08795","SPT_1765","SPD_RS08610","xanthine permease","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Nucleotide metabolism",NA,2,"pbuX","Xanthine permease"
"18","SP_2223",18,1632.12811386854,1.63888079626444,0.0859706626075346,19.0632565407354,5.09994837936207e-81,6.15393771109689e-79,819.355173451883,775.223101827665,765.051952562956,2539.77491547924,2230.09230490156,2663.27123498795,"SPD_2050","SP_RS11350","SPT_RS11085","SPT_2241","SPD_RS10755","conserved hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"19","SP_0010",20,1524.35873187681,1.51126273073834,0.0801400832131714,18.8577634330426,2.53728074621243e-79,2.7554868903867e-77,749.12473001315,808.147635109921,809.34929119145,2377.58820212662,2134.02996846995,2267.91256434975,"SPD_0010","SP_RS00050","SPT_RS00230","SPT_0044","SPD_RS00050","conserved domain protein","PEPTIDOGLYCAN","Cell Wall","METABOLISM",NA,NA,"Antibiotic response/sensing",NA,NA,1,"penP",""
"20","SP_1804",21,1524.18151208904,-1.56813484518415,0.0837080878162417,-18.7333731553702,2.64606846766219e-78,2.73679081512489e-76,2125.64142141231,2309.20703884187,2421.58784502436,747.094115762575,801.55239861214,740.006252880995,"SPD_1590","SP_RS08955","SPT_RS08595","SPT_1728","SPD_RS08405","putative general stress protein 24","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","general stress protein 24"
"21","SP_2229",22,2171.6283368275,1.39586841922811,0.0746787467884689,18.6916422577627,5.79028916706985e-78,5.71659457767078e-76,1262.44542569262,1180.79348907727,1124.04496769805,3133.3092707271,3077.09355085769,3252.08331691229,"SPD_2056","SP_RS11380","SPT_RS11115","SPT_2247","SPD_RS10785","tryptophanyl-tRNA synthetase","AMINO ACID METABOLSIM","Membrane","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"trpS","tryptophanyl-tRNA synthetase II"
"22","SP_2203",23,4735.37560539682,1.26149257602604,0.0675903918363262,18.6637855137875,9.75681035711197e-78,9.21382265028139e-76,2807.51518134474,2800.08189868641,2731.66921542382,6566.8365002133,6389.69476522513,7116.45607148754,"SPD_2030","SP_RS11250","SPT_RS10985","SPT_2221","SPD_RS10655","replicative DNA helicase","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Replication",NA,NA,1,"dnaC","replicative DNA helicase"
"23","SP_0013",24,17808.2093113933,1.10910379064056,0.0605861726156005,18.3062197653161,7.38201478655504e-75,6.68072338183231e-73,11442.0289728486,11240.7349765011,11086.3318530022,25370.1429057111,23293.5671921422,24416.4499681547,"SPD_0013","SP_RS00065","SPT_RS00245","SPT_0047","SPD_RS00065","cell division protein FtsH","PROTEIN TURNOVER","Cell Wall","CELLULAR PROCESSES",NA,NA,"Cell division",NA,NA,1,"FtsH","cell division protein FtsH"
"24","SP_0037",25,1948.37898255893,1.42143425441485,0.0783296794754307,18.1468156634128,1.36063569033413e-73,1.18212028776229e-71,1062.82071070616,1037.12279839107,1064.05898830529,2686.43311372362,2755.8528344036,3083.98544982384,"SPD_0043","SP_RS00225","SPT_RS00380","SPT_0075","SPD_RS00225","fatty acid/phospholipid synthesis protein PlsX","LIPOPROTEIN","Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"plsX","glycerol-3-phosphate acyltransferase PlsX"
"25","SP_0101",27,1212.47798876883,1.40938273337041,0.080012806973286,17.6144643174557,1.90786654851331e-69,1.53477264569293e-67,677.191730369842,677.946071675545,624.777046906057,1758.17298836504,1790.06482834387,1746.7152669526,"SPD_0097","SP_RS00510","SPT_RS00680","SPT_0135","SPD_RS00510","putative transporter","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"CynX","transporter"
"26","SP_0032",28,6094.1892543116,1.10169475241192,0.0625939162624952,17.6006682149721,2.43435047072695e-69,1.88836043657819e-67,3974.61745958113,3865.63952127579,3752.35372632205,8425.08214149805,8483.44052809473,8064.00214909785,"SPD_0038","SP_RS00195","SPT_RS00355","SPT_0070","SPD_RS00200","DNA polymerase I","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Replication",NA,NA,1,"polA","DNA polymerase I"
"27","SP_2219",29,2381.45123493906,1.43756396918564,0.0826498120784586,17.39343300407,9.25226008183793e-68,6.92962375784551e-66,1336.93225964279,1337.93330701531,1154.49938800514,3754.44987505627,3295.04143243908,3409.85114747575,"SPD_2046","SP_RS11330","SPT_RS11065","SPT_2237","SPD_RS10735","conserved hypothetical protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"ecfT","Energy-coupling factor transporter transmembrane protein EcfT"
"28","SP_2222",30,958.480748442067,1.47751620357561,0.0851610953742542,17.349661803696,1.98408831694959e-67,1.4364799414715e-65,510.766861372602,492.371429539193,505.727949341978,1399.29175030819,1365.53127701707,1477.19522307336,"SPD_2049","SP_RS11345","SPT_RS11080","SPT_2240","SPD_RS10750","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","CARBOHYDRATE METABOLISM","Membrane","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"pgsA","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"
"29","SP_0103",31,5545.76552032739,1.06167588180187,0.0612713873705186,17.3274333643163,2.92075460789792e-67,2.04641258334009e-65,3637.08569202407,3600.74668532309,3515.17839241532,7690.06575970854,7375.10840991067,7456.40818258262,"SPD_0099","SP_RS00520","SPT_RS00690","SPT_0137","SPD_RS00520","putative capsular polysaccharide biosynthesis protein","CAPSULE","Capsule","METABOLISM",NA,NA,"Capsule metabolism",NA,NA,1,""," Capsular polysaccharide biosynthesis protein"
"30","SP_0033",32,1511.88691226481,1.35583519399874,0.0786119972450794,17.2471790758835,1.17497774445916e-66,7.97516144051653e-65,864.898551924273,884.472689536969,789.046344320057,2182.61906798997,2237.32280334265,2112.96201647492,"SPD_0039","SP_RS00200","SPT_RS00360","SPT_0071","SPD_RS00205","conserved hypothetical protein","UNKNOWN","Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"",""
"31","SP_0019",33,6805.30070330484,1.14194925031401,0.0668567285912907,17.0805433405961,2.07180565347809e-65,1.36362481192558e-63,4389.18989539523,4031.75875738172,4271.92459398543,9129.0414930711,9115.59267751564,9894.29680247991,"SPD_0024","SP_RS00135","SPT_RS00300","SPT_0059","SPD_RS00140","adenylosuccinate synthetase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"purA","adenylosuccinate synthetase"
"32","SP_2210",34,989.671606725448,1.60505567064463,0.0939953572871059,17.0759037144999,2.24325274837186e-65,1.43304263807755e-63,460.967092388774,463.936605340881,534.336647206214,1456.22963903837,1412.01305270979,1610.54660366866,"SPD_2037","SP_RS11285","SPT_RS11020","SPT_2228","SPD_RS10690","cysteine synthase","AMINO ACID METABOLSIM","Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"",""
"33","SP_0078",35,3654.77572406885,1.15212374808485,0.0685255304624964,16.8130584368902,1.95803183658952e-63,1.2150986140207e-61,2399.3273312978,2192.47460265932,2184.41251111763,5105.43068947219,4937.39750691499,5109.61170295114,"SPD_0076","SP_RS00405","SPT_RS00560","SPT_0111","SPD_RS00405","potassium uptake protein, Trk family","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"TrkG","Trk family potassium uptake protein"
"34","SP_0011",36,1327.50041296333,1.38600389769381,0.0825065363678034,16.7987163043082,2.49382962028833e-63,1.50461053757396e-61,736.781197529979,713.863744347097,738.288977141574,2027.33391690768,1776.63675981041,1972.09788204326,"SPD_0011","SP_RS00055","SPT_RS00235","SPT_0045","SPD_RS00055","tRNA(Ile)-lysidine synthetase","TRANSCRIPTION AND TRANSLATION","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"tilS"," tRNA(Ile)-lysidine synthetase "
"35","SP_2220",37,1342.47284585893,1.40132679815219,0.0842787486995247,16.6272852857401,4.421798236422e-62,2.59571507284016e-60,770.406682570342,727.332871598929,697.683083398787,1992.82610555606,1812.78925201586,2053.79908001363,"SPD_2047","SP_RS11335","SPT_RS11070","SPT_2238","SPD_RS10740","ABC transporter, ATP-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"cbiO2","cobalt transporter ATP-binding subunit"
"36","SP_2217",38,1409.06636962444,1.3903871621041,0.0837158609298066,16.6084078532012,6.05798128479174e-62,3.46261456593886e-60,797.221942792403,818.623622972457,705.98883439163,2144.66047550319,2031.77006194598,1956.13328014101,"SPD_2044","SP_RS11320","SPT_RS11055","SPT_2235","SPD_RS10725","putative rod shpae-determining protein MreD","CELL DIVISION","Membrane","CELLULAR PROCESSES",NA,NA,"Cell division",NA,NA,1,"mreD","rod shpae-determining protein"
"37","SP_0035",39,1751.26128187444,1.47525000905023,0.0889562579370076,16.5839935633859,9.09770024693049e-62,5.06671921444437e-60,951.303279306472,933.859489460353,876.718160355619,2522.52100980343,2335.45099647171,2887.71475584906,"SPD_0041","SP_RS00215","SPT_RS00370","SPT_0073","SPD_RS00215","aromatic amino acid aminotransferase","AMINO ACID METABOLSIM","Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"araT","aromatic amino acid aminotransferase"
"38","SP_1229",40,3295.44835925024,-1.73383561403893,0.108005133721316,-16.0532703798388,5.4229669832678e-58,2.94467107191441e-56,5522.66668859126,4426.85315676879,5301.83771709793,1552.8515108229,1230.21766333384,1738.2634188867,"SPD_1087","SP_RS06025","SPT_RS04935","SPT_0999","SPD_RS05760","formate--tetrahydrofolate ligase","CARBOHYDRATE METABOLISM","Intracellular","METABOLISM",NA,NA,"Cofactor and vitamin metabolism",NA,NA,1,"Fhs","Formate--tetrahydrofolate ligase"
"39","SP_1587",41,1659.99282863912,-1.53093125009114,0.095975874135558,-15.9512092375302,2.79433440940541e-57,1.48031569200697e-55,2321.43538493848,2244.854541972,2849.79545176647,879.949189466312,804.651183658321,859.271220033135,"SPD_1414","SP_RS07820","SPT_RS07585","SPT_1525","SPD_RS07445","oxalate:formate antiporter","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","Oxalate:formate antiporter"
"40","SP_2218",42,1318.61766819224,1.31772538336354,0.0827425415649825,15.9256092264056,4.20894143750945e-57,2.1766240005406e-55,763.170818700897,686.925489843433,795.506372870046,1972.12141874509,1825.18439220058,1868.79751679338,"SPD_2045","SP_RS11325","SPT_RS11060","SPT_2236","SPD_RS10730","rod shape-determining protein MreC","CELL DIVISION","Membrane","CELLULAR PROCESSES",NA,NA,"Cell division",NA,NA,1,"mreC","rod shpae-determining protein"
"41","SP_0118",43,3279.83089376024,1.12194328749209,0.0704808722467054,15.918408097518,4.72239642556634e-57,2.38535931077444e-55,2099.2518002414,2036.83135441593,2042.29188301788,4291.04634157396,4402.34062227441,4807.22336103784,"SPD_0127","SP_RS00600","SPT_RS00840","SPT_0165","SPD_RS00690","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase","TRANSCRIPTION AND TRANSLATION","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"mnmA","tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)"
"42","SP_0079",44,2800.21086837065,1.15744753264994,0.0728076342796942,15.8973374715562,6.61155912083513e-57,3.26370600237589e-55,1789.38657100868,1671.66834892182,1712.83042696845,4144.38814332957,3766.05675945859,3716.93496053678,"SPD_0077","SP_RS00410","SPT_RS00565","SPT_0112","SPD_RS00410","potassium uptake protein, Trk family","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"TrkA","Trk family potassium uptake protein"
"43","SP_0026",45,1559.18867413187,1.33405538228416,0.0858413398567924,15.5409431459217,1.83266333161218e-54,8.84565501391477e-53,901.503510322643,924.880071292465,814.886458520012,2436.25148142438,2078.25183763869,2199.35868559301,"SPD_0031","SP_RS00170","SPT_RS00330","SPT_0065","SPD_RS00170","hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"44","SP_2204",46,1303.36516822972,1.20047563598476,0.0795717193398485,15.0867122885402,1.98068732277669e-51,9.35228883711079e-50,786.580966513807,812.637344193865,762.283368898675,1913.45813944733,1800.39411183113,1744.83707849351,"SPD_2031","SP_RS11255","SPT_RS10990","SPT_2222","SPD_RS10660","ribosomal protein L9","TRANSCRIPTION AND TRANSLATION","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"rplI","50S ribosomal protein L9"
"45","SP_0098",47,1394.88617339004,1.22645764178804,0.0821392282514895,14.9314483212934,2.05748233201693e-50,9.508194947108e-49,779.770741695506,902.431525872745,823.192209512855,1956.59290363686,2023.50663515616,1883.82302446609,"SPD_0094","SP_RS00495","SPT_RS00665","SPT_0132","SPD_RS00495","hypothetical protein","UNKNOWN","Membrane","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"46","SP_0097",48,1085.71482467682,1.21772804547896,0.0826116506787072,14.7403911612291,3.54724200918805e-49,1.60512700915759e-47,648.673913943205,639.035259614697,663.537218205989,1466.58198244385,1491.54853556177,1604.9120382914,"SPD_0093","SP_RS00490","SPT_RS00660","SPT_0131","SPD_RS00490","conserved domain protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"47","SP_2100",49,7236.15999163969,0.994731406273515,0.0678777942620286,14.6547396993125,1.25637192084056e-48,5.56906084095038e-47,4788.86496441929,4959.63196806348,4735.20092714177,9049.67352696237,9584.54214783769,10299.0464154135,"SPD_1926","SP_RS10695","SPT_RS10445","SPT_2109","SPD_RS10135","tyrosyl-tRNA synthetase","AMINO ACID METABOLSIM","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"",""
"48","SP_1527",50,850.208713116424,-1.49811293997447,0.102293036744555,-14.6453071259928,1.44347522294303e-48,6.27045636846454e-47,1227.11738444768,1161.33808304685,1382.4461096976,493.461702328167,435.895763162788,400.993236015463,"SPD_1357","SP_RS07525","SPT_RS09030","SPT_1813","SPD_RS07140","oligopeptide ABC transporter, oligopeptide-binding protein AliB","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"AliB","Oligopeptide ABC transporter, oligopeptide-binding protein"
"49","SP_2030",52,7056.50070859241,0.860407011616163,0.0597138887789556,14.4088256385571,4.55387723004939e-47,1.90211948916678e-45,4940.81810567764,4995.54964073503,5081.27388517688,9082.45594774641,8929.66557474479,9309.24109747374,"SPD_1839","SP_RS10265","SPT_RS07720","SPT_1555","SPD_RS09710","transketolase","CARBOHYDRATE METABOLISM","Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"recP","transketolase"
"50","SP_2209",53,515.194962198085,1.5830216299503,0.110720781935405,14.2974209744458,2.27069726452307e-46,9.30557445008321e-45,265.598767913753,269.38254503664,232.561027799596,693.607008167564,813.947538796864,816.072885474093,"SPD_2036","SP_RS11280","SPT_RS11015","SPT_2227","SPD_RS10685","conserved hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"51","SP_0102",54,1178.81177571167,1.20756572969264,0.0857751652503233,14.0782675984188,5.16607331096553e-45,2.07790948729947e-43,726.991499353671,725.836301904281,670.920107977405,1782.32845631118,1552.49130813666,1614.30298058684,"SPD_0098","SP_RS00515","SPT_RS00685","SPT_0136","SPD_RS00515","glycosyl transferase","CARBOHYDRATE METABOLISM","Cell Wall","METABOLISM",NA,NA,"Cell wall metabolism",NA,NA,1,"ExoA"," glycosyl transferase"
"52","SP_2205",55,3972.85214307213,1.1036094542699,0.0784194120728415,14.0731666445648,5.55262780356347e-45,2.19278319806179e-43,2715.57714629767,2442.40174166554,2378.21336761729,5414.27560106919,5052.05255362368,5834.59244815942,"SPD_2032","SP_RS11260","SPT_RS10995","SPT_2223","SPD_RS10665","DHH subfamily 1 protein","REGULATOR",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","c-di-AMP phosphodiesterase"
"53","SP_0012",56,1777.65101168931,1.19684428029839,0.0864697605855733,13.8411887831464,1.43808443041259e-43,5.5777131836717e-42,1164.12280487839,947.328616712185,1099.12771471952,2555.30343058747,2334.41806812299,2565.60543511533,"SPD_0012","SP_RS00060","SPT_RS00240","SPT_0046","SPD_RS00060","hypoxanthine-guanine phosphoribosyltransferase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"HptA","Hypoxanthine-guanine phosphoribosyltransferase"
"54","SP_0869",57,1683.88092844046,-1.01187757105284,0.0739791075347272,-13.6778829154953,1.37642054197021e-42,5.24488669677069e-41,2225.66659843111,2243.35797227736,2298.84730257458,1069.74215190022,1112.46383157896,1153.20771388054,"SPD_0764","SP_RS04280","SPT_RS06620","SPT_1332","SPD_RS04055","aminotransferase, class-V","AMINO ACID METABOLSIM",NA,"METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"sufS","cysteine desulfurases"
