Gene,Tag1,Tag2,Tag3,Category1,Category2,Category3,No..of.Categories,SequenceDiameter,SequencePrevalence,Essential,ExpressionPlasticity,Location.Tag,Gene.Name,Gene.Description
SPT_0076,METABOLISM,NA,NA,Lipid metabolism,NA,NA,1,0.018746455,371,FALSE,0.486682347,Intracellular,, acyl carrier protein
SPT_0078,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.030694527,279,FALSE,0.673687996,Extracellular,blpU, bacteriocin BlpU
SPT_0080,ENVIRONMENTAL INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Membrane transport,Cellular community,NA,2,0.006361028,371,FALSE,2.515837009,Membrane,comA,Competence-stimulating peptide ABC transporter ATP-binding protein ComA
SPT_0081,ENVIRONMENTAL INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Membrane transport,Cellular community,NA,2,0.015419237,371,FALSE,1.539163053,Membrane,comB,Competence-stimulating peptide ABC transporter permease protein ComB
SPT_0082,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.006238285,371,FALSE,3.395906935,Intracellular,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase
SPT_0084,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.006558279,371,FALSE,1.682906311,Intracellular,,phosphoribosylformylglycinamidine synthase
SPT_0085,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.004229701,371,FALSE,0.784176408,Intracellular,purF,amidophosphoribosyltransferase
SPT_0086,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.004301581,371,FALSE,0.883863579,Intracellular,purM,phosphoribosylaminoimidazole synthetase
SPT_0089,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.007594891,371,FALSE,0.769987593,Intracellular,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
SPT_0090,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.016604782,371,FALSE,1.105527895,Intracellular,purD,phosphoribosylamine--glycine ligase
SPT_0091,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.006555557,371,FALSE,0.860563217,Intracellular,purE,phosphoribosylaminoimidazole carboxylase catalytic subunit
SPT_0092,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.015543778,371,FALSE,0.721744538,Intracellular,purK,phosphoribosylaminoimidazole carboxylase ATPase subunit
SPT_0093,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.01972101,352,FALSE,0.544359828,NA,,
SPT_0094,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.001103995,371,FALSE,0.521324869,Intracellular,purB,adenylosuccinate lyase
SPT_0095,METABOLISM,NA,NA,Cell wall metabolism,NA,NA,1,0.012845811,371,FALSE,1.548380531,Cell Wall,,beta-N-acetylhexosaminidase
SPT_0096,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.004009229,371,FALSE,2.001658789,Intracellular,,GntR family transcriptional regulator
SPT_0098,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,NA,Membrane transport,Carbohydrate metabolism,NA,2,0.002615894,371,FALSE,1.626591973,Membrane,,PTS system transporter subunit IIB
SPT_0099,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,NA,Membrane transport,Carbohydrate metabolism,NA,2,0.00015228,371,FALSE,2.063003364,Membrane,ManY,PTS system transporter subunit IIC
SPT_0101,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,NA,Membrane transport,Carbohydrate metabolism,NA,2,0.008360272,371,FALSE,1.423314908,Membrane,ManX,PTS system transporter subunit IIA
SPT_0102,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.007803785,371,FALSE,1.457363421,Intracellular,,sugar isomerase
SPT_0103,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.005201215,371,FALSE,1.89765882,Intracellular,galM,aldose 1-epimerase
SPT_0104,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.039334237,371,FALSE,0.82318244,NA,,
SPT_0109,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.020375539,370,FALSE,0.529949785,Intracellular,,phosphorylase Pnp/Udp family protein
SPT_0111,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.002232702,371,FALSE,0.439213713,Membrane,TrkG,Trk family potassium uptake protein
SPT_0112,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.003247616,371,FALSE,1.389621537,Membrane,TrkA,Trk family potassium uptake protein
SPT_0118,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Signal transduction,NA,NA,1,0.003532769,371,FALSE,0.505593787,Membrane,,Sensor histidine kinase
SPT_0119,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.626790229,Intracellular,rpsD,30S ribosomal protein S4
SPT_0122,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.000989714,371,FALSE,2.029079228,Membrane,LplB,ABC transporter permease
SPT_0123,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.000801036,371,FALSE,1.441621349,Membrane,UgpE,ABC transporter permease
SPT_0124,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.001172667,371,FALSE,1.189600443,Membrane,UgpB,ABC transporter substrate-binding protein
SPT_0125,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.001952477,371,FALSE,1.157469747,Intracellular,,
SPT_0131,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.020157215,371,FALSE,1.057723335,NA,,
SPT_0132,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.01193315,371,FALSE,1.365030051,Membrane,,
SPT_0134,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.005373046,371,FALSE,1.233612385,Intracellular,,
SPT_0135,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.007934133,370,FALSE,1.477077089,Membrane,CynX,transporter
SPT_0136,METABOLISM,NA,NA,Cell wall metabolism,NA,NA,1,0.012257197,363,FALSE,0.680250797,Cell Wall,ExoA, glycosyl transferase
SPT_0137,METABOLISM,NA,NA,Capsule metabolism,NA,NA,1,0.002525204,371,FALSE,0.504516742,Capsule,, Capsular polysaccharide biosynthesis protein
SPT_0138,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.007202279,371,FALSE,0.936262762,Intracellular,, HAD superfamily hydrolase
SPT_0139,METABOLISM,NA,NA,Amino acid metabolism,NA,NA,1,0.004805724,371,FALSE,0.887617875,Intracellular,sdhA,"L-serine dehydratase, iron-sulfur-dependent, alpha subunit (EC 4.3.1.17)"
SPT_0140,METABOLISM,NA,NA,Amino acid metabolism,NA,NA,1,0.001568045,371,FALSE,0.782560853,Intracellular,sdaB,"L-serine dehydratase, iron-sulfur-dependent, beta subunit (EC 4.3.1.17)"
SPT_0141,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.003228531,371,FALSE,3.051715249,Cell Wall,, LysM domain-containing protein
SPT_0143,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.101720271,147,FALSE,1.413505036,Extracellular,,bacteriocin
SPT_0144,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.008089217,257,FALSE,0.899198363,Membrane,,
SPT_0145,ENVIRONMENTAL INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Membrane transport,Cellular community,NA,2,0.009479044,258,FALSE,1.213009606,Membrane,,amino acid ABC transporter ATP-binding protein
SPT_0880,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.255883446,371,FALSE,1.625959482,Membrane,,"Putative amino acid ABC transporter, substrate-binding component"
SPT_0146,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.255883446,371,FALSE,7.046001575,Membrane,,amino acid ABC transporter substrate-binding protein
SPT_0149,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.405476844,346,FALSE,3.884368123,NA,,
SPT_0150,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.053928306,330,FALSE,1.220285272,NA,,
SPT_0162,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.145350456,358,FALSE,0.904678736,NA,,
SPT_0163,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.369105966,297,FALSE,1.167162739,Cell Wall,,Pneumococcal surface protein A
SPT_0165,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.005331869,371,TRUE,0.936279144,Intracellular,mnmA,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)
SPT_0167,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.002261524,371,FALSE,0.615454879,Intracellular,GidA,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
SPT_0169,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.003280616,371,FALSE,0.753918613,Intracellular,,ribonuclease J
SPT_0170,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.006650258,371,FALSE,0.355128027,NA,,
SPT_0173,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.033125982,333,FALSE,0.868179297,Extracellular,,
SPT_0174,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.052962879,371,FALSE,0.384585303,Intracellular,,
SPT_0175,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.039988838,371,FALSE,0.444756276,Intracellular,,ibosomal-protein-alanine acetyltransferase (EC 2.3.1.128)
SPT_0176,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.008421438,371,FALSE,0.343768947,Intracellular,, DNA-binding/iron metalloprotein/AP endonuclease
SPT_0181,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.198217449,328,FALSE,0.978483361,Intracellular,,
SPT_0188,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.058246283,369,FALSE,1.323909065,Intracellular,,"transcriptional regulator, MutR family"
SPT_0190,GENETIC INFORMATION PROCESSING,NA,NA,"Folding, sorting, degradation",NA,NA,1,0.031213911,323,FALSE,2.025463371,Membrane,,
SPT_0191,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.187495417,371,FALSE,1.859296969,Membrane,,
SPT_0193,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.031587269,366,FALSE,1.303059662,Membrane,,
SPT_0194,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.029721229,335,FALSE,1.613021188,Membrane,,
SPT_0645,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,NA,Membrane transport,Amino acid metabolism,NA,2,0.241980875,371,FALSE,3.573317133,Membrane,tcyK,"putative amino acid ABC transporter, amino acid-binding protein"
SPT_0195,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.241980875,371,FALSE,1.270363687,Membrane,,"ABC transporter, substrate-binding protein"
SPT_0196,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.004748612,371,FALSE,1.545132358,Membrane,,
SPT_0197,GENETIC INFORMATION PROCESSING,NA,NA,"Folding, sorting, degradation",NA,NA,1,0.006645717,371,FALSE,1.202555602,Intracellular,,
SPT_0200,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.010374247,371,FALSE,1.134929044,NA,,
SPT_0201,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.004763902,370,FALSE,1.338617305,Membrane,,
SPT_0202,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Signal transduction,NA,NA,1,0.007402211,370,FALSE,0.615141174,Membrane,,sensor histidine kinase
SPT_0203,ENVIRONMENTAL INFORMATION PROCESSING,GENETIC INFORMATION PROCESSING,NA,Signal transduction,Transcription,NA,2,0.00982768,370,FALSE,0.795736688,Intracellular,,DNA-binding response regulator
SPT_0204,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.005389275,371,FALSE,0.820426857,NA,,
SPT_0205,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.003965502,371,FALSE,1.146919632,Intracellular,nrdI,flavoprotein NrdI
SPT_0207,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.002025486,371,FALSE,1.796411415,Membrane,,
SPT_0208,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.006276093,371,FALSE,0.697035884,NA,,
SPT_0209,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.011823615,371,FALSE,0.497241914,Intracellular,,
SPT_0211,GENETIC INFORMATION PROCESSING,NA,NA,DNA repair and editing,NA,NA,1,0.001608156,370,FALSE,1.037425667,Intracellular,mutL,DNA mismatch repair protein MutL
SPT_0212,METABOLISM,NA,NA,Cofactor and vitamin metabolism,NA,NA,1,0.002303102,371,FALSE,1.045656923,Intracellular,ribH,"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78) ribH"
SPT_0214,METABOLISM,NA,NA,Cofactor and vitamin metabolism,NA,NA,1,0.003067785,371,FALSE,0.818120635,Intracellular,ribE,riboflavin synthase subunit alpha
SPT_0215,METABOLISM,NA,NA,Cofactor and vitamin metabolism,NA,NA,1,0.005077938,370,FALSE,1.46070503,Intracellular,ribD,riboflavin biosynthesis protein RibD
SPT_0216,GENETIC INFORMATION PROCESSING,NA,NA,DNA repair and editing,NA,NA,1,0.004499763,371,TRUE,0.866223064,Intracellular,ruvA,Holliday junction DNA helicase RuvA
SPT_0217,GENETIC INFORMATION PROCESSING,NA,NA,DNA repair and editing,NA,NA,1,0.013445402,371,FALSE,0.777098739,Intracellular,,DNA-3-methyladenine glycosylase I
SPT_0218,GENETIC INFORMATION PROCESSING,NA,NA,"Folding, sorting, degradation",NA,NA,1,0.016461278,371,FALSE,0.628782225,Membrane,,
SPT_0219,METABOLISM,NA,NA,Amino acid metabolism,NA,NA,1,0.014940982,371,FALSE,0.721530321,Intracellular,,methylcrotonoyl-CoA carboxylase
SPT_0220,CELLULAR PROCESSES,NA,NA,Structural proteins,NA,NA,1,0.003088185,371,FALSE,0.453782792,Membrane,,
SPT_0221,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0,371,TRUE,0.616867362,Membrane,,Magnesium and cobalt transport protein CorA
SPT_0226,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.303835255,145,FALSE,0.697471938,NA,,
SPT_0227,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.102143508,90,FALSE,1.555478476,NA,,
SPT_0228,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.280970186,126,FALSE,1.530232656,NA,,
SPT_0238,GENETIC INFORMATION PROCESSING,NA,NA,DNA repair and editing,NA,NA,1,0.004703056,371,FALSE,0.912768084,Intracellular,uvrA,Excinuclease ABC subunit A
SPT_0239,GENETIC INFORMATION PROCESSING,NA,NA,"Folding, sorting, degradation",NA,NA,1,0.005647448,371,FALSE,0.325057267,Intracellular,,peptidase M24 family protein
SPT_0240,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.248304999,371,FALSE,0.737223194,Intracellular,spxA, transcriptional regulator Spx
SPT_0869,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.248304999,371,TRUE,0.462670691,Intracellular,SpxA,Transcriptional regulator
SPT_0241,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.01259534,371,FALSE,0.646216702,NA,,
SPT_0242,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,371,FALSE,0.817826379,NA,,
SPT_0244,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.000588368,371,FALSE,1.173032428,NA,,
SPT_0245,METABOLISM,NA,NA,Cofactor and vitamin metabolism,NA,NA,1,0.024024319,371,FALSE,0.593070825,Intracellular,,Dihydrofolate synthase (EC 6.3.2.12)
SPT_0246,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.005437219,371,FALSE,0.606146951,NA,,
SPT_0247,METABOLISM,NA,NA,Lipid metabolism,NA,NA,1,0.0011771,371,FALSE,0.433340422,Membrane,, Cardiolipin synthetase (EC 2.7.8.-)
SPT_0248,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.004184517,371,FALSE,0.695932643,Intracellular,,Competence-induced protein Ccs4
SPT_0249,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.002572296,371,FALSE,3.081143054,Intracellular,nrdD,anaerobic ribonucleoside triphosphate reductase
SPT_0251,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.012442938,370,FALSE,1.923352815,NA,,
SPT_0252,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.066386398,371,FALSE,1.732896116,Intracellular,,acetyltransferase
SPT_0253,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.008664121,371,FALSE,2.190776615,Intracellular,,Anaerobic ribonucleoside-triphosphate reductase-activating protein (EC 1.97.1.-)
SPT_0254,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.027750576,371,FALSE,2.386068883,Intracellular,,
SPT_0255,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.00123222,371,FALSE,0.687803384,Intracellular,rpsJ,30S ribosomal protein S10
SPT_0256,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.000111681,371,FALSE,0.923393947,Intracellular,rplC,50S ribosomal protein L3
SPT_0257,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.003020414,371,FALSE,3.960050222,Intracellular,rplD,50S ribosomal protein L4
SPT_0258,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,2.598246469,Intracellular,rplW,50S ribosomal protein L23
SPT_0259,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.000410615,371,FALSE,0.769175926,Intracellular,rplB,50S ribosomal protein L2
SPT_0260,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.748582721,Intracellular,rpsS,30S ribosomal protein S19
SPT_0261,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.732137395,Intracellular,rplV,50S ribosomal protein L22
SPT_0262,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.632895391,Intracellular,rpsC,30S ribosomal protein S3
SPT_0263,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.673460584,Intracellular,rplP,50S ribosomal protein L16
SPT_0264,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.000603077,371,FALSE,0.57074387,Intracellular,rpmC,50S ribosomal protein L29
SPT_0265,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.715009277,Intracellular,rpsQ,30S ribosomal protein S17
SPT_0266,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.697076289,Intracellular,rplN,50S ribosomal protein L14
SPT_0267,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.701393434,Intracellular,rplX,50S ribosomal protein L24
SPT_0268,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.782874437,Intracellular,rplE,50S ribosomal protein L5
SPT_0269,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.881655168,Intracellular,rpsN,30S ribosomal protein S14
SPT_0270,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.001361086,371,FALSE,1.198144639,Intracellular,rpsH,30S ribosomal protein S8
SPT_0271,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.002621899,371,FALSE,0.603124621,Intracellular,rplF,50S ribosomal protein L6
SPT_0272,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.63722837,Intracellular,rplR,50S ribosomal protein L18
SPT_0273,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.584072623,Intracellular,rpsE,30S ribosomal protein S5
SPT_0274,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.004206993,371,FALSE,0.694700057,Intracellular,rpmD,50S ribosomal protein L30
SPT_0275,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.994569355,Intracellular,rplO,50S ribosomal protein L15
SPT_0276,ENVIRONMENTAL INFORMATION PROCESSING,GENETIC INFORMATION PROCESSING,NA,Membrane transport,"Folding, sorting, degradation",NA,2,0.000107413,371,TRUE,0.803602739,Membrane,secY,preprotein translocase subunit SecY
SPT_0277,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.004722382,371,TRUE,0.656220863,Intracellular,adk,adenylate kinase (EC 2.7.4.3)
SPT_0278,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,TRUE,0.67227473,Intracellular,infA,translation initiation factor IF-1
SPT_0279,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,245,FALSE,0.7380696,Intracellular,rpmJ,50S ribosomal protein L36
SPT_0280,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,370,FALSE,0.503464998,Intracellular,rpsM,30S ribosomal protein S13
SPT_0281,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.439755063,Intracellular,rpsK,30S ribosomal protein S11
SPT_0282,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.000100448,371,TRUE,0.73191061,Intracellular,rpoA,DNA-directed RNA polymerase subunit alpha
SPT_0283,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.001430111,371,FALSE,1.390145873,Intracellular,rplQ,50S ribosomal protein L17
