Gene,start,end,strand,na_length,gene.name,product
Rv0033,36607,36870,+,264,acpA,Acyl carrier protein @ Acyl carrier protein associated with serine palmitoyltransferase
Rv0034,36867,37262,+,396,,Ketosteroid isomerase-related protein
Rv0035,37259,38947,+,1689,fadD34,"Long-chain fatty-acid-AMP ligase, Mycobacterial subgroup FadD34 @ FIG022758: Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
Rv0036c,39056,39829,-,774,,hypothetical protein
Rv0037c,39877,41178,-,1302,,putative membrane protein
Rv0038,41304,41912,+,609,,UPF0301 protein YqgE
Rv0039c,42004,42351,-,348,,Putative transmembrane protein
Rv0040c,42433,43365,-,933,mtc28,Proline-rich 28 kDa antigen precursor
Rv0041,43562,46471,+,2910,leuS,Leucyl-tRNA synthetase (EC 6.1.1.4)
Rv0042c,46581,47084,-,504,,"Transcriptional regulator, MarR family"
Rv0043c,47366,48100,-,735,,"Transcriptional regulator, GntR family"
Rv0044c,48233,49027,-,795,,Putative oxidoreductase
Rv0045c,49043,49939,-,897,,"Hydrolase Rv0045c, alpha/beta fold family"
Rv0046c,50021,51124,-,1104,ino1,Inositol-1-phosphate synthase (EC 5.5.1.4)
Rv0047c,51185,51727,-,543,,"Transcriptional regulator, PadR family"
Rv0048c,51828,52697,-,870,,hypothetical protein Rv0048c
Rv0049,52810,53244,+,435,,hypothetical protein
Rv0050,53354,55699,+,2346,ponA1,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-) => PonA1
Rv0051,55696,57378,+,1683,,hypothetical protein Rv0051
Rv0052,57335,57973,+,639,,Intracellular protease
Rv0053,58192,58482,+,291,rpsF,SSU ribosomal protein S6p
Rv0054,58586,59080,+,495,ssb,Single-stranded DNA-binding protein
Rv0055,59182,59376,+,195,rpsR,"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-dependent"
Rv0056,59397,59867,+,471,rplI,LSU ribosomal protein L9p
Rv0058,60396,63020,+,2625,dnaB,Replicative DNA helicase (DnaB) (EC 3.6.4.12) @ intein-containing
Rv0059,63200,63892,+,693,,hypothetical protein
Rv0060,63909,64967,+,1059,,ADP-ribose 1-phosphate phophatase related protein
Rv0062,65771,66694,+,924,celA1,Endoglucanase A precursor (EC 3.2.1.4)
Rv0063,67067,68362,+,1296,,Putative oxidoreductase
Rv0064,68689,71559,+,2871,,putative membrane protein
Rv0065,71821,72222,+,402,,"toxin VapC1 @ Toxin 1, PIN domain"
Rv0066c,72274,74511,-,2238,icd2,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42)
Rv0067c,74629,75141,-,513,,"Transcriptional regulator, AcrR family"
Rv0068,75301,76212,+,912,,Citronellol dehydrogenase; Citronellal dehydrogenase
Rv0069c,76237,77622,-,1386,sdaA,"L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)"
Rv0070c,77619,78896,-,1278,glyA,Serine hydroxymethyltransferase (EC 2.1.2.1)
Rv0071,79486,80193,+,708,,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)
Rv0072,80624,81673,+,1050,,"ABC-type antimicrobial peptide transport system, permease component"
Rv0073,81676,82668,+,993,,"ABC transporter, ATP-binding protein"
Rv0074,82748,83983,+,1236,,Xaa-Pro dipeptidase (EC 3.4.13.9)
Rv0075,83996,85168,+,1173,,"Cystathionine beta-lyase, type II (EC 4.4.1.8)"
Rv0076c,85183,85407,-,225,,hypothetical protein
Rv0077c,85636,86394,-,759,,"Hydrolase, alpha/beta fold family"
Rv0078,86528,87133,+,606,,"Transcriptional regulator, AcrR family"
Rv0078A,87208,87792,-,585,,hypothetical protein
Rv0079,88204,89025,+,822,,Ribosome hibernation promoting factor Hpf
Rv0080,89022,89480,+,459,,Putative DNA-binding protein
Rv0081,89575,89919,+,345,,"Transcriptional regulator, ArsR family"
Rv0082,89924,90403,+,480,,Formate hydrogenlyase subunit 7-like protein
Rv0083,90400,92322,+,1923,,Hydrogenase-4 component B
Rv0084,92319,93278,+,960,hycD,Hydrogenase-4 component C
Rv0085,93289,93951,+,663,hycP,Hydrogenase-4 component E
Rv0086,93951,95417,+,1467,hycQ,Hydrogenase-4 component F
Rv0087,95837,96892,+,1056,hycE,Hydrogenase-4 component G
Rv0088,97023,97601,+,579,,hypothetical protein
Rv0089,97758,98351,+,594,,hypothetical protein
Rv0090,98480,99250,+,771,,putative membrane protein
Rv0091,99684,100451,+,768,mtn,5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)
Rv0092,100718,102868,+,2151,ctpA,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
Rv0093c,102815,103663,-,849,,Integral membrane protein
Rv0094c,103710,104663,-,954,,13E12 repeat family protein
Rv0095c,104805,105101,-,297,,13E12 repeat family protein
Rv0096,105324,106715,+,1392,PPE1,"PPE family protein, PPW subgroup => PPE1"
Rv0097,106734,107603,+,870,,putative oxidoreductase Rv0097
Rv0098,107633,108151,+,519,,hypothetical protein Rv0098
Rv0099,108180,109778,+,1599,fadD10,"Polyketide synthase modules and related proteins @ Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD10"
Rv0100,109771,110019,+,249,,pp-binding family protein Rv0100
Rv0101,110001,117539,+,7539,nrp,Nonribosomal peptide synthetase in FadD10 cluster
Rv0102,117777,119699,+,1923,,Copper resistance protein CopD / Cytochrome c oxidase caa3-type assembly factor CtaG_BS (unrelated to Cox11-CtaG family)
Rv0103c,119915,122158,-,2244,ctpB,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
Rv0104,122344,123831,+,1488,,hypothetical protein
Rv0105c,123980,124264,-,285,rpmB,"LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent"
Rv0106,124386,125570,+,1185,,"Metal chaperone, involved in Zn homeostasis"
Rv0107c,125643,130541,-,4899,ctpI,Probable cation-transporting ATPase I (EC 3.6.3.-)
Rv0108c,130895,131137,-,243,,hypothetical protein
Rv0109,131382,132872,+,1491,PE_PGRS1,PE_PGRS family protein => PE_PGRS1
Rv0110,133131,133769,+,639,,FIG056164: rhomboid family serine protease
Rv0111,133992,136007,+,2016,,Acyltransferase family protein
Rv0112,136289,137245,+,957,gca,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)"
Rv0113,137319,137909,+,591,gmhA,D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)
Rv0115,138513,139673,+,1161,hddA,D-glycero-alpha-D-manno-heptose 7-phosphate kinase (EC 2.7.1.168)
Rv0116c,140267,141022,-,756,,"L,D-transpeptidase"
Rv0117,141200,142144,+,945,oxyS,"Transcriptional regulator OxyS, LysR family"
Rv0118c,142128,143846,-,1719,oxcA,Oxalyl-CoA decarboxylase (EC 4.1.1.8)
Rv0119,143998,145626,+,1629,fadD7,"CoA ligase @ Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD7"
Rv0120c,145627,147771,-,2145,fusA2,Elongation factor G-like protein TM_1651
Rv0121c,147908,148342,-,435,,hypothetical protein
Rv0123,148856,149224,+,369,,hypothetical protein
Rv0124,149533,150996,+,1464,PE_PGRS2,PE_PGRS family protein => PE_PGRS2
Rv0125,151148,152215,+,1068,pepA,Periplasmic serine protease
Rv0126,152324,154129,+,1806,treS,Trehalose synthase (EC 5.4.99.16) @ Alpha-amylase (EC 3.2.1.1)
Rv0127,154232,155599,+,1368,,Maltokinase (EC 2.7.1.175)
Rv0128,155667,156446,+,780,,Putative transmembrane protein
Rv0129c,156578,157600,-,1023,fbpC,Antigen 85-C precursor @ Mycolyl transferase 85C (EC 2.3.1.122)
Rv0130,157847,158302,+,456,,Nodulation protein N-related dehydratase
Rv0131c,158315,159652,-,1338,fadE1,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE1"
Rv0132c,159700,160782,-,1083,fgd2,hypothetical protein
Rv0133,160869,161474,+,606,,"Acetyltransferase, GNAT family"
Rv0134,161771,162673,+,903,ephF,Epoxide hydrolase (EC 3.3.2.9)
Rv0135c,162644,163249,-,606,,"Transcriptional regulator, AcrR family"
Rv0136,163366,164691,+,1326,cyp138,Cytochrome P450
Rv0137c,164712,165260,-,549,msrA,Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)
Rv0138,165323,165826,+,504,,hypothetical protein
Rv0139,165827,166849,+,1023,,Hopanoid-associated sugar epimerase HpnA
Rv0140,166910,167290,+,381,,COGs COG2343
Rv0141c,167271,167681,-,411,,hypothetical protein
Rv0142,167726,168637,+,912,,hypothetical protein
Rv0143c,168704,170182,-,1479,,Chloride channel protein
Rv0144,170482,171126,+,645,,"Transcriptional regulator, AcrR family"
Rv0145,171215,172168,+,954,,O-methyltransferase
Rv0146,172211,173143,+,933,,O-methyltransferase
Rv0147,173238,174758,+,1521,,Aldehyde dehydrogenase (EC 1.2.1.3)
Rv0148,174833,175693,+,861,,Short-chain dehydrogenase/reductase SDR
Rv0149,175700,176668,+,969,,Quinone oxidoreductase (EC 1.6.5.5)
Rv0150c,176665,176988,-,324,,hypothetical protein
Rv0151c,177543,179225,-,1683,PE1,PE family protein => PE1
Rv0152c,179319,180791,-,1473,PE2,PE family protein => PE2
Rv0153c,181155,181985,-,831,ptbB,Protein tyrosine phosphatase (EC 3.1.3.48)
Rv0154c,181987,183210,-,1224,fadE2,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE2"
Rv0155,183622,184722,+,1101,pntAa,NAD(P) transhydrogenase N-domain of subunit alpha (EC 1.6.1.2)
Rv0156,184723,185055,+,333,pntAb,NAD(P) transhydrogenase C-domain of subunit alpha (EC 1.6.1.2)
Rv0157,185052,186479,+,1428,pntB,NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)
Rv0158,186785,187429,+,645,,"Transcriptional regulator, AcrR family"
Rv0159c,187433,188839,-,1407,PE3,PE family protein => PE3
Rv0160c,188931,190439,-,1509,PE4,PE family protein => PE4
Rv0161,190583,191956,+,1374,,FAD/FMN-containing dehydrogenases
Rv0162c,191984,193135,-,1152,adhE1,Alcohol dehydrogenase (EC 1.1.1.1)
Rv0163,193117,193572,+,456,,Propionyl-CoA thioesterase activity
Rv0164,193671,194111,+,441,TB18.5,Cyclase/dehydrase family protein
Rv0165c,194144,194758,-,615,,"Transcriptional regulator, GntR family"
Rv0166,194993,196657,+,1665,fadD5,"CoA ligase @ Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD5"
Rv0167,196861,197658,+,798,yrbE1A,Conserved hypothetical integral membrane protein YrbEa
Rv0168,197633,198529,+,897,yrbE1B,Conserved hypothetical integral membrane protein YrbEb
Rv0169,198534,199898,+,1365,mce1A,MCE-family protein MceA
Rv0170,199895,200935,+,1041,mce1B,MCE-family protein MceB
Rv0171,200974,202479,+,1506,mce1C,MCE-family protein MceC
Rv0172,202476,204068,+,1593,mce1D,MCE-family protein MceD
Rv0173,204065,205237,+,1173,lprK,MCE-family lipoprotein MceE
Rv0174,205231,206778,+,1548,mce1F,MCE-family protein MceF
Rv0175,206814,207455,+,642,,FIG033430: Probable conserved MCE associated membrane protein
Rv0176,207458,208420,+,963,,FIG033285: Conserved MCE associated transmembrane protein
Rv0177,208636,208971,+,336,,FIG00821219: MCE associated membrane protein
Rv0178,208938,209672,+,735,,FIG00820195: MCE associated membrane protein
Rv0179c,209703,210812,-,1110,lprO,Lipoprotein LprO
Rv0180c,210892,212250,-,1359,,putative membrane protein
Rv0181c,212277,213011,-,735,,Pirin
Rv0182c,213028,214026,-,999,sigG,RNA polymerase ECF-type sigma factor
Rv0183,214088,214927,+,840,,Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23)
Rv0184,214969,215718,+,750,,hypothetical protein Rv0184
Rv0185,215715,216224,+,510,,hypothetical protein Rv0185
Rv0186,216269,218344,+,2076,bglS,beta-glucosidase (EC 3.2.1.21)
Rv0187,218705,219367,+,663,,O-methyltransferase Rv0190
Rv0188,219525,219917,+,393,,hypothetical protein
Rv0189c,219996,221723,-,1728,ilvD,Dihydroxy-acid dehydratase (EC 4.2.1.9)
Rv0190,221871,222161,+,291,,Metal-sensitive transcriptional repressor
Rv0191,222289,223530,+,1242,,hypothetical protein
Rv0192,223798,224664,+,867,,"L,D-transpeptidase"
Rv0193c,224724,226550,-,1827,,hypothetical protein
Rv0194,226878,230462,+,3585,,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1 / Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2"
Rv0195,230836,231534,+,699,,"Transcriptional regulator, LuxR family"
Rv0196,231647,232231,+,585,,"Transcriptional regulator, AcrR family"
Rv0197,232228,234519,+,2292,,"Molybdopterin-binding oxidoreductase, [4Fe-4S] cluster binding and molybdopterin cofactor binding site containing"
Rv0198c,234516,236507,-,1992,,Metallopeptidase
Rv0199,236550,237209,+,660,,FIG01121868: conserved membrane protein
Rv0200,237206,237895,+,690,,FIG01121868: membrane protein
Rv0201c,237892,238395,-,504,,"FIG00821048: hypothetical protein, Rv0201c"
Rv0202c,238392,241292,-,2901,mmpL11,Transmembrane heme transport protein MmpL11
Rv0203,241514,241924,+,411,,Mycobacterial hemophore asspociated with MmpL11/MmpL3 transport system
Rv0204c,241976,243100,-,1125,,"FIG01121868: Possible membrane protein, Rv0204c"
Rv0205,243384,244487,+,1104,,"FIG01121868: Possible membrane protein, Rv0205"
Rv0206c,244484,247318,-,2835,mmpL3,Transmembrane heme transport protein MmpL3
Rv0207c,247384,248118,-,735,,"FIG00820733: hypothetical protein, Rv0207c"
Rv0208c,248115,248708,-,594,trmB,tRNA (guanine(46)-N(7))-methyltransferase (EC 2.1.1.33)
Rv0209,249038,250123,+,1086,,FIG032248: hypothetical protein
Rv0210,250120,251598,+,1479,,FIG033897: hypothetical protein
Rv0211,251782,253602,+,1821,pckA,Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)
Rv0212c,253669,254640,-,972,nadR,"Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1) / Ribosylnicotinamide kinase (EC 2.7.1.22)"
Rv0213c,254637,255953,-,1317,,POSSIBLE METHYLTRANSFERASE CLUSTERED WITH NadR
Rv0214,256160,257677,+,1518,fadD4,"CoA ligase @ Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD4"
Rv0215c,257783,258856,-,1074,fadE3,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE3"
Rv0216,258913,259926,+,1014,,2-methylfumaryl-CoA hydratase (EC 4.2.1.148)
Rv0217c,259923,260831,-,909,lipW,Esterase LipW
Rv0218,260924,262252,+,1329,,"oxidoreductase, molybdopterin binding protein"
Rv0219,262254,262802,+,549,,Putative transmembrane protein
Rv0220,262812,264023,+,1212,lipC,Esterase LipC
Rv0221,264067,265476,+,1410,,Diacyglycerol O-acyltransferase (EC 2.3.1.20)
Rv0222,265507,266295,+,789,echA1,Enoyl-CoA hydratase (EC 4.2.1.17)
Rv0223c,266301,267764,-,1464,,Aldehyde dehydrogenase (EC 1.2.1.3)
Rv0224c,267863,268627,-,765,,SAM-dependent methyltransferase
Rv0225,268663,269817,+,1155,,Glycosyltransferase
Rv0226c,269834,271528,-,1695,,Membrane protein
Rv0227c,271574,272839,-,1266,,FIG01123246: hypothetical protein
Rv0228,273115,274278,+,1164,,Uncharacterized acyltransferase Rv0228
Rv0229c,274306,274719,-,414,,"Toxin 1, PIN domain"
Rv0230c,274983,275963,-,981,php,"Aryldialkylphosphatase (phosphotriesterase) (paraoxonase), putative (php) (EC 3.1.8.1)"
Rv0231,276058,277764,+,1707,fadE4,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE4"
Rv0232,277899,278588,+,690,,"Transcriptional regulator, AcrR family"
Rv0233,278585,279529,+,945,nrdB,Ribonucleoside-diphosphate reductase (EC 1.17.4.1)
Rv0234c,279605,280978,-,1374,gabD1,Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24); Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.79)
Rv0235c,281166,282614,-,1449,,putative membrane protein
Rv0236c,282649,286851,-,4203,,Arabinofuranosyltransferase AftD
Rv0236A,286898,287071,-,174,,FIG01361580: secreted protein
Rv0237,287186,288352,+,1167,lpqI,beta-glycosyl hydrolase
Rv0238,288476,289042,+,567,,"Transcriptional regulator, AcrR family"
Rv0239,289104,289337,+,234,,"antitoxin VapB24 @ Antitoxin to Toxin 1, PIN domain"
Rv0240,289345,289782,+,438,,"toxin VapC24 @ Toxin 1, PIN domain"
Rv0241c,289812,290654,-,843,,Probable (3R)-hydroxyacyl-CoA dehydratase HtdX
Rv0242c,290665,292029,-,1365,fabG,"3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35), FabG4"
Rv0243,292171,293493,+,1323,fadA2,"3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9), FadA2"
Rv0244c,293798,295633,-,1836,fadE5,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE5"
Rv0245,296005,296493,+,489,,NADH-FMN oxidoreductase
Rv0246,296809,298119,+,1311,,hypothetical protein
Rv0247c,298116,298844,-,729,,Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1)
Rv0248c,298863,300803,-,1941,sdhA,Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)
Rv0249c,300834,301655,-,822,,putative succinate dehydrogenase [membrane anchor subunit] (succinic dehydrogenase)
Rv0250c,301735,302028,-,294,,hypothetical protein Rv0250c
Rv0251c,302173,302652,-,480,hsp,Heat shock protein Hsp20
Rv0252,302917,305427,+,2511,nirB,Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4)
Rv0253,305453,305809,+,357,nirD,Nitrite reductase [NAD(P)H] small subunit (EC 1.7.1.4)
Rv0254c,305825,306349,-,525,cobU,Adenosylcobinamide kinase (EC 2.7.1.156) / Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)
Rv0255c,306374,307858,-,1485,cobQ1,Cobyric acid synthase (EC 6.3.5.10)
Rv0256c,307877,309547,-,1671,PPE2,"PPE family protein, PPW subgroup => PPE2"
Rv0258c,310294,310749,-,456,,hypothetical protein Rv0258c
Rv0259c,310774,311517,-,744,,Sirohydrochlorin ferrochelatase SirB (EC 4.99.1.4)
Rv0260c,311514,312659,-,1146,,"Putative uroporphyrinogen-III synthase (EC 4.2.1.75), related to YjjA (in BS) / Response regulator"
Rv0261c,312759,314168,-,1410,narK3,"Uncharacterized MFS-type transporter MSMEG_0433, NarK/U family"
Rv0262c,314309,314854,-,546,aac,Aminoglycoside 2'-N-acetyltransferase (EC 2.3.1.59) => AAC(2')-I
Rv0263c,314864,315766,-,903,,Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)
Rv0264c,315783,316415,-,633,,Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)
Rv0265c,316511,317473,-,963,,"ABC transporter, periplasmic iron-transport lipoprotein"
Rv0266c,317525,321154,-,3630,oplA,"5-oxoprolinase (EC 3.5.2.9), HyuA-like domain / 5-oxoprolinase (EC 3.5.2.9), HyuB-like domain"
Rv0267,321331,322722,+,1392,narU,Nitrate/nitrite transporter NarK/U
Rv0268c,322764,322967,-,204,,hypothetical protein
Rv0269c,323338,324531,-,1194,,ATP-dependent DNA ligase (EC 6.5.1.1)
Rv0270,324567,326249,+,1683,fadD2,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) @ Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD2"
Rv0271c,326266,328461,-,2196,fadE6,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE6"
Rv0272c,328575,329708,-,1134,,hypothetical protein Rv0272c
Rv0273c,329705,330325,-,621,,"Transcriptional regulator, AcrR family"
Rv0274,330380,331003,+,624,,Glyoxalase family protein
Rv0275c,330933,331658,-,726,,"Transcriptional regulator, AcrR family"
Rv0276,331748,332668,+,921,,hypothetical protein
Rv0277c,332708,333136,-,429,,"toxin VapC25 @ Toxin 1, PIN domain"
Rv0278c,333437,336310,-,2874,PE_PGRS3,PE_PGRS family protein => PE_PGRS3
Rv0279c,336560,339073,-,2514,PE_PGRS4,PE_PGRS family protein => PE_PGRS4
Rv0280,339364,340974,+,1611,PPE3,"PPE family protein, PPW subgroup => PPE3"
Rv0281,340998,341906,+,909,,O-methyltransferase
Rv0282,342163,344025,+,1863,,"AAA+ family protein ATPase EccA3, component of Type VII secretion system ESX-3"
Rv0283,344022,345638,+,1617,,"Membrane protein EccB3, component of Type VII secretion system ESX-3"
Rv0284,345800,349627,+,3828,,"FtsK/SpoIIIE family protein EccC3, component of Type VII secretion system ESX-3"
Rv0285,349624,349932,+,309,PE5,"PE family protein => PE5, component of Type VII secretion system ESX-3"
Rv0286,349935,351476,+,1542,PPE4,"PPE family protein, PPW subgroup => PPE4, component of Type VII secretion system ESX-3"
Rv0287,351525,351818,+,294,esxG,ESAT-6-like protein EsxG
Rv0288,351848,352138,+,291,esxH,"ESAT-6-like protein EsxH, 10 kDa antigen CFP7"
Rv0289,352149,353036,+,888,,"Protein EspG3, component of Type VII secretion system ESX-3"
Rv0290,353083,354501,+,1419,,"Integral membrane protein EccD3, component of Type VII secretion system ESX-3"
Rv0291,354483,355883,+,1401,mycP3,"Serine protease mycosin MycP3, component of Type VII secretion system ESX-3"
Rv0292,355880,356875,+,996,,"Membrane protein EccE3, component of Type VII secretion system ESX-3"
Rv0293c,356862,358064,-,1203,,hypothetical protein Rv0293c
Rv0294,358171,358956,+,786,tam,Trans-aconitate 2-methyltransferase (EC 2.1.1.144)
Rv0295c,358945,359736,-,792,,Sulfotransferase
Rv0296c,359758,361155,-,1398,,Sulfatase family protein
Rv0297,361334,363109,+,1776,PE_PGRS5,PE_PGRS family protein => PE_PGRS5
Rv0298,363252,363479,+,228,,Programmed cell death antitoxin YdcD
Rv0299,363476,363778,+,303,,Programmed cell death toxin YdcE
Rv0300,363826,364047,+,222,,"antitoxin vapB2 @ Antitoxin to Toxin 1, PIN domain"
Rv0301,364038,364469,+,432,,"toxin vapC2 @ Toxin 1, PIN domain"
Rv0302,364605,365237,+,633,,"Transcriptional regulator, AcrR family"
Rv0303,365234,366142,+,909,,"Oxidoreductase, short-chain dehydrogenase/reductase family"
Rv0304c,366150,372764,-,6615,PPE5,PPE family protein => PPE5
Rv0305c,372820,375711,-,2892,PPE6,"PPE family protein, MPTR subgroup => PPE6"
Rv0306,375941,376585,+,645,,"Cobalamin biosynthesis protein BluB @ 5,6-dimethylbenzimidazole synthase, flavin destructase family"
Rv0307c,376573,377055,-,483,,hypothetical protein
Rv0308,377113,377829,+,717,,"putative membrane-associated phospholipid phosphatase, PAP2 superfamily"
Rv0309,378000,378587,+,588,,FIG019540: hypothetical protein
Rv0310c,378657,379133,-,477,,Bile acid 7-alpha dehydratase BaiE (EC 4.2.1.106)
Rv0311,379172,380401,+,1230,,hypothetical protein
Rv0312,380556,382418,+,1863,,FIG00821990: molecular chaperone
Rv0313,382490,382876,+,387,,hypothetical protein
Rv0314c,382879,383541,-,663,,putative membrane protein
Rv0315,383632,384486,+,855,,"glucan endo-1,3-beta-D-glucosidase"
Rv0316,384535,385149,+,615,,Muconolactone isomerase (EC 5.3.3.4)
Rv0317c,385173,385874,-,702,glpQ2,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)
Rv0318c,386305,387081,-,777,,"Metal transporter, ZIP family"
Rv0319,387148,387816,+,669,pcp,Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)
Rv0320,387963,388550,+,588,,hypothetical protein
Rv0321,388582,389154,+,573,dcd,Deoxycytidine triphosphate deaminase (EC 3.5.4.30) (dUMP-forming)
Rv0322,389260,390591,+,1332,udgA,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
Rv0323c,390580,391206,-,627,,Mycothiol conjugate amidase Mca (Mycothiol S-conjugate amidase)
Rv0324,391352,392032,+,681,,"Transcriptional regulator, ArsR family => implicated in bedaquiline tolerance"
Rv0325,392066,392263,+,198,,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
Rv0326,392273,392728,+,456,,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
Rv0327c,392696,394045,-,1350,cyp135A1,Cytochrome P450
Rv0328,394111,394713,+,603,,"Transcriptional regulator, AcrR family"
Rv0329c,394694,395320,-,627,,SAM-dependent methyltransferase
Rv0330c,395347,396087,-,741,,"Transcriptional regulator, AcrR family"
