Gene,Tag1,Tag2,Tag3,Category1,Category2,Category3,No..of.Categories,SequenceDiameter,SequencePrevalence,Essential,ExpressionPlasticity,Location.Tag,Gene.Name,Gene.Description
SP_0036,GENETIC INFORMATION PROCESSING,NA,NA,DNA repair and editing,NA,NA,1,0.006861809,371,FALSE,0.453330383,Intracellular,recO,DNA repair protein RecO
SP_0037,METABOLISM,NA,NA,Lipid metabolism,NA,NA,1,0.007001738,371,FALSE,0.440213387,Intracellular,plsX,glycerol-3-phosphate acyltransferase PlsX
SP_0038,METABOLISM,NA,NA,Lipid metabolism,NA,NA,1,0.018746455,371,FALSE,0.486682347,Intracellular,, acyl carrier protein
SP_0040,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,3.115274631,NA,,
SP_0041,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.030694527,279,FALSE,0.673687996,Extracellular,blpU, bacteriocin BlpU
SP_0533,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.030694527,279,FALSE,1.158273742,Extracellular,blpK,Bacteriocin
SP_0042,ENVIRONMENTAL INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Membrane transport,Cellular community,NA,2,0.006361028,371,FALSE,2.515837009,Membrane,comA,Competence-stimulating peptide ABC transporter ATP-binding protein ComA
SP_0043,ENVIRONMENTAL INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Membrane transport,Cellular community,NA,2,0.015419237,371,FALSE,1.539163053,Membrane,comB,Competence-stimulating peptide ABC transporter permease protein ComB
SP_0044,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.006238285,371,FALSE,3.395906935,Intracellular,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase
SP_0045,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.006558279,371,FALSE,1.682906311,Intracellular,,phosphoribosylformylglycinamidine synthase
SP_0046,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.004229701,371,FALSE,0.784176408,Intracellular,purF,amidophosphoribosyltransferase
SP_0047,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.004301581,371,FALSE,0.883863579,Intracellular,purM,phosphoribosylaminoimidazole synthetase
SP_0050,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.007594891,371,FALSE,0.769987593,Intracellular,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
SP_0051,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.016604782,371,FALSE,1.105527895,Intracellular,purD,phosphoribosylamine--glycine ligase
SP_0052,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,177,FALSE,2.536369869,NA,,
SP_0053,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.006555557,371,FALSE,0.860563217,Intracellular,purE,phosphoribosylaminoimidazole carboxylase catalytic subunit
SP_0054,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.015543778,371,FALSE,0.721744538,Intracellular,purK,phosphoribosylaminoimidazole carboxylase ATPase subunit
SP_0055,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.01972101,352,FALSE,0.544359828,NA,,
SP_0056,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.001103995,371,FALSE,0.521324869,Intracellular,purB,adenylosuccinate lyase
SP_0057,METABOLISM,NA,NA,Cell wall metabolism,NA,NA,1,0.012845811,371,FALSE,1.548380531,Cell Wall,,beta-N-acetylhexosaminidase
SP_0058,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.004009229,371,FALSE,2.001658789,Intracellular,,GntR family transcriptional regulator
SP_0061,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,NA,Membrane transport,Carbohydrate metabolism,NA,2,0.002615894,371,FALSE,1.626591973,Membrane,,PTS system transporter subunit IIB
SP_0062,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,NA,Membrane transport,Carbohydrate metabolism,NA,2,0.00015228,371,FALSE,2.063003364,Membrane,ManY,PTS system transporter subunit IIC
SP_0064,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,NA,Membrane transport,Carbohydrate metabolism,NA,2,0.008360272,371,FALSE,1.423314908,Membrane,ManX,PTS system transporter subunit IIA
SP_0065,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.007803785,371,FALSE,1.457363421,Intracellular,,sugar isomerase
SP_0066,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.005201215,371,FALSE,1.89765882,Intracellular,galM,aldose 1-epimerase
SP_0067,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.056803567,70,FALSE,1.194002514,NA,,
SP_0068,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.056803567,70,FALSE,0.568562898,NA,,
SP_0070,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,1.834864036,NA,,
SP_0073,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.039334237,371,FALSE,0.82318244,NA,,
SP_0075,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.020375539,370,FALSE,0.529949785,Intracellular,,phosphorylase Pnp/Udp family protein
SP_0076,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,1.482618256,NA,,
SP_0077,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.008727273,20,FALSE,0.938208461,NA,,
SP_0078,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.002232702,371,FALSE,0.439213713,Membrane,TrkG,Trk family potassium uptake protein
SP_0079,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.003247616,371,FALSE,1.389621537,Membrane,TrkA,Trk family potassium uptake protein
SP_0080,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,1.69673705,NA,,
SP_0084,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Signal transduction,NA,NA,1,0.003532769,371,FALSE,0.505593787,Membrane,,Sensor histidine kinase
SP_0085,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,0.626790229,Intracellular,rpsD,30S ribosomal protein S4
SP_1488,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.573033628,368,FALSE,3.568178518,NA,,Hypothetical Protein
SP_1302,GENETIC INFORMATION PROCESSING,NA,NA,Mobile element/pseudogene,NA,NA,1,0.573033628,368,FALSE,0.571525282,Intracellular,,Mobile Element
SP_0087,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.573033628,368,FALSE,0.868824664,NA,,
SP_0090,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.000989714,371,FALSE,2.029079228,Membrane,LplB,ABC transporter permease
SP_0091,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.000801036,371,FALSE,1.441621349,Membrane,UgpE,ABC transporter permease
SP_0092,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.001172667,371,FALSE,1.189600443,Membrane,UgpB,ABC transporter substrate-binding protein
SP_0094,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,1.413033449,NA,,
SP_0095,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.001952477,371,FALSE,1.157469747,Intracellular,,
SP_0097,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.020157215,371,FALSE,1.057723335,NA,,
SP_0098,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.01193315,371,FALSE,1.365030051,Membrane,,
SP_0100,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.005373046,371,FALSE,1.233612385,Intracellular,,
SP_0101,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.007934133,370,FALSE,1.477077089,Membrane,CynX,transporter
SP_0102,METABOLISM,NA,NA,Cell wall metabolism,NA,NA,1,0.012257197,363,FALSE,0.680250797,Cell Wall,ExoA, glycosyl transferase
SP_0103,METABOLISM,NA,NA,Capsule metabolism,NA,NA,1,0.002525204,371,FALSE,0.504516742,Capsule,, Capsular polysaccharide biosynthesis protein
SP_0104,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.007202279,371,FALSE,0.936262762,Intracellular,, HAD superfamily hydrolase
SP_0105,METABOLISM,NA,NA,Amino acid metabolism,NA,NA,1,0.004805724,371,FALSE,0.887617875,Intracellular,sdhA,"L-serine dehydratase, iron-sulfur-dependent, alpha subunit (EC 4.3.1.17)"
SP_0106,METABOLISM,NA,NA,Amino acid metabolism,NA,NA,1,0.001568045,371,FALSE,0.782560853,Intracellular,sdaB,"L-serine dehydratase, iron-sulfur-dependent, beta subunit (EC 4.3.1.17)"
SP_0107,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.003228531,371,FALSE,3.051715249,Cell Wall,, LysM domain-containing protein
SP_0108,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.053928306,330,FALSE,1.220285272,NA,,
SP_0114,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.053928306,330,FALSE,0.108660265,NA,,
SP_0109,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.101720271,147,FALSE,1.413505036,Extracellular,,bacteriocin
SP_0110,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.008089217,257,FALSE,0.899198363,Membrane,,
SP_0111,ENVIRONMENTAL INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Membrane transport,Cellular community,NA,2,0.009479044,258,FALSE,1.213009606,Membrane,,amino acid ABC transporter ATP-binding protein
SP_0112,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.255883446,371,FALSE,7.046001575,Membrane,,amino acid ABC transporter substrate-binding protein
SP_1394,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.255883446,371,FALSE,1.625959482,Membrane,,"Putative amino acid ABC transporter, substrate-binding component"
SP_0115,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.405476844,346,FALSE,3.884368123,NA,,
SP_0116,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.145350456,358,FALSE,0.904678736,NA,,
SP_0117,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.369105966,297,FALSE,1.167162739,Cell Wall,,Pneumococcal surface protein A
SP_0118,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.005331869,371,TRUE,0.936279144,Intracellular,mnmA,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)
SP_0120,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.002261524,371,FALSE,0.615454879,Intracellular,GidA,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
SP_0121,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.003280616,371,FALSE,0.753918613,Intracellular,,ribonuclease J
SP_0122,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.006650258,371,FALSE,0.355128027,NA,,
SP_0125,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.033125982,333,FALSE,0.868179297,Extracellular,,
SP_0127,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.052962879,371,FALSE,0.384585303,Intracellular,,
SP_0128,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.039988838,371,FALSE,0.444756276,Intracellular,,ibosomal-protein-alanine acetyltransferase (EC 2.3.1.128)
SP_0129,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.008421438,371,FALSE,0.343768947,Intracellular,, DNA-binding/iron metalloprotein/AP endonuclease
SP_0135,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.347918642,369,FALSE,0.91718309,Intracellular,,
SP_0133,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.347918642,369,FALSE,1.20611573,Intracellular,,
SP_0134,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.00379867,3,FALSE,1.552918303,NA,,
SP_0136,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.198217449,328,FALSE,0.978483361,Intracellular,,
SP_0138,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.31629064,318,FALSE,2.137142141,NA,,
SP_0141,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.058246283,369,FALSE,1.323909065,Intracellular,,"transcriptional regulator, MutR family"
SP_0142,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,137,FALSE,1.600200398,NA,,
SP_0143,GENETIC INFORMATION PROCESSING,NA,NA,"Folding, sorting, degradation",NA,NA,1,0.006345381,176,FALSE,2.006173558,Membrane,,
SP_0144,GENETIC INFORMATION PROCESSING,NA,NA,"Folding, sorting, degradation",NA,NA,1,0.031213911,323,FALSE,2.025463371,Membrane,,
SP_0145,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.187495417,371,FALSE,1.859296969,Membrane,,
SP_0146,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.031587269,366,FALSE,1.303059662,Membrane,,
SP_0147,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.029721229,335,FALSE,1.613021188,Membrane,,
SP_0148,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.241980875,371,FALSE,1.270363687,Membrane,,"ABC transporter, substrate-binding protein"
SP_0620,ENVIRONMENTAL INFORMATION PROCESSING,METABOLISM,NA,Membrane transport,Amino acid metabolism,NA,2,0.241980875,371,FALSE,3.573317133,Membrane,tcyK,"putative amino acid ABC transporter, amino acid-binding protein"
SP_0149,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.004748612,371,FALSE,1.545132358,Membrane,,
SP_0150,GENETIC INFORMATION PROCESSING,NA,NA,"Folding, sorting, degradation",NA,NA,1,0.006645717,371,FALSE,1.202555602,Intracellular,,
SP_0153,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.010374247,371,FALSE,1.134929044,NA,,
SP_0154,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.004763902,370,FALSE,1.338617305,Membrane,,
SP_0155,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Signal transduction,NA,NA,1,0.007402211,370,FALSE,0.615141174,Membrane,,sensor histidine kinase
SP_0156,ENVIRONMENTAL INFORMATION PROCESSING,GENETIC INFORMATION PROCESSING,NA,Signal transduction,Transcription,NA,2,0.00982768,370,FALSE,0.795736688,Intracellular,,DNA-binding response regulator
SP_0157,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.005389275,371,FALSE,0.820426857,NA,,
SP_0158,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.003965502,371,FALSE,1.146919632,Intracellular,nrdI,flavoprotein NrdI
SP_0159,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0.002025486,371,FALSE,1.796411415,Membrane,,
SP_0160,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.006276093,371,FALSE,0.697035884,NA,,
SP_0161,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.011823615,371,FALSE,0.497241914,Intracellular,,
SP_0162,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,1.036136413,NA,,
SP_1058,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.10085403,106,FALSE,0.795613723,NA,,
SP_0164,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.10085403,106,FALSE,0.540222001,NA,,
SP_0165,METABOLISM,NA,NA,Cofactor and vitamin metabolism,NA,NA,1,0,98,FALSE,1.703265473,Intracellular,,flavoprotein
SP_0166,METABOLISM,NA,NA,Amino acid metabolism,NA,NA,1,0.000880216,98,FALSE,1.611801569,Intracellular,,Pyridoxal-dependent decarboxylase
SP_0167,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,98,FALSE,0.965273115,NA,,
SP_0168,ENVIRONMENTAL INFORMATION PROCESSING,CELLULAR PROCESSES,NA,Membrane transport,Antibiotic response/sensing,NA,2,0,98,FALSE,2.626396551,Membrane,,macrolide efflux protein
SP_0170,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,0.658682612,NA,,
SP_0171,METABOLISM,NA,NA,Carbohydrate metabolism,NA,NA,1,0.000502564,98,FALSE,1.159626007,Intracellular,,ROK family protein
SP_0172,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.509515289,344,FALSE,1.637303832,NA,,
SP_0414,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.509515289,344,FALSE,1.044800429,NA,,
SP_0173,GENETIC INFORMATION PROCESSING,NA,NA,DNA repair and editing,NA,NA,1,0.001608156,370,FALSE,1.037425667,Intracellular,mutL,DNA mismatch repair protein MutL
SP_0175,METABOLISM,NA,NA,Cofactor and vitamin metabolism,NA,NA,1,0.002303102,371,FALSE,1.045656923,Intracellular,ribH,"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78) ribH"
SP_0177,METABOLISM,NA,NA,Cofactor and vitamin metabolism,NA,NA,1,0.003067785,371,FALSE,0.818120635,Intracellular,ribE,riboflavin synthase subunit alpha
SP_0178,METABOLISM,NA,NA,Cofactor and vitamin metabolism,NA,NA,1,0.005077938,370,FALSE,1.46070503,Intracellular,ribD,riboflavin biosynthesis protein RibD
SP_0179,GENETIC INFORMATION PROCESSING,NA,NA,DNA repair and editing,NA,NA,1,0.004499763,371,TRUE,0.866223064,Intracellular,ruvA,Holliday junction DNA helicase RuvA
SP_0180,GENETIC INFORMATION PROCESSING,NA,NA,DNA repair and editing,NA,NA,1,0.013445402,371,FALSE,0.777098739,Intracellular,,DNA-3-methyladenine glycosylase I
SP_0181,GENETIC INFORMATION PROCESSING,NA,NA,"Folding, sorting, degradation",NA,NA,1,0.016461278,371,FALSE,0.628782225,Membrane,,
SP_0182,METABOLISM,NA,NA,Amino acid metabolism,NA,NA,1,0.014940982,371,FALSE,0.721530321,Intracellular,,methylcrotonoyl-CoA carboxylase
SP_0184,CELLULAR PROCESSES,NA,NA,Structural proteins,NA,NA,1,0.003088185,371,FALSE,0.453782792,Membrane,,
SP_0185,ENVIRONMENTAL INFORMATION PROCESSING,NA,NA,Membrane transport,NA,NA,1,0,371,TRUE,0.616867362,Membrane,,Magnesium and cobalt transport protein CorA
SP_0186,GENETIC INFORMATION PROCESSING,NA,NA,DNA repair and editing,NA,NA,1,0.004703056,371,FALSE,0.912768084,Intracellular,uvrA,Excinuclease ABC subunit A
SP_0187,GENETIC INFORMATION PROCESSING,NA,NA,"Folding, sorting, degradation",NA,NA,1,0.005647448,371,FALSE,0.325057267,Intracellular,,peptidase M24 family protein
SP_0188,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,0.653603782,NA,,
SP_1405,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.248304999,371,TRUE,0.462670691,Intracellular,SpxA,Transcriptional regulator
SP_0189,GENETIC INFORMATION PROCESSING,NA,NA,Transcription,NA,NA,1,0.248304999,371,FALSE,0.737223194,Intracellular,spxA, transcriptional regulator Spx
SP_0190,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,1.811441167,NA,,
SP_0191,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.01259534,371,FALSE,0.646216702,NA,,
SP_0192,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,371,FALSE,0.817826379,NA,,
SP_0194,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.000588368,371,FALSE,1.173032428,NA,,
SP_0196,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,0.755978861,NA,,
SP_0197,METABOLISM,NA,NA,Cofactor and vitamin metabolism,NA,NA,1,0.024024319,371,FALSE,0.593070825,Intracellular,,Dihydrofolate synthase (EC 6.3.2.12)
SP_0198,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.005437219,371,FALSE,0.606146951,NA,,
SP_0199,METABOLISM,NA,NA,Lipid metabolism,NA,NA,1,0.0011771,371,FALSE,0.433340422,Membrane,, Cardiolipin synthetase (EC 2.7.8.-)
SP_0200,CELLULAR PROCESSES,NA,NA,Cellular community,NA,NA,1,0.004184517,371,FALSE,0.695932643,Intracellular,,Competence-induced protein Ccs4
SP_0201,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0,1,FALSE,1.117840177,NA,,
SP_0202,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.002572296,371,FALSE,3.081143054,Intracellular,nrdD,anaerobic ribonucleoside triphosphate reductase
SP_0203,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.012442938,370,FALSE,1.923352815,NA,,
SP_0204,METABOLISM,NA,NA,Various metabolism,NA,NA,1,0.066386398,371,FALSE,1.732896116,Intracellular,,acetyltransferase
SP_0205,METABOLISM,NA,NA,Nucleotide metabolism,NA,NA,1,0.008664121,371,FALSE,2.190776615,Intracellular,,Anaerobic ribonucleoside-triphosphate reductase-activating protein (EC 1.97.1.-)
SP_0206,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.027750576,371,FALSE,0.934021681,Intracellular,,
SP_0207,HYPOTHETICAL/UNKNOWN,NA,NA,NA,NA,NA,1,0.027750576,371,FALSE,2.386068883,Intracellular,,
SP_0208,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.00123222,371,FALSE,0.687803384,Intracellular,rpsJ,30S ribosomal protein S10
SP_0209,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.000111681,371,FALSE,0.923393947,Intracellular,rplC,50S ribosomal protein L3
SP_0210,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0.003020414,371,FALSE,3.960050222,Intracellular,rplD,50S ribosomal protein L4
SP_0211,GENETIC INFORMATION PROCESSING,NA,NA,Translation,NA,NA,1,0,371,FALSE,2.598246469,Intracellular,rplW,50S ribosomal protein L23
